percentile,fy,baseline,high_inflation,no_policy,indexed_brackets
0.044,FY2026_27,0,0,0,0
0.044,FY2027_28,0,0,0,0
0.044,FY2028_29,0,0,0,0
0.044,FY2029_30,0,0,0,0
0.044,FY2030_31,0,0,0,0
0.044,FY2031_32,0,0,0,0
0.044,FY2032_33,0,0,0,0
0.044,FY2033_34,0,0,0,0
0.044,FY2034_35,0,0,0,0
0.045,FY2025_26,0,0,0,0
0.045,FY2026_27,0,0,0,0
0.045,FY2027_28,0,0,0,0
0.045,FY2028_29,0,0,0,0
0.045,FY2029_30,0,0,0,0
0.045,FY2030_31,0,0,0,0
0.045,FY2031_32,0,0,0,0
0.045,FY2032_33,0,0,0,0
0.045,FY2033_34,0,0,0,0
0.045,FY2034_35,0,0,0,0
0.046,FY2025_26,0,0,0,0
0.046,FY2026_27,0,0,0,0
0.046,FY2027_28,0,0,0,0
0.046,FY2028_29,0,0,0,0
0.046,FY2029_30,0,0,0,0
0.046,FY2030_31,0,0,0,0
0.046,FY2031_32,0,0,0,0
0.046,FY2032_33,0,0,0,0
0.046,FY2033_34,0,0,0,0
0.046,FY2034_35,0,0,0,0
0.047,FY2025_26,0,0,0,0
0.047,FY2026_27,0,0,0,0
0.047,FY2027_28,0,0,0,0
0.047,FY2028_29,0,0,0,0
0.047,FY2029_30,0,0,0,0
0.047,FY2030_31,0,0,0,0
0.047,FY2031_32,0,0,0,0
0.047,FY2032_33,0,0,0,0
0.047,FY2033_34,0,0,0,0
0.047,FY2034_35,0,0,0,0
0.048,FY2025_26,0,0,0,0
0.048,FY2026_27,0,0,0,0
0.048,FY2027_28,0,0,0,0
0.048,FY2028_29,0,0,0,0
0.048,FY2029_30,0,0,0,0
0.048,FY2030_31,0,0,0,0
0.048,FY2031_32,0,0,0,0
0.048,FY2032_33,0,0,0,0
0.048,FY2033_34,0,0,0,0
0.048,FY2034_35,0,0,0,0
0.049,FY2025_26,0,0,0,0
0.049,FY2026_27,0,0,0,0
0.049,FY2027_28,0,0,0,0
0.049,FY2028_29,0,0,0,0
0.049,FY2029_30,0,0,0,0
0.049,FY2030_31,0,0,0,0
0.049,FY2031_32,0,0,0,0
0.049,FY2032_33,0,0,0,0
0.049,FY2033_34,0,0,0,0
0.049,FY2034_35,0,0,0,0
0.05,FY2025_26,0,0,0,0
0.05,FY2026_27,0,0,0,0
0.05,FY2027_28,0,0,0,0
0.05,FY2028_29,0,0,0,0
0.05,FY2029_30,0,0,0,0
0.05,FY2030_31,0,0,0,0
0.05,FY2031_32,0,0,0,0
0.05,FY2032_33,0,0,0,0
0.05,FY2033_34,0,0,0,0
0.05,FY2034_35,0,0,0,0
0.051,FY2025_26,0,0,0,0
0.051,FY2026_27,0,0,0,0
0.051,FY2027_28,0,0,0,0
0.051,FY2028_29,0,0,0,0
0.051,FY2029_30,0,0,0,0
0.051,FY2030_31,0,0,0,0
0.051,FY2031_32,0,0,0,0
0.051,FY2032_33,0,0,0,0
0.051,FY2033_34,0,0,0,0
0.051,FY2034_35,0,0,0,0
0.052,FY2025_26,0,0,0,0
0.052,FY2026_27,0,0,0,0
0.052,FY2027_28,0,0,0,0
0.052,FY2028_29,0,0,0,0
0.052,FY2029_30,0,0,0,0
