year,model,model_label,value,path_type
2035,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2036,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2037,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2038,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2039,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2040,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2041,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2042,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2043,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2044,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2045,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2046,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2047,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2048,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2049,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2050,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2051,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2052,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2053,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2054,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2055,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2056,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2057,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2058,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2059,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2060,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2061,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2062,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2063,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2064,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2065,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2066,univariate_arima,Univariate ARIMA,0.356866192822914,Unanchored model projection
2026,structural_ols,Structural OLS (levels),0.36205,Official forecast then model projection
2027,structural_ols,Structural OLS (levels),0.35425,Official forecast then model projection
2028,structural_ols,Structural OLS (levels),0.34808,Official forecast then model projection
2029,structural_ols,Structural OLS (levels),0.34529,Official forecast then model projection
2030,structural_ols,Structural OLS (levels),0.346410381274978,Official forecast then model projection
2031,structural_ols,Structural OLS (levels),0.347297755515425,Official forecast then model projection
2032,structural_ols,Structural OLS (levels),0.347648497074401,Official forecast then model projection
2033,structural_ols,Structural OLS (levels),0.346998249115712,Official forecast then model projection
2034,structural_ols,Structural OLS (levels),0.346493913332614,Official forecast then model projection
2035,structural_ols,Structural OLS (levels),0.345794510520328,Official forecast then model projection
2036,structural_ols,Structural OLS (levels),0.345575951380165,Official forecast then model projection
2037,structural_ols,Structural OLS (levels),0.34654161737751,Official forecast then model projection
2038,structural_ols,Structural OLS (levels),0.347507283374854,Official forecast then model projection
2039,structural_ols,Structural OLS (levels),0.3484729493722,Official forecast then model projection
2040,structural_ols,Structural OLS (levels),0.349438615369545,Official forecast then model projection
2041,structural_ols,Structural OLS (levels),0.350404281366889,Official forecast then model projection
2042,structural_ols,Structural OLS (levels),0.351369947364234,Official forecast then model projection
2043,structural_ols,Structural OLS (levels),0.352335613361579,Official forecast then model projection
2044,structural_ols,Structural OLS (levels),0.353301279358923,Official forecast then model projection
2045,structural_ols,Structural OLS (levels),0.354266945356268,Official forecast then model projection
2046,structural_ols,Structural OLS (levels),0.355232611353614,Official forecast then model projection
2047,structural_ols,Structural OLS (levels),0.356198277350958,Official forecast then model projection
2048,structural_ols,Structural OLS (levels),0.357163943348303,Official forecast then model projection
2049,structural_ols,Structural OLS (levels),0.358129609345647,Official forecast then model projection
2050,structural_ols,Structural OLS (levels),0.359095275342992,Official forecast then model projection
2051,structural_ols,Structural OLS (levels),0.360060941340337,Official forecast then model projection
2052,structural_ols,Structural OLS (levels),0.361026607337681,Official forecast then model projection
2053,structural_ols,Structural OLS (levels),0.361992273335027,Official forecast then model projection
2054,structural_ols,Structural OLS (levels),0.362957939332372,Official forecast then model projection
2055,structural_ols,Structural OLS (levels),0.363923605329717,Official forecast then model projection
2056,structural_ols,Structural OLS (levels),0.364889271327061,Official forecast then model projection
2057,structural_ols,Structural OLS (levels),0.365854937324405,Official forecast then model projection
2058,structural_ols,Structural OLS (levels),0.36682060332175,Official forecast then model projection
2059,structural_ols,Structural OLS (levels),0.367786269319095,Official forecast then model projection
2060,structural_ols,Structural OLS (levels),0.368751935316441,Official forecast then model projection
2061,structural_ols,Structural OLS (levels),0.369717601313785,Official forecast then model projection
2062,structural_ols,Structural OLS (levels),0.37068326731113,Official forecast then model projection
2063,structural_ols,Structural OLS (levels),0.371648933308474,Official forecast then model projection
2064,structural_ols,Structural OLS (levels),0.372614599305819,Official forecast then model projection
2065,structural_ols,Structural OLS (levels),0.373580265303165,Official forecast then model projection
2066,structural_ols,Structural OLS (levels),0.374545931300508,Official forecast then model projection
2026,arimax_level,ARIMAX (levels),0.36205,Official forecast then model projection
2027,arimax_level,ARIMAX (levels),0.35425,Official forecast then model projection
2028,arimax_level,ARIMAX (levels),0.34808,Official forecast then model projection
2029,arimax_level,ARIMAX (levels),0.34529,Official forecast then model projection
2030,arimax_level,ARIMAX (levels),0.345373767755167,Official forecast then model projection
2031,arimax_level,ARIMAX (levels),0.345453264579451,Official forecast then model projection
2032,arimax_level,ARIMAX (levels),0.345063755161932,Official forecast then model projection
2033,arimax_level,ARIMAX (levels),0.344706121516642,Official forecast then model projection
2034,arimax_level,ARIMAX (levels),0.344609579549337,Official forecast then model projection
2035,arimax_level,ARIMAX (levels),0.344144118156377,Official forecast then model projection
2036,arimax_level,ARIMAX (levels),0.344334836972756,Official forecast then model projection
2037,arimax_level,ARIMAX (levels),0.344863898644236,Official forecast then model projection
2038,arimax_level,ARIMAX (levels),0.345416754562304,Official forecast then model projection
2039,arimax_level,ARIMAX (levels),0.345986146740002,Official forecast then model projection
2040,arimax_level,ARIMAX (levels),0.346567031102647,Official forecast then model projection
2041,arimax_level,ARIMAX (levels),0.347155902175579,Official forecast then model projection
2042,arimax_level,ARIMAX (levels),0.347750323763187,Official forecast then model projection
2043,arimax_level,ARIMAX (levels),0.348348602785465,Official forecast then model projection
2044,arimax_level,ARIMAX (levels),0.34894956260459,Official forecast then model projection
2045,arimax_level,ARIMAX (levels),0.349552385493953,Official forecast then model projection
2046,arimax_level,ARIMAX (levels),0.350156503159055,Official forecast then model projection
2047,arimax_level,ARIMAX (levels),0.350761520652929,Official forecast then model projection
2048,arimax_level,ARIMAX (levels),0.351367163499752,Official forecast then model projection
2049,arimax_level,ARIMAX (levels),0.351973240947377,Official forecast then model projection
2050,arimax_level,ARIMAX (levels),0.352579620429015,Official forecast then model projection
2051,arimax_level,ARIMAX (levels),0.353186209814875,Official forecast then model projection
2052,arimax_level,ARIMAX (levels),0.353792945077625,Official forecast then model projection
2053,arimax_level,ARIMAX (levels),0.354399781720268,Official forecast then model projection
2054,arimax_level,ARIMAX (levels),0.355006688818775,Official forecast then model projection
2055,arimax_level,ARIMAX (levels),0.35561364488191,Official forecast then model projection
2056,arimax_level,ARIMAX (levels),0.356220634973936,Official forecast then model projection
2057,arimax_level,ARIMAX (levels),0.356827648714981,Official forecast then model projection
2058,arimax_level,ARIMAX (levels),0.357434678891357,Official forecast then model projection
2059,arimax_level,ARIMAX (levels),0.358041720489776,Official forecast then model projection
2060,arimax_level,ARIMAX (levels),0.358648770026158,Official forecast then model projection
2061,arimax_level,ARIMAX (levels),0.359255825079177,Official forecast then model projection
2062,arimax_level,ARIMAX (levels),0.359862883966086,Official forecast then model projection
2063,arimax_level,ARIMAX (levels),0.36046994551743,Official forecast then model projection
2064,arimax_level,ARIMAX (levels),0.361077008920473,Official forecast then model projection
2065,arimax_level,ARIMAX (levels),0.36168407361039,Official forecast then model projection
2066,arimax_level,ARIMAX (levels),0.362291139194642,Official forecast then model projection
2026,arimax_diff,ARIMAX (differences),0.36205,Official forecast then model projection
2027,arimax_diff,ARIMAX (differences),0.35425,Official forecast then model projection
2028,arimax_diff,ARIMAX (differences),0.34808,Official forecast then model projection
2029,arimax_diff,ARIMAX (differences),0.34529,Official forecast then model projection
2030,arimax_diff,ARIMAX (differences),0.345824058707685,Official forecast then model projection
2031,arimax_diff,ARIMAX (differences),0.346033177453538,Official forecast then model projection
2032,arimax_diff,ARIMAX (differences),0.345558943195385,Official forecast then model projection
2033,arimax_diff,ARIMAX (differences),0.345990200242738,Official forecast then model projection
2034,arimax_diff,ARIMAX (differences),0.346481411175647,Official forecast then model projection
2035,arimax_diff,ARIMAX (differences),0.346576207240181,Official forecast then model projection
2036,arimax_diff,ARIMAX (differences),0.347111241565233,Official forecast then model projection
2037,arimax_diff,ARIMAX (differences),0.347745200303881,Official forecast then model projection
2038,arimax_diff,ARIMAX (differences),0.348379159042528,Official forecast then model projection
2039,arimax_diff,ARIMAX (differences),0.349013117781176,Official forecast then model projection
2040,arimax_diff,ARIMAX (differences),0.349647076519823,Official forecast then model projection
2041,arimax_diff,ARIMAX (differences),0.35028103525847,Official forecast then model projection
2042,arimax_diff,ARIMAX (differences),0.350914993997117,Official forecast then model projection
2043,arimax_diff,ARIMAX (differences),0.351548952735764,Official forecast then model projection
2044,arimax_diff,ARIMAX (differences),0.352182911474411,Official forecast then model projection
