year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp,revenue_ratio,official_nci,official_net_debt,official_interest,nominal_gdp_growth,net_capital_investment_ratio,effective_interest_rate,net_debt_ratio,interest_ratio,spending_approach,spending_model,revenue_scenario,total_expense_ratio,fiscal_deficit_ratio
2054,pressure,3368847.85724759,0.409222211893314,3916177.26915288,0.475707657976101,8232319.16386265,0.34461,,,,0.0363319292473889,0.018,0.052,1.90218042794818,0.0898170601091757,Bottom-up primary spending with endogenous interest,pressure,pressure,0.49903927200249,0.17242927200249
2055,pressure,3522036.72652411,0.412565515492902,4094254.40209829,0.479594140867401,8536914.97292557,0.34461,,,,0.0363319292473907,0.018,0.052,2.01939458407368,0.09544565738232,Bottom-up primary spending with endogenous interest,pressure,pressure,0.508011172875222,0.181401172875222
2056,pressure,3682263.21846324,0.415944242882918,4280512.54501152,0.483521802775605,8852780.82692382,0.34461,,,,0.0363319292473907,0.018,0.052,2.1417596022109,0.101327109016212,Bottom-up primary spending with endogenous interest,pressure,pressure,0.51727135189913,0.19066135189913
2057,pressure,3849853.83636327,0.419358811435809,4475331.24747426,0.487491128882757,9180333.71752,0.34461,,,,0.0363319292473907,0.018,0.052,2.2693891982539,0.107467015318005,Bottom-up primary spending with endogenous interest,pressure,pressure,0.526825826753814,0.200215826753814
2058,pressure,4025150.37144839,0.422809643600741,4679107.83079034,0.491502610272424,9520006.06506824,0.34461,,,,0.0363319292473889,0.018,0.052,2.40239922979114,0.11387108220713,Bottom-up primary spending with endogenous interest,pressure,pressure,0.536680725807871,0.210070725807871
2059,pressure,4208510.62479531,0.42629716696612,4892258.22720212,0.495556744002373,9872246.28947576,0.34461,,,,0.0363319292473889,0.018,0.052,2.54090773362442,0.12054512306676,Bottom-up primary spending with endogenous interest,pressure,pressure,0.54684229003288,0.22023229003288
2060,pressure,4400309.16361479,0.429821814323013,5115217.85904351,0.4996540331783,10237519.4021864,0.34461,,,,0.036331929247396,0.018,0.052,2.68503496391862,0.127495060626399,Bottom-up primary spending with endogenous interest,pressure,pressure,0.557316874949412,0.230706874949412
2061,pressure,4600938.11353444,0.433384023729457,5348442.5597432,0.50379498702858,10616307.6200673,0.34461,,,,0.0363319292473889,0.018,0.052,2.83490343099256,0.134726928876123,Bottom-up primary spending with endogenous interest,pressure,pressure,0.56811095260558,0.24150095260558
2062,pressure,4810807.98860817,0.436984238575661,5592409.53868394,0.507980120980071,11009111.0020097,0.34461,,,,0.0363319292473818,0.018,0.052,2.99063794076134,0.14224687501298,Bottom-up primary spending with endogenous interest,pressure,pressure,0.579231113588641,0.252621113588641
2063,pressure,5030348.56086133,0.440622907650118,5847618.39202085,0.512209956734957,11416448.1090841,0.34461,,,,0.036331929247396,0.018,0.052,3.15236563484122,0.150061161420093,Bottom-up primary spending with endogenous interest,pressure,pressure,0.590684069070211,0.264074069070211
