year,scenario,category,baseline_share_gdp,data_enhanced_share_gdp,difference_pp
2057,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596467
2057,restraint,Economic affairs,0.0145517734869365,0.0127456865504722,-0.180608693646428
2057,restraint,Education,0.0451016552580745,0.0484193721961673,0.33177169380928
2057,restraint,Environmental Protection,0.00652091443412226,0.00743166949910548,0.0910755064983224
2057,restraint,General public services excl interest,0.0200962926375936,0.0200629552194463,-0.00333374181473063
2057,restraint,Health,0.0831733095309864,0.0859382002351516,0.27648907041652
2057,restraint,Housing and community amenities,0.00436349200450507,0.00426890675437061,-0.00945852501344604
2057,restraint,Public order and safety,0.0178895343952931,0.0196195084100936,0.172997401480051
2057,restraint,"Recreation, culture and religion",0.00626794927871472,0.00665245295433581,0.0384503675621088
2057,restraint,Social Protection,0.116525099390304,0.10852742119193,-0.799767819837374
2057,restraint,Transport,0.014800030854092,0.0164159921648317,0.161596131073967
2058,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2058,central,Economic affairs,0.015417746641679,0.0134547653117156,-0.196298132996338
2058,central,Education,0.0477929473067662,0.051410010147049,0.361706284028283
2058,central,Environmental Protection,0.00690897275906752,0.00790257296429429,0.0993600205226765
2058,central,General public services excl interest,0.0212922190275715,0.0212560498785657,-0.00361691490057929
2058,central,Health,0.0961074030744179,0.0993847448968777,0.327734182245984
2058,central,Housing and community amenities,0.00462316254845819,0.00452022968472549,-0.0102932863732705
2058,central,Public order and safety,0.01900351156706,0.0208947402298848,0.189122866282478
2058,central,"Recreation, culture and religion",0.00664095369742203,0.00706002630729422,0.0419072609872189
2058,central,Social Protection,0.12410281087819,0.115358239328501,-0.8744571549689
2058,central,Transport,0.0156807777555272,0.0174430603406688,0.176228258514155
2058,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349803
2058,pressure,Economic affairs,0.0165281453860064,0.0144201036417724,-0.210804174423403
2058,pressure,Education,0.0512464542884034,0.0551361262666834,0.388967197828
2058,pressure,Environmental Protection,0.00740656263744324,0.00847459593488081,0.106803329743757
2058,pressure,General public services excl interest,0.0228257020858703,0.0227878461224249,-0.00378559634454274
2058,pressure,Health,0.111603824955367,0.115413664367618,0.380983941225077
2058,pressure,Housing and community amenities,0.00495612650278545,0.0048457538560654,-0.0110372646720049
2058,pressure,Public order and safety,0.0203767007836868,0.0224102337281011,0.203353294441429
2058,pressure,"Recreation, culture and religion",0.00711924062339985,0.00756984600321589,0.0450605379816043
2058,pressure,Social Protection,0.1441046197927,0.13395856654506,-1.01460532476398
2058,pressure,Transport,0.0168101202161656,0.0187045220273694,0.189440181120382
2058,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2058,restraint,Economic affairs,0.0145216484249166,0.0126764609128426,-0.184518751207398
2058,restraint,Education,0.0450062201311241,0.0484055257383162,0.339930560719208
2058,restraint,Environmental Protection,0.00650741484577788,0.00744126305545668,0.0933848209678799
2058,restraint,General public services excl interest,0.0200546893194399,0.0200208798821262,-0.00338094373137365
2058,restraint,Health,0.0835915913407561,0.0864440362925453,0.285244495178917
2058,restraint,Housing and community amenities,0.00435445870919044,0.00425774708127741,-0.00967116279130256
2058,restraint,Public order and safety,0.0178954484510392,0.0196727265267528,0.177727807571363
2058,restraint,"Recreation, culture and religion",0.0062549733784969,0.00664890738624542,0.0393934007748521
2058,restraint,Social Protection,0.116866582624092,0.108649344368637,-0.821723825545476
2058,restraint,Transport,0.0147693918500025,0.0164257753423446,0.165638349234206
2059,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2059,central,Economic affairs,0.0154221068748225,0.0134130907852517,-0.200901608957078
2059,central,Education,0.0478043619888323,0.0515169043088926,0.37125423200603
2059,central,Environmental Protection,0.00691092665886307,0.00793152003099621,0.102059337213314
2059,central,General public services excl interest,0.0212982405974713,0.0212614847564326,-0.00367558410387242
2059,central,Health,0.097052084729801,0.100447297450862,0.339521272106104
2059,central,Housing and community amenities,0.0046244700071316,0.00451903516853226,-0.0105434838599339
2059,central,Public order and safety,0.0190547683149199,0.0210011503201883,0.194638200526838
2059,central,"Recreation, culture and religion",0.00664283179978603,0.00707293741771067,0.043010561792464
2059,central,Social Protection,0.124760132326512,0.115759595470075,-0.900053685643748
2059,central,Transport,0.01568521237548,0.0174947632909193,0.180955091543931
2059,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349803
2059,pressure,Economic affairs,0.0165721047300869,0.014409384634525,-0.21627200955619
2059,pressure,Education,0.0513810339490062,0.0553830788485332,0.400204489952698
2059,pressure,Environmental Protection,0.00742626161926058,0.00852597460890852,0.109971298964794
2059,pressure,General public services excl interest,0.0228864108265329,0.0228478320017624,-0.00385788247705271
2059,pressure,Health,0.113244067481419,0.117210042873955,0.396597539253549
2059,pressure,Housing and community amenities,0.00496930814326321,0.00485597309955354,-0.0113335043709667
2059,pressure,Public order and safety,0.0204804259893284,0.0225783553245576,0.209792933522922
2059,pressure,"Recreation, culture and religion",0.00713817542466443,0.00760176091063571,0.0463585485971282
2059,pressure,Social Protection,0.145564827250093,0.135070868366986,-1.04939588831075
2059,pressure,Transport,0.0168548295190765,0.0188047606398732,0.194993112079674
2059,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2059,restraint,Economic affairs,0.0144915563100159,0.0126075884884925,-0.188396782152342
2059,restraint,Education,0.0449106186700297,0.0483912805712283,0.348066190119861
2059,restraint,Environmental Protection,0.00649393002163702,0.00745085221475735,0.0956922193120329
2059,restraint,General public services excl interest,0.0200131315019223,0.0199788522625927,-0.00342792393296064
2059,restraint,Health,0.0840113404300507,0.0869521862920779,0.294084586202723
2059,restraint,Housing and community amenities,0.00434543529339267,0.0042466081143254,-0.00988271790672663
2059,restraint,Public order and safety,0.0179013252773261,0.019726042723808,0.182471744648189
2059,restraint,"Recreation, culture and religion",0.00624201166973639,0.00664534954100745,0.0403337871271059
2059,restraint,Social Protection,0.117208022344224,0.108770448412691,-0.843757393153266
2059,restraint,Transport,0.0147387863551194,0.0164355280861723,0.169674173105287
2060,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2060,central,Economic affairs,0.0154264407978269,0.0133715244292962,-0.205491636853074
2060,central,Education,0.0478153976554906,0.0516236024040311,0.380820474854048
2060,central,Environmental Protection,0.00691286876860672,0.00796055716530662,0.10476883966999
2060,central,General public services excl interest,0.0213042258325387,0.0212668830905091,-0.00373427420296384
2060,central,Health,0.098005321144195,0.101520447314929,0.351512617073403
2060,central,Housing and community amenities,0.00462576957645181,0.00451783306316831,-0.0107936513283496
2060,central,Public order and safety,0.019106126194067,0.0211080580335598,0.200193183949278
2060,central,"Recreation, culture and religion",0.0066446985694684,0.00708585877341224,0.0441160203943836
2060,central,Social Protection,0.125419853144034,0.116161359427075,-0.925849371695854
2060,central,Transport,0.0156896202364354,0.0175465850996341,0.185696486319874
2060,pressure,Defence,0.0264297615121646,0.0264146452108296,-0.00151163013349769
2060,pressure,Economic affairs,0.0166161560623486,0.0143986552114898,-0.221750085085878
2060,pressure,Education,0.0515155703702448,0.055630702453999,0.411513208375423
2060,pressure,Environmental Protection,0.00744600182265541,0.00857765000157109,0.113164817891568
2060,pressure,General public services excl interest,0.0229472466047287,0.0229079414581813,-0.00393051465474442
2060,pressure,Health,0.11490757400063,0.119033501928215,0.412592792758519
2060,pressure,Housing and community amenities,0.00498251736729932,0.00486620676931392,-0.0116310597985398
2060,pressure,Public order and safety,0.0205846450456156,0.0227476968652488,0.216305181963321
2060,pressure,"Recreation, culture and religion",0.00715714984840212,0.00763379814370653,0.0476648295304412
2060,pressure,Social Protection,0.14703858071413,0.136191264140784,-1.08473165733458
2060,pressure,Transport,0.0168996323795128,0.0189055047414478,0.2005872361935
2060,restraint,Defence,0.0202674982617297,0.0202552569242701,-0.00122413374596432
2060,restraint,Economic affairs,0.0144614975494955,0.0125390678666492,-0.192242968284629
2060,restraint,Education,0.0448148526815412,0.048376637024136,0.356178434259484
2060,restraint,Environmental Protection,0.00648046014420077,0.00746043713786684,0.0979976993666066
2060,restraint,General public services excl interest,0.0199716197474765,0.0199368729177147,-0.00347468297617719
2060,restraint,Health,0.0844325623095499,0.087462660819084,0.303009850953412
2060,restraint,Housing and community amenities,0.00433642187923296,0.00423548994470835,-0.0100931934524608
2060,restraint,Public order and safety,0.0179071653209126,0.0197794576032519,0.187229228233934
2060,restraint,"Recreation, culture and religion",0.00622906432785453,0.00664177961387729,0.0412715286022763
2060,restraint,Social Protection,0.117549419592561,0.108890736793334,-0.865868279922703
2060,restraint,Transport,0.0147082147836517,0.0164452507850984,0.173703600144665
2061,central,Defence,0.0226192872886686,0.0226053856326972,-0.00139016559713885
2061,central,Economic affairs,0.0154307487034617,0.0133300662627256,-0.210068244073614
2061,central,Education,0.0478260537191849,0.0517301020465729,0.390404832738799
2061,central,Environmental Protection,0.00691479921949366,0.00798968477251529,0.107488555302163
