year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2043,restraint,2264339.81306816,0.3422421569795,2457899.60083845,0.371497624241386,6616191.97661785
2044,restraint,2381129.9737224,0.342756504063207,2584673.19179739,0.37205593862708,6947001.57544875
2045,restraint,2503947.13842018,0.343272062702264,2717988.985807,0.372615568134027,7294351.65422118
2046,restraint,2633102.56631978,0.343788844945138,2858184.84901112,0.373176525840617,7659069.23693224
2047,restraint,2768923.60545967,0.344306862734934,3005616.11173978,0.373738824710874,8042022.69877886
2048,restraint,2911754.52517382,0.344826127910044,3160656.47208089,0.374302477595157,8444123.8337178
2049,restraint,3061957.39161726,0.345346652204935,3323698.94624729,0.374867497231016,8866330.02540369
2050,restraint,3219912.98863697,0.345868447251065,3495156.86816532,0.375433896244186,9309646.52667387
2051,restraint,3386021.78633874,0.346391524577903,3675464.94083651,0.376001687149695,9775128.85300757
2052,restraint,3560704.95982308,0.346915895614053,3865080.34215677,0.376570882353085,10263885.2956579
2053,restraint,3744405.46069108,0.347441571688454,4064483.88801655,0.377141494151713,10777079.5604408
2054,restraint,3937589.14405662,0.347968564031659,4274181.25565205,0.37771353473614,11315933.5384629
2055,restraint,4140745.95394314,0.348496883777175,4494704.27037178,0.378287016191585,11881730.215386
2056,restraint,4354391.1700924,0.349026541962859,4726612.25894474,0.378861950499439,12475816.7261553
2057,restraint,4579066.71937007,0.349557549532352,4970493.47310733,0.379438349538827,13099607.5624631
2058,restraint,4815342.55511836,0.350089917336565,5226966.58682545,0.380016225088213,13754587.9405863
2059,restraint,5063818.10797932,0.350623656135183,5496682.27113678,0.380595588827041,14442317.3376156
2060,restraint,5325123.81189615,0.351158776598206,5780324.85059739,0.3811764523374,15164433.2044964
2061,restraint,5599922.70919164,0.351695289307504,6078614.04556509,0.381758827105717,15922654.8647212
2062,restraint,5888912.13882559,0.352233204758387,6392306.80477218,0.382342724524462,16718787.6079572
2063,restraint,6192825.51214618,0.352772533361196,6722199.23287112,0.382928155893867,17554726.9883551
2064,restraint,6512434.18067405,0.353313285442885,7069128.61788013,0.383515132423655,18432463.3377728
2065,restraint,6848549.4006936,0.353855471248623,7433975.56371127,0.38410366523477,19354086.5046615
2066,restraint,7202024.39967414,0.354399100943384,7817666.23323293,0.384693765361106,20321790.8298946
