year,model,value,model_label,path_type
2046,hybrid,0.3566061524867,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2047,hybrid,0.35543482282882,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2048,hybrid,0.354247573809975,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2049,hybrid,0.353044690948146,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2050,hybrid,0.351826452107614,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2051,hybrid,0.350593127791542,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2052,hybrid,0.349344981409468,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2053,hybrid,0.348082269527634,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2054,hybrid,0.346805242106013,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2055,hybrid,0.345514142724112,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2056,hybrid,0.344209208796711,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2057,hybrid,0.34289067178034,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2058,hybrid,0.341558757371097,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2059,hybrid,0.34021368569426,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2060,hybrid,0.338855671486147,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2061,hybrid,0.337484924268616,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2062,hybrid,0.336101648516531,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2063,hybrid,0.334706043818583,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2064,hybrid,0.333298305031735,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2065,hybrid,0.331878622429622,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2066,hybrid,0.330447181845178,Hybrid spending-share model,"PBO through 2029-30, then model changes"
2026,per_capita_income,0.387,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2027,per_capita_income,0.389,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2028,per_capita_income,0.384,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2029,per_capita_income,0.378,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2030,per_capita_income,0.371,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2031,per_capita_income,0.373046390168741,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2032,per_capita_income,0.373747826001602,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2033,per_capita_income,0.373519331535663,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2034,per_capita_income,0.373187377674907,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2035,per_capita_income,0.37220009540197,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2036,per_capita_income,0.371783844138352,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2037,per_capita_income,0.37066001083576,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2038,per_capita_income,0.369501438971589,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2039,per_capita_income,0.36830918384854,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2040,per_capita_income,0.367084278814551,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2041,per_capita_income,0.365827735691937,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2042,per_capita_income,0.364540545197247,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2043,per_capita_income,0.363223677351979,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2044,per_capita_income,0.361878081884518,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2045,per_capita_income,0.360504688623527,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2046,per_capita_income,0.359104407882976,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2047,per_capita_income,0.35767813083907,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2048,per_capita_income,0.356226729899351,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2049,per_capita_income,0.354751059064058,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2050,per_capita_income,0.353251954280089,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2051,per_capita_income,0.351730233787648,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2052,per_capita_income,0.350186698459825,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2053,per_capita_income,0.348622132135286,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2054,per_capita_income,0.347037301944222,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2055,per_capita_income,0.345432958627752,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2056,per_capita_income,0.343809836850915,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2057,per_capita_income,0.342168655509443,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2058,per_capita_income,0.340510118030433,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2059,per_capita_income,0.338834912667086,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2060,per_capita_income,0.33714371278764,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2061,per_capita_income,0.33543717715865,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2062,per_capita_income,0.333715950222725,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2063,per_capita_income,0.331980662370877,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2064,per_capita_income,0.330231930209597,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2065,per_capita_income,0.328470356822732,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2066,per_capita_income,0.326696532028392,Real spending per capita (differences),"PBO through 2029-30, then model changes"
2026,univariate_arima,0.387,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2027,univariate_arima,0.389,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2028,univariate_arima,0.384,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2029,univariate_arima,0.378,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2030,univariate_arima,0.371,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2031,univariate_arima,0.369671382883869,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2032,univariate_arima,0.368947480417968,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2033,univariate_arima,0.368553059200768,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2034,univariate_arima,0.368338157188542,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2035,univariate_arima,0.368221066948857,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2036,univariate_arima,0.368157269853206,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2037,univariate_arima,0.368122509744896,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2038,univariate_arima,0.368103570557816,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2039,univariate_arima,0.368093251464329,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2040,univariate_arima,0.368087629064068,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2041,univariate_arima,0.368084565676306,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2042,univariate_arima,0.368082896576964,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2043,univariate_arima,0.368081987161366,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2044,univariate_arima,0.36808149166256,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2045,univariate_arima,0.368081221688011,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2046,univariate_arima,0.368081074591274,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2047,univariate_arima,0.368080994445016,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2048,univariate_arima,0.368080950776999,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2049,univariate_arima,0.368080926984302,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2050,univariate_arima,0.368080914020754,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
2051,univariate_arima,0.368080906957512,COVID-adjusted ARIMA benchmark,"PBO through 2029-30, then model changes"
