year,scenario,primary_expense_value,primary_expense_ratio,raw_primary_expense_value,raw_primary_expense_ratio,nominal_gdp
2027,restraint,1089487.56756757,0.352,1102771.17723763,0.356291770501154,3095135.13513514
2028,restraint,1105388.82833788,0.347,1149176.35285937,0.360745634675724,3185558.58310627
2029,restraint,1135944.47513812,0.341,1205267.20289245,0.361810040175027,3331215.46961326
2030,restraint,1171908.42696629,0.334,1272854.02943303,0.362770021998366,3508707.86516854
2031,restraint,1233381.02198504,0.334780961398244,1339621.73795772,0.363618253685854,3684143.25842697
2032,restraint,1298070.15083381,0.335561676023489,1409883.04542935,0.364466217343861,3868350.42134832
2033,restraint,1366279.46113115,0.336375558747099,1483967.75500138,0.365350206126939,4061767.94241573
2034,restraint,1438421.32447502,0.337273101356409,1562323.75905007,0.366325061073418,4264856.33953652
2035,restraint,1514418.83397051,0.338183407968491,1644867.52609048,0.367313779485664,4478099.15651334
2036,restraint,1593457.26716076,0.338888956371056,1730714.15527355,0.368080102268656,4702004.11433901
2037,restraint,1675784.1589405,0.339426524194147,1820132.50360287,0.368663974996226,4937104.32005596
2038,restraint,1762356.12713183,0.339963326270812,1914161.58984602,0.369247016017665,5183959.53605876
2039,restraint,1853390.95272672,0.340499231989396,2013037.95416839,0.369829083470718,5443157.5128617
2040,restraint,1949117.57736659,0.34103412408121,2117010.25873856,0.370410049985431,5715315.38850479
2041,restraint,2049791.1214684,0.341570305004081,2226355.59948248,0.37099241634826,6001081.15793003
2042,restraint,2155667.44868499,0.342107790874034,2341351.87958268,0.37157620006343,6301135.21582653
2043,restraint,2267015.67077074,0.342646597738179,2462291.39148546,0.372161418560312,6616191.97661785
2044,restraint,2384118.83439093,0.343186741574466,2589481.56287041,0.372748089193163,6947001.57544875
2045,restraint,2507274.64358542,0.343728238291676,2723245.74134559,0.37333622924111,7294351.65422118
2046,restraint,2636796.21974017,0.34427110372961,2863924.01988128,0.37392585590836,7659069.23693224
2047,restraint,2773012.90101691,0.344815353659469,3011874.10510077,0.374516986324611,8042022.69877886
2048,restraint,2916271.08329254,0.345361003784398,3167472.23065638,0.37510963754564,8444123.8337178
2049,restraint,3066935.10476669,0.345908069740168,3331114.11803524,0.375703826554051,8866330.02540369
2050,restraint,3225388.17650865,0.346456567096002,3503215.98726141,0.376299570260164,9309646.52667387
2051,restraint,3392033.36133262,0.347006511355498,3684215.6200893,0.376896885503024,9775128.85300757
2052,restraint,3567294.60351518,0.347557917957666,3874573.47841873,0.377495789051524,10263885.2956579
2053,restraint,3751617.81199947,0.348110802278053,4074773.88080392,0.378096297605623,10777079.5604408
2054,restraint,3945471.99986852,0.348665179629931,4285326.24007856,0.378698427797647,11315933.5384629
2055,restraint,4149350.4830152,0.349221065265569,4506766.36527651,0.379302196193662,11881730.215386
