year,scenario,category,value,nominal_gdp,applied_excess_cost,raw_value,raw_share_gdp,share_gdp
2047,restraint,Public order and safety,153543.009145441,8042022.69877886,0.00248035707426025,166768.864686787,0.0207371790572177,0.0190925858949335
2047,restraint,"Recreation, culture and religion",53778.5185312848,8042022.69877886,-0.000899246075254549,58410.8812893225,0.00726320771243184,0.00668718810498394
2047,restraint,Social Protection,862606.294663078,8042022.69877886,-0.00187692527148523,936909.294882796,0.116501697393252,0.107262355127903
2047,restraint,Transport,131216.829731174,8042022.69877886,0.000276333048930885,142519.557509383,0.0177218546686052,0.016316396340326
2048,restraint,Defence,171037.897752306,8444123.8337178,,185770.724341792,0.022,0.0202552569242701
2048,restraint,Economic affairs,113023.275073582,8444123.8337178,-0.006,122758.850253804,0.0145377842238199,0.0133848433892305
2048,restraint,Education,409759.39562751,8444123.8337178,0.0019103305056191,445055.16456835,0.0527059021554401,0.0485259813447217
2048,restraint,Environmental Protection,62022.9491789846,8444123.8337178,0.001,67365.4689762389,0.00797779264051591,0.00734510180100912
2048,restraint,General public services excl interest,172628.985883865,8444123.8337178,-0.00252808124686075,187498.865289357,0.0222046560402946,0.0204436824096005
2048,restraint,Health,688095.368822261,8444123.8337178,0.00339038145493983,747366.383486902,0.0885072741949415,0.0814880717493345
2048,restraint,Housing and community amenities,36903.0093584296,8444123.8337178,-0.00306645739551485,40081.7530442018,0.0047467036051927,0.00437025913938804
2048,restraint,Public order and safety,161661.546244215,8444123.8337178,0.00248035707426025,175586.714632646,0.0207939530601765,0.0191448573502312
2048,restraint,"Recreation, culture and religion",56438.6387177756,8444123.8337178,-0.000899246075254549,61300.138350914,0.00725950253194293,0.00668377676940423
2048,restraint,Social Protection,906836.972435132,8444123.8337178,-0.00187692527148523,984949.905506659,0.116643233200075,0.107392666224776
2048,restraint,Transport,137863.044198476,8444123.8337178,0.000276333048930885,149738.262205517,0.0177328358932404,0.0163265066824319
2049,restraint,Defence,179589.792639922,8866330.02540369,,195059.260558881,0.022,0.0202552569242701
2049,restraint,Economic affairs,118031.917121983,8866330.02540369,-0.006,128198.925661231,0.0144590744190569,0.01331237578387
2049,restraint,Education,430156.583150075,8866330.02540369,0.0019103305056191,467209.320754775,0.0526947812021584,0.0485157423553597
2049,restraint,Environmental Protection,65209.5751372881,8866330.02540369,0.001,70826.5838534673,0.00798826387586926,0.00735474259929988
2049,restraint,General public services excl interest,180883.81442392,8866330.02540369,-0.00252808124686075,196464.746520101,0.0221585194727912,0.0204012047719466
2049,restraint,Health,726804.57965825,8866330.02540369,0.00339038145493983,789409.920212983,0.0890345743899873,0.0819735536096467
2049,restraint,Housing and community amenities,38647.6027505362,8866330.02540369,-0.00306645739551485,41976.6218562758,0.00473438522319888,0.00435891768519822
2049,restraint,Public order and safety,170208.893450369,8866330.02540369,0.00248035707426025,184870.311441041,0.0208508267695149,0.0191972206045442
2049,restraint,"Recreation, culture and religion",59230.1968435323,8866330.02540369,-0.000899246075254549,64332.1551254364,0.00725578169785162,0.00668035102165459
2049,restraint,Social Protection,953326.61909539,8866330.02540369,-0.00187692527148523,1035444.06760737,0.116783840060164,0.107522122046431
2049,restraint,Transport,144845.530495424,8866330.02540369,0.000276333048930885,157322.204443682,0.0177437794434591,0.0163365823379475
2050,restraint,Defence,188569.282271918,9309646.52667387,,204812.223586825,0.022,0.0202552569242701
2050,restraint,Economic affairs,123262.270525337,9309646.52667387,-0.006,133879.810149836,0.0143807619082255,0.0132402739644484
2050,restraint,Education,451565.340559291,9309646.52667387,0.0019103305056191,490462.181222735,0.0526832226999671,0.0485051005175622
2050,restraint,Environmental Protection,68559.7508037077,9309646.52667387,0.001,74465.336249292,0.00799872863442612,0.00736437743444622
2050,restraint,General public services excl interest,189532.945542219,9309646.52667387,-0.00252808124686075,205858.894681934,0.022112428661186,0.0203587692614507
2050,restraint,Health,767685.141013213,9309646.52667387,0.00339038145493983,833811.842793958,0.0895642858625117,0.0824612555174519
2050,restraint,Housing and community amenities,40474.5818771356,9309646.52667387,-0.00306645739551485,43960.9729279735,0.00472208829862843,0.00434759598671855
2050,restraint,Public order and safety,179207.682185427,9309646.52667387,0.00248035707426025,194644.235954143,0.0209078008919512,0.0192496763085434
2050,restraint,"Recreation, culture and religion",62159.6821460551,9309646.52667387,-0.000899246075254549,67513.9798189696,0.00725204545903321,0.00667691109087289
2050,restraint,Social Protection,1002190.21044228,9309646.52667387,-0.00187692527148523,1088516.66074459,0.11692352202909,0.107650726326808
2050,restraint,Transport,152181.289142061,9309646.52667387,0.000276333048930885,165289.849131153,0.0177546858151452,0.01634662376343
2051,restraint,Defence,197997.746385514,9775128.85300757,,215052.834766167,0.022,0.0202552569242701
2051,restraint,Economic affairs,128724.141553739,9775128.85300757,-0.006,139812.154680152,0.0143028451882898,0.0131685365471304
2051,restraint,Education,474035.649918976,9775128.85300757,0.0019103305056191,514868.033380589,0.0526712272669609,0.0484940564004051
2051,restraint,Environmental Protection,72081.8636166242,9775128.85300757,0.001,78290.8360775029,0.00800918711710022,0.00737400649142813
2051,restraint,General public services excl interest,198595.198632622,9775128.85300757,-0.00252808124686075,215701.750229719,0.0220663843385914,0.0203163765530844
2051,restraint,Health,810858.549115604,9775128.85300757,0.00339038145493983,880704.112874942,0.0900964198138391,0.0829511877857367
2051,restraint,Housing and community amenities,42387.8341744606,9775128.85300757,-0.00306645739551485,46039.0285506951,0.0047098129592972,0.00433629416162825
2051,restraint,Public order and safety,188681.737577556,9775128.85300757,0.00248035707426025,204934.365544012,0.0209648761285595,0.0193022251077031
