origin_year,forecast_year,horizon,actual,forecast,error,demographic_delta,macro_delta,p,d,q,aic,includes_outlier_year,abs_error,squared_error
2020,2024,4,0.373319151460388,0.395330557499895,0.0220114060395067,0.00543112662258727,0.00515496989479431,2,0,1,-274.778594106918,FALSE,0.0220114060395067,0.000484501995836031
2020,2025,5,0.383248140427108,0.401105465481987,0.0178573250548792,0.00305999619905561,0.00271491178303593,2,0,1,-274.778594106918,FALSE,0.0178573250548792,0.000318884058115616
2021,2022,1,0.378872610307868,0.406812350255958,0.0279397399480899,0.00257825541124351,-0.0158043901000363,2,0,1,-274.778594106918,FALSE,0.0279397399480899,0.000780629068366888
2021,2023,2,0.35791667620989,0.409167021705718,0.0512503454958282,0.00869446805959084,-0.00633979660983087,2,0,1,-274.778594106918,FALSE,0.0512503454958282,0.00262659791344176
2021,2024,3,0.373319151460388,0.420331627407663,0.0470124759472741,0.00543112662258727,0.00573347907935732,2,0,1,-274.778594106918,FALSE,0.0470124759472741,0.00221017289469303
2021,2025,4,0.383248140427108,0.426379624726955,0.0431314842998478,0.00305999619905561,0.00298800112023706,2,0,1,-274.778594106918,FALSE,0.0431314842998478,0.00186032493790802
2022,2023,1,0.35791667620989,0.374280868040785,0.0163641918308951,0.00766167858162076,-0.0122534208487041,2,0,2,-273.614270502649,FALSE,0.0163641918308951,0.000267786774278334
2022,2024,2,0.373319151460388,0.3868056552402,0.013486503779812,0.00517942002840566,0.00734536717100991,2,0,2,-273.614270502649,FALSE,0.013486503779812,0.000181885784202883
2022,2025,3,0.383248140427108,0.39569812227132,0.0124499818442127,0.00344154202251101,0.00545092500860868,2,0,2,-273.614270502649,FALSE,0.0124499818442127,0.000155002047921226
2023,2024,1,0.373319151460388,0.366131137495688,-0.00718801396470042,0.00502623149589132,0.00318822978990688,2,0,2,-276.016013055331,FALSE,0.00718801396470042,5.16675447567283e-05
2023,2025,2,0.383248140427108,0.372640887263077,-0.0106072531640309,0.00326462441694742,0.00324512535044119,2,0,2,-276.016013055331,FALSE,0.0106072531640309,0.000112513819685843
2024,2025,1,0.383248140427108,0.382155635292586,-0.00109250513452169,0.00336294587259262,0.00547353795960472,2,0,2,-282.975076047825,FALSE,0.00109250513452169,1.19356746895626e-06
