datemonth,IDage,exitrate
2018-02-01,23,0.111
2018-03-01,23,0.091
2018-04-01,23,0.105
2018-05-01,23,0.092
2018-06-01,23,0.07
2018-07-01,23,0.076
2006-07-01,24,0.12
2006-08-01,24,0.124
2006-09-01,24,0.115
2006-10-01,24,0.125
2006-11-01,24,0.114
2006-12-01,24,0.082
2007-01-01,24,0.125
2007-02-01,24,0.158
2007-03-01,24,0.14
2007-04-01,24,0.123
2007-05-01,24,0.133
2007-06-01,24,0.114
2007-07-01,24,0.141
2007-08-01,24,0.136
2007-09-01,24,0.114
2007-10-01,24,0.138
2007-11-01,24,0.119
2007-12-01,24,0.086
2008-01-01,24,0.128
2008-02-01,24,0.16
2008-03-01,24,0.131
2008-04-01,24,0.133
2008-05-01,24,0.127
2008-06-01,24,0.1
2008-07-01,24,0.138
2008-08-01,24,0.126
2008-09-01,24,0.116
2008-10-01,24,0.117
2008-11-01,24,0.087
2008-12-01,24,0.072
2009-01-01,24,0.102
2009-02-01,24,0.121
2009-03-01,24,0.124
2009-04-01,24,0.107
2009-05-01,24,0.101
2009-06-01,24,0.101
2009-07-01,24,0.119
2009-08-01,24,0.101
2009-09-01,24,0.103
2009-10-01,24,0.105
2009-11-01,24,0.1
2009-12-01,24,0.079
2010-01-01,24,0.109
2010-02-01,24,0.131
2010-03-01,24,0.128
2010-04-01,24,0.113
2010-05-01,24,0.107
2010-06-01,24,0.1
2010-07-01,24,0.12
2010-08-01,24,0.126
2010-09-01,24,0.12
2010-10-01,24,0.12
2010-11-01,24,0.106
2010-12-01,24,0.083
2011-01-01,24,0.11
2011-02-01,24,0.141
2011-03-01,24,0.126
2011-04-01,24,0.105
2011-05-01,24,0.113
2011-06-01,24,0.112
2011-07-01,24,0.129
2011-08-01,24,0.128
2011-09-01,24,0.128
2011-10-01,24,0.11
2011-11-01,24,0.111
2011-12-01,24,0.078
2012-01-01,24,0.115
2012-02-01,24,0.15
2012-03-01,24,0.12
2012-04-01,24,0.101
2012-05-01,24,0.112
2012-06-01,24,0.098
2012-07-01,24,0.121
2012-08-01,24,0.109
2012-09-01,24,0.095
2012-10-01,24,0.107
2012-11-01,24,0.098
2012-12-01,24,0.067
2013-01-01,24,0.099
2013-02-01,24,0.128
2013-03-01,24,0.103
2013-04-01,24,0.098
2013-05-01,24,0.094
2013-06-01,24,0.084
2013-07-01,24,0.104
2013-08-01,24,0.104
2013-09-01,24,0.088
2013-10-01,24,0.099
2013-11-01,24,0.088
2013-12-01,24,0.067
2014-01-01,24,0.097
2014-02-01,24,0.127
2014-03-01,24,0.106
2014-04-01,24,0.083
2014-05-01,24,0.093
2014-06-01,24,0.087
2014-07-01,24,0.115
2014-08-01,24,0.091
2014-09-01,24,0.09
2014-10-01,24,0.093
2014-11-01,24,0.071
2014-12-01,24,0.06
2015-01-01,24,0.092
2015-02-01,24,0.117
2015-03-01,24,0.098
2015-04-01,24,0.092
2015-05-01,24,0.092
2015-06-01,24,0.084
2015-07-01,24,0.119
2015-08-01,24,0.1
2015-09-01,24,0.099
2015-10-01,24,0.086
2015-11-01,24,0.084
2015-12-01,24,0.061
2016-01-01,24,0.104
2016-02-01,24,0.123
2016-03-01,24,0.092
2016-04-01,24,0.112
2016-05-01,24,0.102
2016-06-01,24,0.094
2016-07-01,24,0.108
2016-08-01,24,0.105
2016-09-01,24,0.095
2016-10-01,24,0.096
2016-11-01,24,0.093
2016-12-01,24,0.055
