,EE,EU,EN,UE,UU,UN,NE,NU,NN,EU_inv,EU_vol,EU_j2j,UNEMP,EMP,NILF,age,SEP_RATE,inv_share,vol_share,,EU_all,UE_all,E_all,U_all,vol_EU_strict,,
38,58769.87136,78618.65433,15989010.33,680123.5485,7962.018967,0.106505312,0.039326357,,0.132179311,0.003667336,0.116374834,0.040663926,0.030550396,0.02661976,14.76585915,,,,,,,,,,,,
39,59485.63578,81511.41428,16558453.52,688853.4718,7673.694919,0.113678756,0.038707359,,0.12750406,0.003563826,0.117949368,0.040134275,0.029328716,0.025685237,14.18511235,,,,,,,,,,,,
40,59620.21008,80699.2221,16499227.66,682909.586,7454.000101,0.130052316,0.039399854,,0.125469731,0.003607216,0.117861677,0.040078306,0.029696622,0.026067724,13.92103945,,,,,,,,,,,,
41,58218.29652,80235.30435,16414452.21,681942.7331,7112.719877,0.11711511,0.043143037,,0.123290804,0.003594333,0.118603665,0.039927506,0.029414007,0.025881389,13.64926118,,,,,,,,,,,,
42,59176.35879,81307.60899,16389401.48,684081.5482,7616.772211,0.119480479,0.039600833,,0.130843985,0.003589555,0.119092606,0.039824575,0.02925898,0.02552835,14.61367365,,,,,,,,,,,,
43,58839.26292,82272.22449,16411627.48,679074.4922,7899.432636,0.116894224,0.040664457,,0.132536284,0.003447615,0.121310021,0.03928637,0.0276345,0.024060048,14.85638051,,,,,,,,,,,,
44,60297.01028,87481.07504,17580236.47,715644.0831,8087.590941,0.117255479,0.041517242,,0.131336203,0.003435755,0.122713677,0.038913048,0.027235599,0.02374351,14.70755234,,,,,,,,,,,,
45,60928.97668,86947.02837,17772355.51,713865.421,8224.095582,0.127463644,0.039103506,,0.126842434,0.003467022,0.121001949,0.038534666,0.027854509,0.024407611,14.12222778,,,,,,,,,,,,
46,64158.83154,89662.22369,18675611.18,738666.5057,8396.393025,0.123388133,0.036958534,,0.13934032,0.003388674,0.119591759,0.037608303,0.027554581,0.023806521,15.74383686,,,,,,,,,,,,
47,56041.75095,78509.67331,16604586.27,649040.5385,7519.870151,0.126462052,0.034482508,,0.132689101,0.003419588,0.119508908,0.0375487,0.027817703,0.02421598,14.87332807,,,,,,,,,,,,
48,52740.09313,72488.06151,15417210.54,596836.1983,6853.982344,0.126311656,0.035347466,,0.126260105,0.003473536,0.116371679,0.037563025,0.028983517,0.025417067,14.03170941,,,,,,,,,,,,
49,48672.59809,64976.61355,14212847.95,543829.4205,5984.152916,0.114646767,0.03599441,,0.127334139,0.00342382,0.116782231,0.037065501,0.028482924,0.024946553,14.17579115,,,,,,,,,,,,
50,42740.54362,57722.30274,12926116.76,489047.6567,5217.56042,0.104423397,0.034805772,,0.125056218,0.003296054,0.113540954,0.03716219,0.028210705,0.024770168,13.88984028,,,,,,,,,,,,
51,37694.45589,51089.36225,11668405.2,444218.5286,4275.437155,0.118734818,0.039064406,,0.125128995,0.003324256,0.112851156,0.037546887,0.028614113,0.025123612,13.8933099,,,,,,,,,,,,
53,35977.40386,45628.54561,10366287.83,404133.2572,4138.486763,0.08865917,0.040793376,,0.129904711,0.003355319,0.112196078,0.037847957,0.02903746,0.025361022,14.49641316,,,,,,,,,,,,
54,31127.92149,40078.26988,9160837.528,361954.7008,3656.130766,0.120950438,0.037039531,,0.130168671,0.003338294,0.11035592,0.03788824,0.02936204,0.025638011,14.52542,,,,,,,,,,,,
55,26345.78677,34780.90375,7966867.271,317110.3874,3421.207494,0.098292157,0.03997371,,,,,,,,,,,,,,,,,,,,
56,27245.12594,36230.52639,8170458.462,328711.7812,3307.523782,0.117179945,0.040420801,,,,,,,,,,,,,,,,,,,,
57,26092.29535,35321.41044,8092853.451,324984.0223,3447.311605,0.120566356,0.037192142,,,,,,,,,,,,,,,,,,,,
58,24787.07549,35956.20314,8006224.077,317461.657,3674.659092,0.109750228,0.035710009,,,,,,,,,,,,,,,,,,,,
