income,income_budget_year,income_future_year,etr_pre_budget_2026,etr_budget_year,etr_future_year,diff,diff_doll
59500,62512.1875,80020.8850426547,0.14336974789916,0.139066307070121,0.175057617837261,0.0359913107671393,2141.48299064479
60000,63037.5,80693.3294547778,0.1448,0.14053242117787,0.176098804355283,0.0355663831774131,2133.98299064479
60500,63562.8125,81365.773866901,0.146206611570248,0.141974301994582,0.177122781178793,0.0351484791842113,2126.48299064478
61000,64088.125,82038.2182790241,0.147590163934426,0.143392545420856,0.178129971497,0.034737426076144,2118.98299064479
61500,64613.4375,82710.6626911473,0.148951219512195,0.14478772797841,0.179120784736862,0.0343330567584518,2111.48299064479
62000,65138.75,83383.1071032704,0.150290322580645,0.146160407591487,0.180095617118016,0.0339352095265288,2103.98299064479
62500,65664.0625,84055.5515153936,0.151608,0.147511124330756,0.181054852181072,0.0335437278503166,2096.48299064479
63000,66189.375,84727.9959275167,0.152904761904762,0.148840401121781,0.181998861290746,0.0331584601689648,2088.98299064479
63500,66714.6875,85400.4403396399,0.154181102362205,0.150137947509684,0.182928004115228,0.032790056605544,2082.16859445204
64000,67240,86072.884751763,0.1554375,0.151308744794765,0.183842629083078,0.0325338842883132,2082.16859445204
64500,67765.3125,86745.3291638862,0.156674418604651,0.152461390183953,0.184743073818868,0.0322816836349154,2082.16859445204
65000,68290.625,87417.7735760093,0.157892307692308,0.153596302567153,0.185629665558723,0.0320333629915699,2082.16859445204
65500,68815.9375,88090.2179881325,0.159091603053435,0.15471388804374,0.186502721546825,0.0317888335030847,2082.16859445204
66000,69341.25,88762.6624002556,0.160272727272727,0.155814540407045,0.187362549413894,0.0315480090068492,2082.16859445204
66500,69866.5625,89435.1068123788,0.161436090225564,0.156898641606992,0.188209447538602,0.0313108059316097,2082.16859445204
67000,70391.875,90107.5512245019,0.162507462686567,0.157966562192014,0.189043705392791,0.0310771432007768,2082.16859445204
67500,70917.1875,90779.9956366251,0.163525925925926,0.159018661731333,0.189865603871363,0.0308469421400303,2082.16859445205
68000,71442.5,91452.4400487482,0.164529411764706,0.160055289218602,0.190675415607603,0.0306201263890007,2082.16859445205
68500,71967.8125,92124.8844608714,0.165518248175182,0.161076783457883,0.191473405274701,0.0303966218168182,2082.16859445205
69000,72493.125,92797.3288729945,0.166492753623188,0.162083473432826,0.19225982987416,0.030176356441334,2082.16859445205
69500,73018.4375,93469.7732851176,0.167453237410072,0.163075678659928,0.193034939011755,0.0299592603518279,2082.16859445204
70000,73543.75,94142.2176972408,0.1684,0.164053709526642,0.193798975161671,0.0297452656350292,2082.16859445204
70500,74069.0625,94814.6621093639,0.169333333333333,0.165017867615106,0.19455217391939,0.0295343063042843,2082.16859445204
71000,74594.375,95487.1065214871,0.170253521126761,0.165968446012183,0.195294764243901,0.0293263182317189,2082.16859445204
71500,75119.6875,96159.5509336103,0.171160839160839,0.166905729606503,0.196026968689748,0.0291212390832454,2082.16859445204
72000,75645,96831.9953457334,0.172055555555556,0.167829995373124,0.196749003629403,0.0289190082562784,2082.16859445204
72500,76170.3125,97504.4397578565,0.172937931034483,0.168741512646413,0.197461079466441,0.0287195668200282,2082.16859445204
73000,76695.625,98176.8841699797,0.173808219178082,0.169640543381712,0.198163400839959,0.0285228574582471,2082.16859445204
73500,77220.9375,98849.3285821028,0.174666666666667,0.170527342406326,0.19885616682064,0.0283288244143135,2082.16859445204
74000,77746.25,99521.772994226,0.175513513513514,0.171402157660337,0.199539571098878,0.0281374134385411,2082.16859445204
74500,78271.5625,100194.217406349,0.176348993288591,0.172265230427718,0.200213802165329,0.0279485717376113,2082.16859445204
75000,78796.875,100866.661818472,0.177173333333333,0.173116795558199,0.200879043484227,0.0277622479260272,2082.16859445204
75500,79322.1875,101539.106230595,0.177986754966887,0.173957081680331,0.201535473659828,0.0275783919794972,2082.16859445204
76000,79847.5,102211.550642719,0.178789473684211,0.174786311406118,0.202183266596276,0.0273969551901584,2082.16859445204
76500,80372.8125,102883.995054842,0.179581699346405,0.175604701527647,0.202822591651203,0.0272178901235561,2082.16859445204
77000,80898.125,103556.439466965,0.180363636363636,0.176412463206038,0.203453613783338,0.0270411505772993,2082.16859445204
77500,81423.4375,104228.883879088,0.181135483870968,0.177209802153096,0.204076493694413,0.0268666915413167,2082.16859445204
78000,81948.75,104901.328291211,0.181897435897436,0.177996918805961,0.204691387965603,0.0266944691596416,2082.16859445204
78500,82474.0625,105573.772703334,0.182649681528662,0.178774008495095,0.205298449188752,0.0265244406936566,2082.16859445204
79000,82999.375,106246.217115457,0.183392405063291,0.179541261605886,0.20589782609262,0.0263565644867347,2082.16859445204
79500,83524.6875,106918.661527581,0.184125786163522,0.18029886373415,0.206489663664365,0.0261907999302144,2082.16859445204
80000,84050,107591.105939704,0.18485,0.181046995835812,0.207074103266463,0.0260271074306505,2082.16859445204
80500,84575.3125,108263.550351827,0.185565217391304,0.181785834370993,0.20765128274928,0.0258654483782863,2082.16859445204
81000,85100.625,108935.99476395,0.186271604938272,0.182515551442777,0.208221336559469,0.0257057851166919,2082.16859445204
81500,85625.9375,109608.439176073,0.186969325153374,0.183236314930858,0.20878439584438,0.025548080913522,2082.16859445204
82000,86151.25,110280.883588196,0.187658536585366,0.183948288620304,0.209340588552646,0.025392299932342,2082.16859445204
82500,86676.5625,110953.32800032,0.188339393939394,0.184651632325636,0.209890039531115,0.0252384072054793,2082.16859445204
83000,87201.875,111625.772412443,0.189012048192771,0.185346502010421,0.210432870618277,0.025086368607856,2082.16859445204
83500,87727.1875,112298.216824566,0.189676646706587,0.186033049902574,0.210969200734335,0.024936150831761,2082.16859445204
84000,88252.5,112970.661236689,0.190333333333333,0.186711424605535,0.21149914596806,0.0247877213625243,2082.16859445204
84500,88777.8125,113643.105648812,0.19098224852071,0.187381771205503,0.212022819660556,0.0246410484550537,2082.16859445204
85000,89303.125,114315.550060935,0.191623529411765,0.188044231374882,0.212540332486082,0.0244961011112005,2082.16859445204
85500,89828.4375,114987.994473058,0.19225730994152,0.188698943472105,0.213051792530023,0.0243528490579186,2082.16859445204
86000,90353.75,115660.438885182,0.192883720930233,0.189346042637965,0.213557305364151,0.0242112627261865,2082.16859445204
86500,90879.0625,116332.883297305,0.19350289017341,0.189985660888612,0.214056974119272,0.0240713132306595,2082.16859445204
87000,91404.375,117005.327709428,0.194114942528736,0.190617927205344,0.214550899555368,0.0239329723500235,2082.16859445204
87500,91929.6875,117677.772121551,0.19472,0.191242967621314,0.215039180129337,0.0237962125080233,2082.16859445204
88000,92455,118350.216533674,0.195318181818182,0.191860905305284,0.21552191206042,0.0236610067551368,2082.16859445204
88500,92980.3125,119022.660945797,0.195909604519774,0.192471860642542,0.215999189393412,0.0235273287508705,2082.16859445204
89000,93505.625,119695.10535792,0.196494382022472,0.193075951313089,0.216471104059742,0.0233951527466521,2082.16859445204
89500,94030.9375,120367.549770044,0.197072625698324,0.193673292367206,0.216937745936503,0.0232644535692966,2082.16859445204
90000,94556.25,121039.994182167,0.197644444444444,0.1942639962985,0.217399202903522,0.0231352066050227,2082.16859445204
90500,95081.5625,121712.43859429,0.198209944751381,0.19484817311453,0.21785556089853,0.0230073877840005,2082.16859445204
91000,95606.875,122384.883006413,0.198769230769231,0.195425930405109,0.218306903970517,0.0228809735654071,2082.16859445204
91500,96132.1875,123057.327418536,0.199322404371585,0.19599737340836,0.218753314331333,0.0227559409229731,2082.16859445204
92000,96657.5,123729.771830659,0.199869565217391,0.196562605074619,0.21919487240562,0.0226322673310005,2082.16859445204
92500,97182.8125,124402.216242782,0.200410810810811,0.19712172612827,0.219631656879103,0.0225099307508329,2082.16859445204
93000,97708.125,125074.660654906,0.20094623655914,0.19767483512758,0.220063744745344,0.0223889096177639,2082.16859445204
93500,98233.4375,125747.105067029,0.201475935828877,0.19822202852262,0.220491211350984,0.0222691828283641,2082.16859445204
94000,98758.75,126419.549479152,0.202,0.198763400711329,0.220914130439543,0.0221507297282132,2082.16859445204
94500,99284.0625,127091.993891275,0.202518518518519,0.199299044093809,0.221332574193831,0.0220335301000216,2082.16859445204
95000,99809.375,127764.438303398,0.203031578947368,0.199829049124894,0.221746613277021,0.0219175641521268,2082.16859445204
95500,100334.6875,128436.882715521,0.203539267015707,0.200353504365078,0.222156316872429,0.0218028125073512,2082.16859445204
96000,100860,129109.327127645,0.204041666666667,0.200872496529843,0.222561752722052,0.0216892561922088,2082.16859445204
96500,101385.3125,129781.771539768,0.204538860103627,0.201386110537461,0.222962987163907,0.0215768766264461,2082.16859445204
97000,101910.625,130454.215951891,0.205030927835052,0.201894429555309,0.223360085168217,0.0214656556129077,2082.16859445204
97500,102435.9375,131126.660364014,0.205517948717949,0.202397535044769,0.223753110372482,0.0213555753277133,2082.16859445204
98000,102961.25,131799.104776137,0.206,0.202895506804744,0.22414212511548,0.0212466183107351,2082.16859445204
98500,103486.5625,132471.54918826,0.206477157360406,0.203388423013857,0.224527190470223,0.0211387674563659,2082.16859445204
99000,104011.875,133143.993600383,0.206949494949495,0.203876360271363,0.224908366275929,0.0210320060045661,2082.16859445204
99500,104537.1875,133816.438012507,0.207417085427136,0.204359393636834,0.225285711169015,0.0209263175321813,2082.16859445204
1e+05,105062.5,134488.88242463,0.20788,0.20483759666865,0.22565928261317,0.0208216859445204,2082.16859445204
100500,105587.8125,135161.326836753,0.208338308457711,0.205311041461343,0.226112688036207,0.0208016465748644,2090.56548077388
101000,106113.125,135833.771248876,0.208792079207921,0.205779798681831,0.226825001461771,0.0210452027799394,2125.56548077387
