time,counts,surv,strata
510,190350,0.355288797794792,2016
540,183296,0.342532922911204,2016
570,177013,0.330777545471206,2016
600,171092,0.319691659778507,2016
630,165257,0.308764731623574,2016
660,160167,0.299352575299121,2016
690,155453,0.290439732652123,2016
720,150888,0.281841064903298,2016
750,146501,0.273756671541364,2016
780,142497,0.266261356113507,2016
810,138495,0.258752950064892,2016
840,134471,0.251296906499306,2016
870,131020,0.24488437241694,2016
900,127768,0.238761702079912,2016
930,124657,0.232880273182554,2016
960,121541,0.22716902235504,2016
990,118602,0.221637300040768,2016
1020,115816,0.216430973156747,2016
1050,113110,0.211383603810493,2016
1080,110718,0.206957103905867,2016
1110,108413,0.202625978523902,2016
1140,106233,0.198504303074052,2016
0,471142,0.998089747889171,2017
30,438699,0.929900115039627,2017
60,407006,0.861508844467273,2017
90,374857,0.789515687414835,2017
120,342018,0.724747528346019,2017
150,316358,0.670441183337508,2017
180,293972,0.622846190745041,2017
210,273396,0.579462242805779,2017
240,257541,0.545952175777155,2017
270,243599,0.516141630336502,2017
300,231176,0.489109440465932,2017
330,219692,0.465778894685679,2017
360,209476,0.444082675711357,2017
390,199775,0.4234328503933,2017
420,190358,0.403530145900812,2017
450,182518,0.387042547682015,2017
480,175377,0.371779633316495,2017
510,168941,0.357783852851158,2017
540,162822,0.345297171553375,2017
570,157349,0.333710431250027,2017
600,152156,0.322658561537711,2017
630,146979,0.311678856905137,2017
660,142683,0.302600914374011,2017
690,138727,0.294221275114509,2017
720,134934,0.285977476005111,2017
750,131389,0.278716395481617,2017
780,128073,0.271676055202041,2017
810,125025,0.265174830518188,2017
840,121994,0.258771240942221,2017
870,119442,0.253399187506102,2017
900,117010,0.248216036778721,2017
930,114829,0.243518939088428,2017
960,112917,0.239549859702595,2017
990,111177,0.235882175649804,2017
1020,109638,0.232598664521525,2017
1050,108102,0.229380950965951,2017
1080,106758,0.226519817804399,2017
1110,105487,0.223798769797641,2017
1140,104259,0.221171111894079,2017
0,430299,0.998728790910506,2018
30,405582,0.941503466194437,2018
60,378832,0.877698995349745,2018
90,349967,0.805567756374056,2018
120,319976,0.742346600851966,2018
150,297825,0.691072951598772,2018
180,278656,0.64641563192106,2018
210,260325,0.604089249568323,2018
240,245453,0.56967132156942,2018
270,232316,0.538820680503557,2018
300,220828,0.511056265526994,2018
330,210367,0.488383658804692,2018
360,201500,0.467753817694208,2018
390,192757,0.447484191225171,2018
420,184874,0.429155075889091,2018
450,178123,0.413617043032868,2018
480,172213,0.399782476835875,2018
510,166965,0.38712151318037,2018
540,162247,0.376768247195555,2018
570,158351,0.367846543914813,2018
600,154909,0.359756820257542,2018
630,151866,0.352738444662897,2018
660,149225,0.346642683343442,2018
690,146869,0.341125589415732,2018
720,144627,0.335759553240886,2018
750,142409,0.330835070497491,2018
780,140373,0.326108124815535,2018
810,138491,0.321736745844169,2018
840,136464,0.317028391885642,2018
870,134407,0.312220107413682,2018
900,132181,0.307009776922559,2018
930,129833,0.301304441795124,2018
960,127225,0.295531711670257,2018
990,124841,0.289989054122831,2018
1020,122385,0.284237239686823,2018
1050,119763,0.278178661814227,2018
1080,117291,0.272433819274505,2018
1110,114823,0.266598342083064,2018
1140,112332,0.260690821963333,2018
0,412783,0.999159364605616,2019
30,395889,0.95811116252365,2019
60,372876,0.901219284708915,2019
90,347967,0.8367471528624,2019
120,324452,0.784957229343262,2019
150,306471,0.741597885571838,2019
180,291352,0.704951512053548,2019
210,277814,0.672367805844717,2019
240,267558,0.647713205243432,2019
270,259067,0.626903239716751,2019
300,251912,0.608765380357233,2019
330,245435,0.594297730284435,2019
360,239582,0.580154705983531,2019
390,234361,0.567445849271894,2019
420,229231,0.555039815108665,2019
450,224323,0.543174016371799,2019
480,219365,0.530959366059165,2019
510,213997,0.517170038494803,2019
540,208059,0.503712604443497,2019
570,202606,0.49040779295659,2019
600,196935,0.476664494419586,2019
630,191079,0.462531160440232,2019
660,185797,0.449802923085496,2019
690,180537,0.436832427692032,2019
720,175231,0.423263554942912,2019
750,169577,0.410491711141206,2019
780,164705,0.398691322074795,2019
810,159676,0.386471826601387,2019
840,154564,0.374138469849776,2019
870,150063,0.363309535518663,2019
900,145595,0.352332823783926,2019
930,141315,0.341612905570239,2019
960,137241,0.33226416785575,2019
990,133492,0.323179491403474,2019
1020,129863,0.314361298793798,2019
1050,126192,0.30547285135289,2019
1080,122895,0.297597042513864,2019
1110,119760,0.289888391721559,2019
