date,variable,JSP_DSP_age,JSP_age,JSP,NSA,NSA_age,JSP_xPP,JSP_xPP_age
2008-12-01,count_halftoyear,109520,95069,104422,72161,64913,73499,66124
2009-01-01,count_halftoyear,113963,99063,108742,75673,68193,77053,69438
2009-02-01,count_halftoyear,115683,100792,110387,77944,70301,79306,71523
2009-03-01,count_halftoyear,117674,102566,112512,79888,72018,81267,73253
2009-04-01,count_halftoyear,121162,105700,115812,82913,74899,84217,76060
2009-05-01,count_halftoyear,126529,110445,121471,87686,78957,89031,80148
2009-06-01,count_halftoyear,134830,118077,129828,95059,85461,96418,86684
2009-07-01,count_halftoyear,141408,124310,136898,101979,91449,103322,92655
2009-08-01,count_halftoyear,148057,130701,144168,108426,97149,109770,98359
2009-09-01,count_halftoyear,157184,139307,153703,117108,104813,118411,105965
2009-10-01,count_halftoyear,166821,148422,164076,126342,112797,127708,114015
2009-11-01,count_halftoyear,167192,148970,164544,127314,113644,128606,114787
2009-12-01,count_halftoyear,166349,148204,163977,126915,113232,128145,114324
2010-01-01,count_halftoyear,167303,149237,164940,127752,114117,128932,115153
2010-02-01,count_halftoyear,164342,146236,161606,125058,111510,126252,112562
2010-03-01,count_halftoyear,158341,140230,154981,119235,106298,120385,107329
2010-04-01,count_halftoyear,149821,132091,145853,111526,99488,112633,100479
2010-05-01,count_halftoyear,145792,128082,141593,107784,96069,108879,97043
2010-06-01,count_halftoyear,145948,128034,141501,107810,96077,108961,97121
2010-07-01,count_halftoyear,143460,125718,139173,106137,94461,107395,95602
2010-08-01,count_halftoyear,142431,124581,138062,104676,93119,105901,94235
2010-09-01,count_halftoyear,141615,123625,136788,103050,91750,104290,92884
2010-10-01,count_halftoyear,142446,124085,137377,103249,91910,104433,92984
2010-11-01,count_halftoyear,139326,121040,133795,100465,89501,101674,90584
2010-12-01,count_halftoyear,137260,119027,131491,98402,87614,99573,88656
2011-01-01,count_halftoyear,137436,119147,131514,98467,87755,99638,88785
2011-02-01,count_halftoyear,135603,117398,129394,97233,86730,98433,87778
2011-03-01,count_halftoyear,134765,116438,128496,96197,85753,97469,86864
2011-04-01,count_halftoyear,131336,113196,124828,93121,82959,94438,84131
2011-05-01,count_halftoyear,132878,114558,126530,94329,83946,95644,85125
2011-06-01,count_halftoyear,133986,115808,127844,95799,85399,97154,86607
2011-07-01,count_halftoyear,134058,116292,128401,96918,86302,98257,87490
2011-08-01,count_halftoyear,134100,116678,129217,97268,86423,98526,87543
2011-09-01,count_halftoyear,132565,115438,127697,96121,85405,97329,86471
2011-10-01,count_halftoyear,134361,117143,129798,97796,86741,99054,87839
2011-11-01,count_halftoyear,130352,113820,125846,95192,84526,96443,85614
2011-12-01,count_halftoyear,130755,114252,126335,95529,84739,96780,85840
2012-01-01,count_halftoyear,132513,116030,128260,97035,86111,98349,87275
2012-02-01,count_halftoyear,132374,116099,128152,97611,86695,98931,87867
2012-03-01,count_halftoyear,130942,115010,127280,96910,85860,98288,87091
2012-04-01,count_halftoyear,128598,113379,125578,95949,84923,97306,86144
2012-05-01,count_halftoyear,132427,117016,130067,99238,87586,100644,88837
2012-06-01,count_halftoyear,134232,119124,132401,101808,89956,103271,91244
2012-07-01,count_halftoyear,135712,121004,134366,104250,92157,105689,93416
2012-08-01,count_halftoyear,138328,123996,137933,106820,94257,108209,95465
2012-09-01,count_halftoyear,140297,126283,140269,108752,96147,110104,97301
2012-10-01,count_halftoyear,142450,128669,142993,111103,98152,112485,99342
2012-11-01,count_halftoyear,141055,127662,141784,110468,97603,111824,98775
2012-12-01,count_halftoyear,141730,128591,143019,111843,98684,113121,99796
2013-01-01,count_halftoyear,143664,130595,145227,114102,100823,115345,101909
2013-02-01,count_halftoyear,144502,131440,143603,113120,102099,114359,103215
2013-03-01,count_halftoyear,142854,129844,139773,109669,100824,111011,102034
2013-04-01,count_halftoyear,142658,129661,137432,107670,100769,109060,102035
2013-05-01,count_halftoyear,146222,133042,139543,109188,103691,110683,105067
2013-06-01,count_halftoyear,148034,134700,139448,109520,105612,111012,106985
2013-07-01,count_halftoyear,150918,137702,140842,168422,165677,169939,167068
2013-08-01,count_halftoyear,153305,140067,143930,169849,166671,171384,168073
2013-09-01,count_halftoyear,155202,141906,146103,170674,167180,172233,168610
2013-10-01,count_halftoyear,156174,142821,147585,171047,167169,172630,168609
2013-11-01,count_halftoyear,156140,142818,147829,170417,166252,171908,167616
2013-12-01,count_halftoyear,157224,144088,149758,171363,166699,172891,168090
2014-01-01,count_halftoyear,159388,146105,153213,123254,117654,124825,119056
2014-02-01,count_halftoyear,158256,145011,152909,123398,116809,124996,118226
2014-03-01,count_halftoyear,154887,141619,150695,121874,114189,123352,115514
2014-04-01,count_halftoyear,155086,141894,152065,122919,114163,124312,115406
2014-05-01,count_halftoyear,154630,141561,152794,124236,114535,125575,115722
2014-06-01,count_halftoyear,154293,141421,153124,125211,114874,126482,116010
2014-07-01,count_halftoyear,155785,143154,154885,127386,116919,128623,118037
2014-08-01,count_halftoyear,155354,143070,154700,126931,116595,128164,117711
2014-09-01,count_halftoyear,156510,144390,156005,127668,117342,128921,118466
2014-10-01,count_halftoyear,157395,145350,156873,128550,118270,129764,119365
2014-11-01,count_halftoyear,153362,141758,152880,125356,115248,126543,116305
2014-12-01,count_halftoyear,151113,139756,150908,123665,113621,124817,114658
2015-01-01,count_halftoyear,151502,140230,151376,123936,113985,125118,115033
2015-02-01,count_halftoyear,148966,137874,149051,122435,112406,123624,113456
2015-03-01,count_halftoyear,144510,133719,144743,119058,109052,120280,110134
2015-04-01,count_halftoyear,141429,130849,141557,116586,106751,117823,107842
2015-05-01,count_halftoyear,142319,131709,142630,117365,107505,118638,108609
2015-06-01,count_halftoyear,145825,135240,146303,120694,110591,122101,111820
2015-07-01,count_halftoyear,146500,136128,147058,122076,111927,123510,113204
2015-08-01,count_halftoyear,145965,135793,146845,121351,111179,122784,112453
2015-09-01,count_halftoyear,147090,137013,148232,122003,111610,123448,112888
2015-10-01,count_halftoyear,149092,139088,150586,123604,113009,125051,114288
2015-11-01,count_halftoyear,146991,137293,148528,121938,111425,123419,112747
2015-12-01,count_halftoyear,145036,135573,146772,120364,109849,121830,111157
2016-01-01,count_halftoyear,147436,138275,149644,122899,112284,124377,113591
2016-02-01,count_halftoyear,143954,135100,146392,120417,109634,121879,110943
2016-03-01,count_halftoyear,140699,132265,143704,118020,107235,119492,108537
2016-04-01,count_halftoyear,136993,129054,140415,115482,104658,116988,105988
2016-05-01,count_halftoyear,135094,127499,139000,113953,102964,115420,104264
2016-06-01,count_halftoyear,136457,129169,140636,115422,104389,116823,105622
2016-07-01,count_halftoyear,134386,127377,138702,114000,103001,115324,104169
2016-08-01,count_halftoyear,135079,128497,139895,114469,103458,115713,104560
2016-09-01,count_halftoyear,135452,129045,140276,114626,103603,115784,104642
2016-10-01,count_halftoyear,136614,130494,141606,115952,105053,116994,106003
2016-11-01,count_halftoyear,135753,129703,140741,115362,104495,116321,105382
2016-12-01,count_halftoyear,136193,130225,141411,115856,104926,116804,105807
2017-01-01,count_halftoyear,139975,133892,145136,119289,108362,120274,109278
2017-02-01,count_halftoyear,139184,132876,143895,118809,107936,119889,108926
2017-03-01,count_halftoyear,139858,133315,144601,119765,108695,120850,109684
2017-04-01,count_halftoyear,137691,130875,142216,117755,106617,118700,107485
2017-05-01,count_halftoyear,139649,132561,144191,119698,108375,120602,109203
2017-06-01,count_halftoyear,140133,132839,144220,120202,108968,121145,109842
2017-07-01,count_halftoyear,137646,130407,141545,118625,107479,119507,108280
2017-08-01,count_halftoyear,137734,130420,142047,118926,107445,119784,108218
2017-09-01,count_halftoyear,134607,127291,138541,115698,104351,116528,105108
2017-10-01,count_halftoyear,135616,128265,139767,116869,105310,117817,106162
2017-11-01,count_halftoyear,130706,123525,134671,112725,101345,113771,102286
2017-12-01,count_halftoyear,127314,120125,131433,109862,98457,110923,99425
2018-01-01,count_halftoyear,127805,120578,132257,110853,99218,111829,100119
2018-02-01,count_halftoyear,123326,116065,127433,107512,95966,108470,96848
2018-03-01,count_halftoyear,121250,113987,125535,106055,94474,107047,95386
2018-04-01,count_halftoyear,117337,110167,121412,102723,91399,103724,92307
2018-05-01,count_halftoyear,118431,111150,122863,103736,92158,104780,93105
2018-06-01,count_halftoyear,117488,110269,121789,103297,91852,104307,92773
2018-07-01,count_halftoyear,117659,110464,121716,103476,92135,104522,93081
2018-08-01,count_halftoyear,120417,113186,124925,105534,93979,106607,94931
2018-09-01,count_halftoyear,118893,111695,123166,103900,92573,104941,93482
2018-10-01,count_halftoyear,118662,111443,123017,103570,92124,104682,93084
2018-11-01,count_halftoyear,115773,108639,119773,100809,89608,101941,90587
2018-12-01,count_halftoyear,114715,107575,118606,99493,88366,100703,89405
2019-01-01,count_halftoyear,115771,108661,119774,100348,89237,101545,90271
2019-02-01,count_halftoyear,114583,107589,118332,99557,88670,100739,89700
2019-03-01,count_halftoyear,114818,107801,118698,99677,88727,100846,89767
2019-04-01,count_halftoyear,112670,105651,116396,97503,86711,98588,87679
2019-05-01,count_halftoyear,114723,107678,118806,99581,88567,100622,89491
2019-06-01,count_halftoyear,117008,109938,121121,102035,90978,103039,91874
2019-07-01,count_halftoyear,118577,111553,123020,104054,92744,105035,93613
2019-08-01,count_halftoyear,120265,113164,125054,105570,93992,106490,94802
2019-09-01,count_halftoyear,119758,112611,124654,105244,93389,106067,94139
2019-10-01,count_halftoyear,121474,114132,126603,106986,94743,107726,95434
2019-11-01,count_halftoyear,118790,111406,123781,104650,92402,105267,93001
2019-12-01,count_halftoyear,118556,111141,123765,104162,91792,104737,92349
2020-01-01,count_halftoyear,120129,112585,125250,105050,92725,105629,93270
2020-02-01,count_halftoyear,120923,113326,125859,106058,93798,106648,94342
2020-03-01,count_halftoyear,121272,113601,125963,106550,94544,107198,95111
2020-04-01,count_halftoyear,121810,114132,126288,106837,95078,,
2020-05-01,count_halftoyear,127025,119374,132060,112171,99969,,
2020-06-01,count_halftoyear,132726,125097,137995,117947,105455,,
2020-07-01,count_halftoyear,139676,132097,145420,125282,112241,,
2020-08-01,count_halftoyear,145803,138392,152349,131477,117903,,
2020-09-01,count_halftoyear,153916,146553,161422,139065,124612,,
2020-10-01,count_halftoyear,470013,461884,505673,465693,421277,,
2020-11-01,count_halftoyear,553777,545552,600689,559737,503675,,
2020-12-01,count_halftoyear,539669,531321,588649,546947,488562,,
2021-01-01,count_halftoyear,530720,522271,580051,537757,478979,,
2021-02-01,count_halftoyear,520918,512298,570338,528253,469173,,
2021-03-01,count_halftoyear,497147,488428,545607,504122,445994,,
2021-04-01,count_halftoyear,267563,259929,292404,270367,237738,,
2021-05-01,count_halftoyear,185187,177786,198572,179150,158507,,
2021-06-01,count_halftoyear,154948,147527,164006,146062,129945,,
2021-07-01,count_halftoyear,137459,130067,143993,128219,114545,,
2021-08-01,count_halftoyear,122490,115152,127542,112809,100698,,
2021-09-01,count_halftoyear,110771,103371,114454,100953,89944,,
2021-10-01,count_halftoyear,106294,98820,109559,96632,85895,,
2021-11-01,count_halftoyear,102860,95386,106136,93441,82680,,
2021-12-01,count_halftoyear,99535,92034,102841,90211,79314,,
2022-01-01,count_halftoyear,99753,92192,103390,90134,79014,,
2022-02-01,count_halftoyear,99619,91969,102749,89932,79140,,
2022-03-01,count_halftoyear,99743,92032,103016,89656,78752,,
2022-04-01,count_halftoyear,96887,89159,99725,86193,75734,,
2022-05-01,count_halftoyear,97087,89266,99661,85745,75426,,
2022-06-01,count_halftoyear,99668,91661,102218,87537,77110,,
2022-07-01,count_halftoyear,102073,94032,104622,89690,79122,,
2022-08-01,count_halftoyear,105085,97019,108010,92247,81324,,
2022-09-01,count_halftoyear,105158,97006,107950,91734,80847,,
2022-10-01,count_halftoyear,108471,100152,111682,94546,83108,,
2022-11-01,count_halftoyear,107794,99366,110856,93854,82356,,
2022-12-01,count_halftoyear,108715,100171,111775,94447,82809,,
2023-01-01,count_halftoyear,112614,103945,115802,98146,86404,,
2023-02-01,count_halftoyear,114350,105506,117380,99723,87930,,
2023-03-01,count_halftoyear,115270,106238,118411,100501,88520,,
2006-07-01,count_yeartotwoyear,178883,148026,160976,84925,74612,86017,75626
2006-08-01,count_yeartotwoyear,177871,147532,160585,84946,74638,86078,75683
2006-09-01,count_yeartotwoyear,176422,146516,159632,84543,74148,85668,75196
2006-10-01,count_yeartotwoyear,175497,145925,159057,84365,73984,85475,75026
2006-11-01,count_yeartotwoyear,174368,145006,158131,83714,73355,84801,74371
