country,year,rnndi_pc,nni_pc,gdp_pc,rank_rnndi,rank_nni,rank_gdp
EST,2020,0.0332961152451449,33320.245608,40691.4746968957,23,24,24
EST,2021,0.0358432729846454,35911.457956,44011.4614245046,21,22,22
EST,2022,0.0354321409507429,36017.462527,43415.4012362318,22,22,26
FIN,2006,0.0434074245395124,44002.69205,52554.9772466783,10,11,12
FIN,2007,0.0452649658641346,45822.170473,55112.699314777,10,10,10
FIN,2008,0.0445101904656869,45092.49489,55286.8126055055,10,11,10
FIN,2009,0.0404332409854001,41064.592382,50579.0940080398,12,12,13
FIN,2010,0.0417212153767586,42394.204582,51943.2198616469,12,11,13
FIN,2011,0.0419438302298028,42566.607535,52939.0940047646,12,12,13
FIN,2012,0.0406850394544333,41251.721093,51885.4436861169,14,13,13
FIN,2013,0.0400727809927422,40812.007186,51140.9492969716,14,14,13
FIN,2014,0.0402092076417736,40919.425314,50677.5010188079,16,16,14
FIN,2015,0.0407571863853967,41453.647084,50746.6931193755,15,15,15
FIN,2016,0.0415640404877116,42261.617883,51911.6780593523,15,15,14
FIN,2017,0.0428270310730766,43401.055661,53500.9216391864,15,15,13
FIN,2018,0.0434655239528422,44091.296324,54060.6590948188,15,15,13
FIN,2019,0.0436589699915151,44293.584847,54736.7528797924,15,15,13
FIN,2020,0.0429024767860647,43608.536946,53285.4222785633,13,13,13
FIN,2021,0.0442415560672945,44970.922718,54604.895885895,13,13,13
FIN,2022,0.0439037705890526,44618.013382,54869.0711496996,15,16,13
FRA,2006,0.041278263247127,42094.314665,49571.3508268827,15,14,16
FRA,2007,0.0421233062525012,42992.403009,50522.105383886,14,13,16
FRA,2008,0.0418704429785434,42722.420605,50440.5198644857,12,12,15
FRA,2009,0.0404374264519546,41357.431606,48772.3995690218,11,11,14
FRA,2010,0.0409663776833275,41859.204795,49512.1278135424,13,13,14
FRA,2011,0.0415903226737707,42530.862462,50479.6764979139,13,13,14
FRA,2012,0.0409922031708699,42050.612054,50334.9411370438,12,12,14
FRA,2013,0.0412508426095726,42385.320579,50479.7538280805,13,12,14
FRA,2014,0.0414149570065159,42703.967989,50723.215624093,13,11,13
FRA,2015,0.0422166487116613,43396.509843,51037.8030910182,12,12,14
FRA,2016,0.0425409863007545,43688.124835,51284.1789800628,13,12,15
FRA,2017,0.043173646015806,44191.060412,52143.5834580971,14,13,15
FRA,2018,0.0435330638979883,44577.229061,52761.0274862833,14,14,15
FRA,2019,0.0447240171859442,45712.348796,53622.2623936732,13,13,15
FRA,2020,0.0400924570870517,41148.215636,49462.8855313879,14,14,14
FRA,2021,0.0435364646910332,44477.171006,52624.3039830212,16,15,15
FRA,2022,0.0436523916942944,44652.384781,53849.4866826593,16,15,15
GBR,2006,0.041592981986128,42005.415631,49824.13014545,14,15,15
GBR,2007,0.0421695554768235,42608.409128,50872.9447311093,13,14,15
GBR,2008,0.0410589721215975,41481.132875,50432.4649363512,14,14,16
GBR,2009,0.0388145885819137,39276.821575,47781.1828902848,14,14,15
GBR,2010,0.0400040873999928,40598.712434,48472.8053750855,14,14,15
GBR,2011,0.0400476834966563,40646.366867,48479.9763967492,15,15,15
GBR,2012,0.0398650802815464,40455.540481,48891.7640417362,15,15,15
GBR,2013,0.0399947863631394,40704.860792,49400.8626878857,15,15,15
GBR,2014,0.0413678070949891,42018.051985,50582.6732095191,14,14,15
GBR,2015,0.0420286927595843,42676.271746,51293.8543119658,13,13,13
GBR,2016,0.0424365711043559,43066.263511,52010.9313969993,14,14,13
GBR,2017,0.0438735469330924,44448.939676,53292.5297760623,12,12,14
GBR,2018,0.0440060756602683,44643.509782,53855.5635851864,13,12,14
GBR,2019,0.045074254442475,45720.933319,54253.0566742193,12,12,14
GBR,2020,0.0390378348085981,39701.76765,48719.8687339939,16,15,15
GBR,2021,0.0440603812688882,44497.118733,52694.1501964008,14,14,14
GBR,2022,0.0453878664289096,45859.892498,54868.7060782739,14,13,14
GRC,2006,0.0326232234936662,32589.892506,39216.2518973569,20,20,20
GRC,2007,0.0331731452131002,33376.29592,40488.2551537115,20,20,20
GRC,2008,0.0326761373766129,32769.841378,40404.1417533553,19,19,21
GRC,2009,0.0311469219863443,31333.435715,38638.0740036228,19,19,21
GRC,2010,0.0290804828085526,29291.651967,36391.076173223,23,23,24
GRC,2011,0.0255765596268314,25802.527193,32845.3602525963,26,26,26
GRC,2012,0.0241888314270426,24297.114797,30272.3507365584,27,28,27
GRC,2013,0.0240422186207303,23798.06198,29799.8200299526,29,30,29
GRC,2014,0.0245638193183054,24697.60212,30236.7396301607,30,29,29
GRC,2015,0.0251133815974168,25219.085083,30366.9576913284,31,30,31
GRC,2016,0.02535823034334,25456.57647,30483.8844251953,31,31,31
GRC,2017,0.0259260573932518,25957.170003,30994.1878461948,31,31,32
GRC,2018,0.0261886994512282,26264.510902,31698.3725937532,32,31,32
GRC,2019,0.0272534203901215,27174.359177,32454.4345990604,32,31,32
GRC,2020,0.0246033382694946,24556.433717,29533.1382743354,32,32,32
GRC,2021,0.0271141275351585,26949.072764,32264.5439516004,32,33,32
GRC,2022,0.0291068968784831,28656.873171,34243.2263888453,29,30,32
HUN,2006,0.0220167292963204,22211.518561,28474.1888422186,28,28,28
HUN,2007,0.0217199671671352,21956.80692,28613.1157811873,31,30,28
HUN,2008,0.0220950333058184,22313.456397,28948.0119416848,30,30,29
HUN,2009,0.0209857546614183,21087.533613,27038.7207943922,31,31,29
HUN,2010,0.0211273443453113,21249.803242,27389.3147467667,32,32,29
HUN,2011,0.0213414608993994,21495.825615,27993.4984739353,32,32,30
HUN,2012,0.0209763546760265,21227.937386,27780.5009055929,32,32,31
HUN,2013,0.0221166306769845,22295.653309,28462.3414924472,32,32,31
HUN,2014,0.0230117682904381,23237.469897,29815.8828565154,32,32,30
HUN,2015,0.0239501872673702,24276.906787,31018.389834192,32,32,30
HUN,2016,0.0252592946957712,25731.277278,31898.5336669353,32,30,30
HUN,2017,0.0261205300226026,26428.692718,33326.7699953481,30,30,30
HUN,2018,0.0278118027877108,27935.772196,35266.8757861529,30,30,30
HUN,2019,0.0297057742965165,29916.897017,37103.8441629394,29,29,29
HUN,2020,0.0285055298551789,28673.164461,35583.5856177385,29,28,29
HUN,2021,0.0294194639562327,29794.916757,38310.1891644924,29,29,28
HUN,2022,0.0290687512376266,29379.283899,40008.3921803722,30,29,28
IRL,2006,0.0430716907843245,43347.52029,62403.1513378346,11,12,4
IRL,2007,0.0431291351470186,43636.683699,63769.8883985812,12,12,4
IRL,2008,0.0401136017943979,40826.867528,59611.8920019408,17,15,6
IRL,2009,0.03593468052089,36809.494989,56036.6947591574,17,17,8
IRL,2010,0.0364653346398045,37282.632607,56722.217320504,17,17,8
IRL,2011,0.036286911941888,37094.834252,57398.4746802634,17,17,8
IRL,2012,0.0357117698446371,36488.901013,56931.0350976587,17,17,8
IRL,2013,0.0377045842291181,38555.375033,57894.8609708592,16,16,8
IRL,2014,0.0405609636546807,41322.907745,62887.4828870828,15,15,4
IRL,2015,0.043225950539135,44127.672833,77649.9896049248,11,11,2
IRL,2016,0.0435414983594597,44486.830432,77661.8352193676,11,11,2
IRL,2017,0.0446774354875756,45429.75583,84295.4499637501,11,11,2
IRL,2018,0.0444962023756494,45405.142384,89489.8351810575,12,11,2
IRL,2019,0.0460082501238789,46822.732282,92482.8643121182,11,11,2
IRL,2020,0.0432366317254405,44194.141399,97780.5938722115,12,12,2
IRL,2021,0.0501820255039345,51113.261868,112396.062359048,8,9,2
IRL,2022,0.0515302660164052,52442.273692,118330.816212807,7,7,2
ISR,2006,0.0277513066533668,26374.80241,32605.285322721,25,26,27
ISR,2007,0.0288217412982441,27459.594154,33977.8228226638,24,26,27
ISR,2008,0.0283376916921065,27066.415859,34305.5284063204,25,26,26
ISR,2009,0.0285471970385669,27397.532645,34106.4305614065,24,24,26
ISR,2010,0.0298184650191689,28620.83281,35331.0640719836,22,24,26
ISR,2011,0.0307135599894512,29502.458999,36531.4895940138,22,22,24
ISR,2012,0.0306002999800898,29389.445893,36675.7312730205,22,22,23
ISR,2013,0.0317503843931898,30503.209622,37502.6567791599,21,22,23
ISR,2014,0.0328753031402924,31565.676349,38196.1976161198,20,22,23
ISR,2015,0.0334944925203597,32260.063155,38327.1793465861,22,22,23
ISR,2016,0.034501219458112,33318.376806,39337.2322470635,21,22,23
ISR,2017,0.0353265822880692,34352.026353,40310.4482052237,21,22,24
ISR,2018,0.0357781565512717,34863.581051,41195.3290928244,21,22,24
ISR,2019,0.0365884213277055,35710.648156,41914.6674880847,21,21,25
ISR,2020,0.0347876334071505,34079.835708,40486.0794890796,21,21,25
ISR,2021,0.0376925300553772,36809.135717,43548.2823838055,20,20,25
ISR,2022,0.0394343708494664,38681.686601,45475.3375426861,18,20,22
ITA,2006,0.04168076801824,42206.441177,51074.9910047596,13,13,14
ITA,2007,0.0419048097132548,42464.039645,51507.6066816071,15,15,14
ITA,2008,0.0401701661660771,40701.597634,50588.8592937747,16,17,14
ITA,2009,0.0381816391599789,38731.950468,47628.095579215,15,15,16
ITA,2010,0.038023268871862,38581.989685,48143.0499209759,16,16,16
ITA,2011,0.0378036637741608,38340.306573,48310.3700826751,16,16,16
ITA,2012,0.0361368085553575,36662.987331,46672.7294824668,16,16,17
ITA,2013,0.035523644582828,36022.285471,45732.7287123756,17,17,17
ITA,2014,0.0359312627928704,36396.367235,45725.1949588447,17,17,17
ITA,2015,0.03629855732561,36717.417397,46199.9421820876,17,17,17
ITA,2016,0.0376926459222806,38147.069132,46860.0815680394,17,17,17
ITA,2017,0.038466375146507,38843.063811,47701.1623567514,18,17,17
ITA,2018,0.039015261263984,39457.488091,48195.9671867928,18,17,17
ITA,2019,0.0392492351422072,39655.963231,48522.8223536131,17,17,17
ITA,2020,0.0356885337694567,36143.204137,44435.6061049063,19,19,20
ITA,2021,0.0389981334504069,39503.683613,48654.4120215634,19,18,18
ITA,2022,0.0398161280459912,40223.709279,51103.4000845313,17,17,18
JPN,2006,0.0330976825855627,33185.264772,41069.6873284615,19,19,19
JPN,2007,0.0334091539771197,33506.669878,41632.9038941971,19,19,19
JPN,2008,0.0318124077987595,31907.25503,41102.3212968407,21,21,19
JPN,2009,0.0299584564703343,30042.168351,38765.5992443303,21,21,20
JPN,2010,0.0314283914444834,31499.684529,40351.3452317761,20,20,19
JPN,2011,0.0310975986534061,31166.587536,40427.8888995352,21,21,18
JPN,2012,0.0316305256500772,31708.449773,41073.3170617777,21,21,19
JPN,2013,0.0325471131294573,32630.788993,41968.9366468587,20,20,18
JPN,2014,0.032591675662336,32736.760352,42116.7349514648,21,21,20
JPN,2015,0.0339880821351032,34115.71424,42825.169760603,21,21,20
JPN,2016,0.0344622145187917,34646.022453,43208.1644838076,22,21,20
JPN,2017,0.0349929051582422,35201.124959,44010.7509906355,22,21,21
JPN,2018,0.034921511500893,35155.480237,44386.0430448633,22,21,21
JPN,2019,0.0348265442655727,35011.667008,44304.2785453192,25,24,22
JPN,2020,0.0331384900376507,33439.879401,42612.1933921088,24,23,21
JPN,2021,0.0342594051311733,34420.150213,43833.2323050172,26,26,24
JPN,2022,0.0341253168418758,34300.934054,44442.677013213,24,24,24
KOR,2006,0.0280308517278025,28138.686252,33389.0008841905,23,23,25
KOR,2007,0.0296060262176791,29684.487905,35161.003407792,23,23,26
KOR,2008,0.029203827245287,29198.85309,35943.4723099455,23,23,25
KOR,2009,0.0293979508936054,29428.381262,36052.2206198581,23,23,24
KOR,2010,0.0315884642428866,31734.095006,38377.7959041695,19,19,22
KOR,2011,0.0317352363008499,31843.552949,39487.9809998251,20,19,21
KOR,2012,0.0322982785228475,32417.662568,40281.8528160189,18,18,20
KOR,2013,0.0333819563915472,33451.224027,41418.7460016062,19,19,20
KOR,2014,0.034178314063986,34264.765046,42482.3370525589,19,19,18
KOR,2015,0.0360982469902399,36206.364865,43493.253392653,18,18,18
KOR,2016,0.0374821145491149,37610.83173,44694.8033445225,18,18,18
KOR,2017,0.0386207096928306,38778.327946,46099.6519466821,17,18,18
KOR,2018,0.0390556408795741,39229.269501,47358.2135859597,17,18,18
KOR,2019,0.0388007025697877,38939.389279,48285.5021523341,18,18,18
KOR,2020,0.0383550949944497,38428.701743,47881.7128840686,17,17,17
KOR,2021,0.0399136570445412,40013.859657,50154.3397876982,17,17,17
KOR,2022,0.0392398884212627,39295.714134,51619.048955859,20,18,17
LTU,2006,0.0212154677698982,20835.135272,25020.2339702362,29,29,30
LTU,2007,0.0236783121560588,23232.98555,28124.0805269207,28,28,30
LTU,2008,0.0250802956384326,24649.355132,29153.4566788856,28,28,28
LTU,2009,0.0217952854264862,21435.635324,25104.6958307309,29,29,31
LTU,2010,0.0220711917739489,21350.525595,25746.2050973633,30,31,31
LTU,2011,0.0232254187836327,22706.203572,27999.574473414,29,30,29
LTU,2012,0.0241135370725955,23843.427783,29607.8630399505,28,30,29
LTU,2013,0.0259959343257523,25246.346748,31096.1992165588,27,27,27
LTU,2014,0.0278229907784394,26903.670751,32532.9529851697,26,27,27
LTU,2015,0.0283549831147953,27641.809601,33754.9961313815,27,27,27
LTU,2016,0.0297724576576991,29080.203759,35063.8260168436,26,26,27
LTU,2017,0.0318391724941601,31003.558005,37128.6388249797,26,26,26
LTU,2018,0.0335924331698639,32797.262141,39278.6343945971,25,26,26
LTU,2019,0.0354330603689082,34570.873327,41234.4682780954,23,26,26
LTU,2020,0.0353508394799786,34820.458031,41262.6913606759,20,20,23
LTU,2021,0.0355554226992074,35410.245671,43926.3458452377,22,24,23
LTU,2022,0.0331188326332674,33167.92399,44671.0385726686,27,27,23
LUX,2006,0.0720417166517505,79658.311921,122386.316472128,1,1,1
LUX,2007,0.0819905623427057,90570.131951,130158.14641236,1,1,1
LUX,2008,0.0788440407901819,82783.361189,127506.177480436,1,1,1
LUX,2009,0.0664927448305788,59322.787496,121149.327712164,1,2,1
LUX,2010,0.0678809435983217,68027.443858,123396.702043696,1,1,1
LUX,2011,0.068164660625715,68683.506507,121831.918236893,1,1,1
LUX,2012,0.0768843322936913,77656.347671,121028.493152028,1,1,1
LUX,2013,0.07364092918481,72706.229153,121701.646718236,1,1,1
LUX,2014,0.0762332012755203,75255.924405,121985.962824866,1,1,1
LUX,2015,0.0679794085374953,65352.687433,122328.263539253,1,1,1
