country,year,b6n_total,population,rnndi_pc
CZE,2024,381975.021,10886531,0.03508693641711947
DNK,2024,336827.022,5972420,0.05639707555731178
EST,2024,46740.143,1372341,0.03405869459558521
FIN,2024,235264.381,5619914,0.041862630104304084
IRL,2024,300395.542,5380313,0.05583235436302684
ISR,2024,382576.408,9707142,0.03941184830715364
ITA,2024,2460934.615,58952700,0.041744222317213635
LVA,2024,54879.278,1866124,0.029408162587266442
LTU,2024,105798.143,2888055,0.036633008374148
LUX,2024,44004.035,677010,0.06499761451086396
POL,2024,1349581.941,37563071,0.03592842398322544
SVK,2024,163125.751,5422069,0.03008551735509083
SVN,2024,80928.946,2126324,0.038060495954520566
SWE,2024,529925.586,10569710,0.050136246500613546
GBR,2024,3122095.151,69517207,0.044911113172311425
USA,2024,20276864.766,336673595,0.06022707176070639
AUS,2015,990671.427,23815995,0.04159689431409437
AUS,2016,1044020.045,24190907,0.043157540351835506
AUS,2017,1074225.375,24592588,0.04368085924913637
AUS,2018,1113156.795,24963258,0.044591807487628414
AUS,2019,1122533.73,25334826,0.04430793130373187
AUS,2020,1185619.314,25649248,0.046224330397522766
AUS,2021,1236951.318,25685412,0.048157737084380814
AUS,2022,1273360.545,26014399,0.04894829763316846
AUS,2023,1274262.873,26652777,0.04780976004864333
AUS,2024,1285185.895,27204809,0.04724112913272062
BEL,2015,513730.103,11238474,0.04571173123682094
BEL,2016,521019.89,11295003,0.04612835339663035
BEL,2017,527873.209,11349081,0.04651241884695334
BEL,2018,534093.829,11403740,0.04683497072013217
BEL,2019,549199.711,11462023,0.047914727705571696
BEL,2020,515093.472,11506938,0.044763730542391036
BEL,2021,548916.723,11552615,0.04751449979074002
NZL,2021,199177.632,5084600,0.039172723911418794
BEL,2022,552599.057,11640788,0.04747093212246457
CRI,2022,106019.292,5157658.6,0.020555701767464796
NZL,2022,200371.188,5081700,0.03942995218135663
BEL,2023,570489.809,11730606,0.048632594854860864
CRI,2023,113165.046,5191864.4,0.021796610481583455
NZL,2023,198263.27,5200000,0.03812755192307692
BEL,2024,574537.608,11794601,0.048711915562044024
CRI,2024,118173.998,5224148.4,0.022620719962702436
DEU,2022,4115981.198,83797987,0.04911790062451023
CHE,2022,499341.697,8777085,0.056891518881268664
FRA,2023,3000852.097,68341348,0.04390975865737972
DEU,2023,4146550.682,83287281,0.04978612138869079
GRC,2023,316313.748,10407358,0.030393280215785794
MEX,2023,2277415.253,131135337,0.0173669073882046
ESP,2023,1798233.45,48320520,0.037214695744168316
CHE,2023,488752.117,8888818,0.05498505166828706
FRA,2024,3035982.57,68521113,0.04430725709315317
DEU,2024,4153946.518,83620575,0.0496761295650024
GRC,2024,330773.064,10392589,0.03182778266320356
HUN,2024,274797.067,9575754,0.028697172776159453
KOR,2024,2140838.243,51751065,0.04136800359567479
NLD,2024,1009630.133,17994238,0.05610852390637492
PRT,2024,367077.649,10701128,0.03430270612593364
ESP,2024,1873710.591,48807137,0.03839009428067867
