year,cofog_group_name,exp_gdp_f,0_14,15_34,35_54,55_64,65p
2001,075 Community health services,0.672293501267344,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,075 Community health services,0.702437581380321,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,075 Community health services,0.667160331626215,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,075 Community health services,0.670162408989996,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,075 Community health services,0.716794762247595,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,075 Community health services,0.714507334040451,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,075 Community health services,0.704421498430048,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,075 Community health services,0.73126736184353,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,075 Community health services,0.722765219335255,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,075 Community health services,0.765599760065268,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,075 Community health services,0.758647341857642,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,075 Community health services,0.782672437972066,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,075 Community health services,0.806318324794214,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,075 Community health services,0.782438608066846,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,075 Community health services,0.820901876052423,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,075 Community health services,0.845615536214777,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,075 Community health services,0.827564036278169,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,075 Community health services,0.826775511884141,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,075 Community health services,0.82660088778656,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,076 Public health services,0.0914428718979212,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,076 Public health services,0.104774354400172,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,076 Public health services,0.0972066163213045,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,076 Public health services,0.0997529991701991,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,076 Public health services,0.109012530097607,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,076 Public health services,0.150029386356891,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,076 Public health services,0.168490235183227,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,076 Public health services,0.14769857681912,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,076 Public health services,0.141371788612259,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,076 Public health services,0.141949186866999,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,076 Public health services,0.137658594589892,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,076 Public health services,0.137606976727756,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,076 Public health services,0.135911910757639,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,076 Public health services,0.116919858609097,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,076 Public health services,0.122308967244547,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,076 Public health services,0.112973273506531,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,076 Public health services,0.101730789648367,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
2016,076 Public health services,0.0899110862638494,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733
2017,076 Public health services,0.112137188594449,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383
2018,076 Public health services,0.118699056807738,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341
2019,076 Public health services,0.116543705615626,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468
1999,077 RandD Health,0.0498564495360759,0.208909039337317,0.289204000113968,0.289129952673426,0.0893467686823872,0.123410239192901
2000,077 RandD Health,0.0414237036373902,0.207230176655367,0.286474892113545,0.290077641251404,0.0919708975898745,0.12424639238981
2001,077 RandD Health,0.0459902270767462,0.205462746218476,0.284389573669651,0.290299029800774,0.0943437202994744,0.125504930011625
2002,077 RandD Health,0.0699986647739776,0.203363082521296,0.283253578699588,0.288566217034851,0.0983414900378093,0.126475631706455
2003,077 RandD Health,0.0494682539338785,0.201294150416387,0.282374842278968,0.287303765574279,0.10168276165338,0.127344480076987
2004,077 RandD Health,0.0394188195184582,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.128374689618407
2005,077 RandD Health,0.0445724637163885,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.129449333106803
2006,077 RandD Health,0.0447681738510394,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.130265924846777
2007,077 RandD Health,0.0529559888377521,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.131393300685023
2008,077 RandD Health,0.0486384261692859,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.13201283493086
2009,077 RandD Health,0.0505420153776696,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.133257064364804
2010,077 RandD Health,0.0527922616168731,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.13556231347941
2011,077 RandD Health,0.0629077986935359,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.138223262428008
2012,077 RandD Health,0.072114714864388,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.141371014053511
2013,077 RandD Health,0.06120170716175,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.143996862002975
2014,077 RandD Health,0.0676790000445105,0.189120011232047,0.280847000594573,0.269220162511971,0.114186737716632,0.146626087944778
2015,077 RandD Health,0.0629364867490009,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441
