year,gov_gdp,0_14,15_34,35_54,55_64,65p,pop_total,rp_g,gfce_nom,gfce_real,gdp_nom,gdp_real,tot_index,tot,unemp,is_outlier,p_gfce,p_gdp,dln_pop
2015,0.0810753543882299,0.188928365159633,0.280670700510308,0.26662438415863,0.114536344167019,0.14924020600441,47631990,-0.358894917186613,32906.5,37124.25,405875.5,528315,72.575,0.678691901131732,6.16084059166667,FALSE,0.886388277204253,0.768245270340611,0.0143921665259938
2016,0.0860825283304318,0.189021312842879,0.280171760405676,0.264051447099524,0.114952531544187,0.151802948107733,48381814,-0.1286432923269,35676,40004.75,414439.5,542893.25,65.425,0.252934651808913,5.87445949166667,FALSE,0.89179409945069,0.763390408703737,0.0156194049810381
2017,0.0857399622770802,0.188504804781018,0.279484859421871,0.26247180654594,0.115497767050788,0.154040762200383,49185176,-0.736800674822478,37661.75,42127.25,439255.5,555269,74.65,0.802250823138004,5.69821203333333,FALSE,0.893999727017548,0.791067932839759,0.0164682779735017
2018,0.0857505966250242,0.187707630149879,0.278314913862606,0.26152728141495,0.115894367634225,0.156555806938341,49926516,-0.993824015106296,39488.75,43971.5,460507,571252.25,76.1,0.888593202371303,5.50294649166667,FALSE,0.898053284513833,0.806135993337444,0.0149599671041329
2019,0.0898539214966099,0.186748233439614,0.276834385994994,0.260874892134645,0.11634830253028,0.159194185900468,50669652,-1.25477366619026,43729.5,47777,486673.25,583657.25,80.45,1.1476203400712,5.124317125,FALSE,0.915283504615191,0.833833983900654,0.0147749071058456
2020,0.0983491733241761,0.185475691139171,0.272314377403969,0.26171738056414,0.117220668613754,0.163271882278966,51298496,-1.32561695353905,48688.25,52443.5,495055,582959.25,81.1,1.18632554455509,5.62903403333333,TRUE,0.928394367271444,0.84921030071999,0.0123342825131374
2021,0.103637017674285,0.184886347160793,0.265631401980237,0.264087490595829,0.117430975995246,0.167963784267895,51370824,-1.65059347064694,54019.5,57500.25,521237.5,595266.5,89.15,1.66567461547099,6.23995998333333,TRUE,0.939465480584867,0.87563721459212,0.00140895083292847
2022,0.101967755930018,0.183102697476944,0.26586352957165,0.264289432213059,0.11635256782991,0.170391772908438,52037442,-2.38736531422012,59465.25,61624.25,583177,620519.75,100.125,2.31919710656441,4.30557853333333,FALSE,0.964965090853033,0.9398202071731,0.0128931130985528
2023,0.098192204209423,0.179316016003348,0.272137930486068,0.263337829720582,0.11416102417704,0.171047199612962,53319844,-2.79826431683705,62999.75,62963,641596.25,641878.25,99.975,2.31026513629889,3.561768325,FALSE,1.00058367612725,0.999560664347172,0.0243450716351532
2024,0.104127250596805,0.176323638595429,0.2750921809722,0.263043106532778,0.112797554147473,0.17274351975212,54387580,-2.44053136423963,69593.5,66230,668350.5,650948.5,93.75,1.93958837028008,3.87611266666667,FALSE,1.05078514268458,1.02673329764183,0.0198272493971459
