STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2010,,89.554,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2011,,92.573,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2008,,74.235,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2007,,71.325,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2022,,98.796,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2023,,104.022,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2024,,107.301,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2017,,96.142,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2018,,95.242,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_PF_YU(1.0),"Public finance main indicators - government at a glance, yearly updates",I,A,Annual,CAN,Canada,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,S13,General government,YU,Yearly updates,PF,Public finance,2019,,96.69,,A,Normal value,0,Units,_Z,Not applicable,,
