search_curvature,separation_threshold,separation_dispersion,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,common_sep_shock,mu_pre,kappa_common,mu_post
40.0,0.32,0.16,13.118436535224948,-5.171532975802382,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221532909512131,-1.7100000000000004,-6.824491393908306,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.467024197617904e-5,0.048,0.0484,0.05499999999999998,0.056385132357043045,0.0,1.9999999544021445,363.63635534584444,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
40.0,0.32,0.32,12.562516880344843,-5.171534764062154,-1.3399999999999994,-1.3970415156038252,-3.05,-8.221534697771903,-1.7100000000000004,-6.824493182168077,0.10045799718033224,0.08648758202429399,0.08229999933709749,8.465235937845844e-5,0.048,0.0484,0.05499999999999998,0.057160972461015806,0.0,1.9999999425446848,363.63635318994267,0.006999999999999999,0.07570345176429685,2.8346045960059794,0.069310164760601
60.0,-0.2,0.08,0.000755867292795349,-1.8739872495130385,-1.3399999999999994,-1.3674245392980469,-3.05,-4.923987243448765,-1.7100000000000004,-3.5565627041507177,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.03306012750486961,0.048,0.0484,0.05499999999999998,0.09259999976113313,0.0,0.20468763785818134,37.215934156032965,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,-0.2,0.16,3.212597154556527,-5.171148325542494,-1.3399999999999994,-1.3674245392980469,-3.05,-8.22114831947822,-1.7100000000000004,-6.8537237801801725,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.851674457505816e-5,0.048,0.0484,0.05499999999999998,0.0746783893378309,0.0,1.9999999545623144,363.63635537496623,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,-0.2,0.32,9.56274143782706,-5.171090221276471,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221090215212197,-1.7100000000000004,-6.85366567591415,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.909778723528612e-5,0.048,0.0484,0.05499999999999998,0.06167753960220134,0.0,1.9999999483884243,363.63635425244075,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,-0.1,0.08,0.0007558672927950278,-2.7903558955478815,-1.3399999999999994,-1.3674245392980469,-3.05,-5.840355889483607,-1.7100000000000004,-4.4729313501855605,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.023896441044521183,0.048,0.0484,0.05499999999999998,0.09259999984204624,0.0,0.22784873933678643,41.427043515779346,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,-0.1,0.16,7.164915747468173,-5.1711002389066385,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221100232842364,-1.7100000000000004,-6.853675693544317,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.899761093361449e-5,0.048,0.0484,0.05499999999999998,0.0658340517071123,0.0,1.9999999545491893,363.6363553725799,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,-0.1,0.32,10.515636454020775,-5.171087131175951,-1.3399999999999994,-1.3674245392980469,-3.05,-8.221087125111676,-1.7100000000000004,-6.8536625858136295,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.912868824049302e-5,0.048,0.0484,0.05499999999999998,0.06017334339354737,0.0,1.9999999464794007,363.6363539053456,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.05,0.04,0.0007558672927949654,0.4158006731036293,-1.3399999999999994,-1.3674245392980469,-3.05,-2.6341993208320966,-1.7100000000000004,-1.2667747815340498,0.10033977816827365,0.08666553277529318,0.08229999993935726,0.05595800673103629,0.048,0.0484,0.05499999999999998,0.09260000013676635,0.0,0.02948483486275713,5.360879065955841,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
60.0,0.05,0.08,3.7400333432373714,-5.171132852269994,-1.3399999999999994,-1.3674245392980469,-3.05,-8.22113284620572,-1.7100000000000004,-6.853708306907673,0.10033977816827365,0.08666553277529318,0.08229999993935726,8.867147730006131e-5,0.048,0.0484,0.05499999999999998,0.07326278852588984,0.0,1.9999992105598483,363.63622010179057,0.006999999999999999,0.07455004757851354,0.9879618243981904,0.06825974175690615
