Sweep,Value,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp
leisure_N_post_multiplier,0.8,leisure_N_post_multiplier=0.8,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,0.8,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05809595015128024,0.6208498695508443,1.1915877052523522,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.0820999999652653,0.031200000012751104,-3.751803787347554,-1.5653044277815613,-3.0203629872109863,-0.731440800136568,0.8338636276449934,-1.187945185781529,-0.29390102546101426,-0.8900611094892069,-0.29788407629232244,3.9879445741697297,5.129333483512338,-5.08999999525142
leisure_N_post_multiplier,1.0,leisure_N_post_multiplier=1.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
leisure_N_post_multiplier,1.2,leisure_N_post_multiplier=1.2,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.2,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05819143944573754,0.6208498695508443,1.2009430151226752,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999972608145,0.031200000011870444,-3.7518037635172354,-1.5653044277815613,-3.020362963399927,-0.7314408001173093,0.8338636276642519,-1.187944008402334,-0.29390102546101426,-0.8900599321097976,-0.2978840762925367,3.98794062169243,5.129333451067424,-5.0899999714211015
leisure_N_post_multiplier,1.5,leisure_N_post_multiplier=1.5,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.5,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.058318814149730065,0.6208498695508443,1.2135124337258596,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999794251253,0.031200000012835242,-3.751803585063863,-1.5653044277815613,-3.0203627849254486,-0.7314408001384148,0.8338636276431465,-1.1880177883508527,-0.29390102546101426,-0.8901337120585482,-0.29788407629230457,3.988188301764365,5.129333206944276,-5.089999792967729
leisure_N_post_multiplier,2.0,leisure_N_post_multiplier=2.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,2.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.058705214959863215,0.6208498695508443,1.2522797692469267,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08210000048956974,0.03120000001265718,-3.7518038397873896,-1.5653044277815613,-3.0203630396528682,-0.731440800134523,0.8338636276470387,-1.1884104267287532,-0.29390102546101426,-0.8905263504364042,-0.2978840762923487,3.9895063929581327,5.129333555220568,-5.090000047691256
benefit_multiplier,1.5,benefit_multiplier=1.5,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,1.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.3599319554429226,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031200000013161703,-3.751803773648171,-0.765215816716307,-3.4262487365349243,-0.3255550371132467,0.43966077960306027,-2.0347815408697056,-0.23018292908844254,-1.7982003457484514,-0.2365811951212542,8.600774629728392,11.524330285029746,-5.089999981552038
benefit_multiplier,1.75,benefit_multiplier=1.75,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,1.75,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.2779885463523246,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031200000013447693,-3.7518037736195717,-1.1606416303987261,-3.235190124780357,-0.5166136488392155,0.6440279815595109,-1.4720849123410962,-0.2609157365291524,-1.2057380188744322,-0.26634689346666396,5.526946055878601,7.262300912973434,-5.089999981523438
benefit_multiplier,2.0,benefit_multiplier=2.0,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.1956687086133548,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001196137,-3.7518037737682053,-1.5653044277815613,-3.0203629736489015,-0.7314408001193029,0.8338636276622584,-1.1879395364915715,-0.29390102546101426,-0.890055460199055,-0.2978840762925166,3.9879256094408917,5.129333465068206,-5.0899999816720705
benefit_multiplier,2.25,benefit_multiplier=2.25,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.25,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.112886145157421,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.03120000001150724,-3.7518037738136174,-1.979784618471818,-2.7767121656815696,-0.9750916081320473,1.0046930103397704,-1.0164515468073083,-0.32988214876818994,-0.6845879002696682,-0.3318636465376403,3.0628589705803204,3.8476423574199674,-5.089999981717483
benefit_multiplier,2.5,benefit_multiplier=2.5,0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767736352511,0.6208498695508443,1.0295245445545427,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999982868207,0.031199999998246106,-3.7518037751397304,-2.4047195336295846,-2.4975234346536657,-1.2542803404860647,1.1504391931435203,-0.9025259272795798,-0.3698199134824665,-0.5333740501711628,-0.3691518771084171,2.444863437642807,2.991200335393771,-5.089999983043597
