search_curvature,sep_health_sensitivity,fitted_loss,heldout_AUS_post_jfr_gap_pp,jfr_pre_gap_data_pp,jfr_pre_gap_model_pp,jfr_post_gap_data_pp,jfr_post_gap_model_pp,jfr_did_data_pp,jfr_did_model_pp,f_N_pre_model,f_R_pre_model,f_N_post_model,f_R_post_predicted,sep_N_pre_model,sep_R_pre_model,sep_N_post_model,sep_R_post_model,health_N,health_R,differential_health_pct_wage,mu_pre,kappa_common,mu_post
80.0,0.5,0.00014865012288895412,0.024921631399327238,-1.3399999999999994,-1.3521616254825175,-3.05,-3.0250781898312376,-1.7100000000000004,-1.67291656434872,0.10025558182866681,0.08673396557384164,0.08229999821230564,0.05204921631399327,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07436688273326209,0.9820763782784732,0.06844534871367187
80.0,0.6,0.00014865012288863458,0.13632335360002495,-1.3399999999999994,-1.3521616254825175,-3.05,-2.9136766444606015,-1.7100000000000004,-1.561515018978084,0.10025558182866681,0.08673396557384164,0.08229999998060626,0.05316323353600025,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07436688273326209,0.9820763782784732,0.06838752795627409
80.0,0.75,0.00014865012288863466,0.24742451170161675,-1.3399999999999994,-1.3521616254825175,-3.05,-2.802575484607967,-1.7100000000000004,-1.4504138591254496,0.10025558182866681,0.08673396557384164,0.08229999996309584,0.054274245117016166,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07436688273326209,0.9820763782784732,0.06832997564521855
100.0,0.35,9.364760782801229e-6,-0.2412477433782749,-1.3399999999999994,-1.3430520652259914,-3.05,-3.291247736126785,-1.7100000000000004,-1.9481956709007937,0.10021133405030382,0.0867808133980439,0.0822999999274851,0.04938752256621725,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07393993489593625,0.34734742911386646,0.068203631574415
100.0,0.45,9.364760782801596e-6,-0.029413922781026947,-1.3399999999999994,-1.3430520652259914,-3.05,-3.0794139133260305,-1.7100000000000004,-1.7363618481000391,0.10021133405030382,0.0867808133980439,0.08229999990545003,0.05150586077218973,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07393993489593625,0.34734742911386646,0.06809354304298684
100.0,0.5,9.364760782801664e-6,0.044534136053066276,-1.3399999999999994,-1.3430520652259914,-3.05,-3.005465854137965,-1.7100000000000004,-1.6624137889119734,0.10021133405030382,0.0867808133980439,0.08229999990191031,0.05224534136053066,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07393993489593625,0.34734742911386646,0.06805523800872823
100.0,0.6,9.364760782801664e-6,0.15526365050482077,-1.3399999999999994,-1.3430520652259914,-3.05,-2.894736339690182,-1.7100000000000004,-1.5516842744641908,0.10021133405030382,0.0867808133980439,0.08229999990195003,0.05335263650504821,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07393993489593625,0.34734742911386646,0.06799800148205792
100.0,0.75,9.364760782801522e-6,0.26573387940367343,-1.3399999999999994,-1.3430520652259914,-3.05,-2.7842661115488485,-1.7100000000000004,-1.441214046322857,0.10021133405030382,0.0867808133980439,0.08229999990952522,0.05445733879403673,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07393993489593625,0.34734742911386646,0.06794103132626021
150.0,0.35,8.314596773335809e-5,-0.21216687073931234,-1.3399999999999994,-1.330904279744842,-3.05,-3.262166868386614,-1.7100000000000004,-1.9312625886417718,0.1001554704468726,0.08684642764942418,0.08229999997647301,0.049678331292606875,0.048,0.0484,0.05500000000175067,0.09259999999697265,0.0199146742421979,0.12448253002904662,19.01233741579067,0.07411882226253756,0.9853288379788192,0.06837058636253046
150.0,0.45,8.314596773335836e-5,-0.002434880017080504,-1.3399999999999994,-1.330904279744842,-3.05,-3.052434874358793,-1.7100000000000004,-1.7215305946139507,0.1001554704468726,0.08684642764942418,0.08229999994341712,0.051775651199829194,0.048,0.0484,0.05500000000010058,0.09259999998319042,0.015505000599755786,0.09685972847556129,14.791768704691908,0.07411882226253756,0.9853288379788192,0.0682608876691556
150.0,0.5,8.31459677333585e-5,0.0708663179203324,-1.3399999999999994,-1.330904279744842,-3.05,-2.979133675327634,-1.7100000000000004,-1.6482293955827918,0.1001554704468726,0.08684642764942418,0.08229999993247966,0.05250866317920332,0.048,0.0484,0.055000000000083454,0.09259999997566055,0.013959348855406341,0.08718923744331562,13.314525197801688,0.07411882226253756,0.9853288379788192,0.06822271824301507
150.0,0.6,8.31459677333587e-5,0.18068540453042084,-1.3399999999999994,-1.330904279744842,-3.05,-2.8693145872824,-1.7100000000000004,-1.5384103075375581,0.1001554704468726,0.08684642764942418,0.08229999991812821,0.05360685404530421,0.048,0.0484,0.05499999998379423,0.092599999963305,0.01163874560701,0.07267981270338914,11.098375835705294,0.07411882226253756,0.9853288379788192,0.06816568432200452
150.0,0.75,8.314596773335889e-5,0.2903018194249145,-1.3399999999999994,-1.330904279744842,-3.05,-2.7596981713156645,-1.7100000000000004,-1.4287938915708225,0.1001554704468726,0.08684642764942418,0.08229999990740579,0.054703018194249144,0.048,0.0484,0.05500000000641369,0.09259999995320096,0.009315660118922129,0.05816452735760233,8.881612225214582,0.07411882226253756,0.9853288379788192,0.0681089158089819
