label,match_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_post_equal_health,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,post_R_target_gap_pp,did_full_pp,target_full_did_pp,did_benefit_covid_env_pp,did_benefit_normal_pp,did_covid_only_pp,elasticity_full_logdid,target_full_elasticity_logdid,elasticity_benefit_normal_logdid,elasticity_benefit_covid_env_logdid,elasticity_covid_only_logdid,target_to_structural_elasticity_ratio
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.5993790362443971,0.1,0.0866,0.0821,0.0312,0.06265929048414998,0.0576802642682485,0.4524219518855237,0.4524219518855237,0.0999903292947621,0.08665053582468987,0.08210000091399455,0.03699793015704987,0.5797930157049873,-3.176227728687246,-3.75,-2.7132646087637022,-3.645580791369227,-0.4629631199235441,-0.9433577777085576,-1.1882751229801944,-0.7876728287258715,-0.7935678088876643,-0.1509720431895791,1.4973832225450112
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.6339154532410998,0.1,0.0866,0.0821,0.0312,0.06266348874875616,0.05768026412649429,0.44298023673669684,0.44298023673669684,0.10000628122105916,0.08663978386138584,0.082100000433595,0.03567983201817086,0.4479832018170864,-3.3053671055750806,-3.75,-2.8426211991363233,-3.8249872383828905,-0.4627459064387574,-0.9952843395848883,-1.1882751229801944,-0.8403233438746994,-0.8453515595904846,-0.15111651358240905,1.4056579295315113
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.6339154532410998,0.1,0.0866,0.0821,0.0312,0.06266348874875616,0.05768026412649429,0.44298023673669684,0.44298023673669684,0.10000628122105916,0.08663978386138584,0.082100000433595,0.03567983201817086,0.4479832018170864,-3.3053671055750806,-3.75,-2.8426211991363233,-3.8249872383828905,-0.4627459064387574,-0.9952843395848883,-1.1882751229801944,-0.8403233438746994,-0.8453515595904846,-0.15111651358240905,1.4056579295315113
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.6691976372335804,0.1,0.0866,0.0821,0.0312,0.06267424936610862,0.05768026413500678,0.4334168186659782,0.4334168186659782,0.10004717451531431,0.08664311266738335,0.08210000046244349,0.034252677298413775,0.3052677298413776,-3.4443261316098774,-3.75,-2.981466730634286,-4.01969058909769,-0.46285940097559086,-1.053642026129659,-1.1882751229801944,-0.8995242952235506,-0.9033724383273397,-0.1514579071467844,1.315376773261284
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.7052416920467393,0.1,0.0866,0.0821,0.0312,0.06267164664299896,0.057680264057919525,0.4234443812226241,0.4234443812226241,0.1000372825653362,0.08661611026298982,0.08210000020119777,0.032733067788995325,0.15330677889953265,-3.594576010985607,-3.75,-3.132315584909155,-4.22867256132765,-0.46226042607645185,-1.1188029226832794,-1.1882751229801944,-0.966372049498766,-0.9685899280513397,-0.15139992412540024,1.226809291080312
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.7420640692456921,0.1,0.0866,0.0821,0.0312,0.06266062501588256,0.0576802639794532,0.41306568715657105,0.41306568715657105,0.09999539988512816,0.08657876667497819,0.08209999993527844,0.031101311858428692,-0.009868814157130631,-3.7582054866699757,-3.75,-3.2968004579862806,-4.455103931176101,-0.46140502868369465,-1.1925583077125546,-1.1882751229801944,-1.0426718040345881,-1.0426581635794705,-0.15108201819111158,1.1396593480847237
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.7796815756447497,0.1,0.0866,0.0821,0.0312,0.0626602615272126,0.05768026390316396,0.4020905559347088,0.4020905559347088,0.09999401878505772,0.08663115498138932,0.08209999967673713,0.02932654978619683,-0.18734502138031683,-3.9410586086871904,-3.75,-3.478513637475003,-4.7088692687796305,-0.4625449712121874,-1.278219015678935,-1.1882751229801944,-1.1314832417555143,-1.1283800019269412,-0.15102129221442415,1.0530806297089368
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.8181113809785392,0.1,0.0866,0.0821,0.0312,0.06267069771860329,0.05768026384731397,0.3920006707784236,0.3920006707784236,0.10003367620961999,0.08658245993150238,0.08209999948746366,0.027350803749451362,-0.38491962505486366,-4.12979794598947,-3.75,-3.6682754211178663,-4.978922476014124,-0.46152252487160356,-1.3774599153882225,-1.1882751229801944,-1.2346342543652595,-1.2272449444327516,-0.1514011394473231,0.968246093308969
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.8573710257387768,0.1,0.0866,0.0821,0.0312,0.06265812021633438,0.05768026379564928,0.3804723727302242,0.3804723727302242,0.09998588295243717,0.08660159254692994,0.08209999931237404,0.025240100023962618,-0.595989997603738,-4.347560888290415,-3.75,-3.885668419072886,-5.281020146045843,-0.46189246921753163,-1.4943337231873661,-1.1882751229801944,-1.3577378124269672,-1.3445343499457951,-0.15098043307090497,0.8837819004238157
equal_health,0.42,0.01,0.0,1.0,1.0,1.0,2.0,1.8877486253633868,0.1,0.0866,0.0821,0.0312,0.06267044395420371,0.05768026501925253,0.37197401379776773,0.37197401379776773,0.10003271179920888,0.08664711255008715,0.08210000345911832,0.023510020482954842,-0.7689979517045156,-4.520438372704173,-3.75,-4.057505792983226,-5.503235415606149,-0.4629325797209459,-1.5968582110957061,-1.1882751229801944,-1.4545534792532377,-1.4467126825066805,-0.15133228035968757,0.82136220781676
