Week,DiD_Full_Shock,DiD_Benefit_Only,DiD_COVID_Only,DiD_Interaction,f_N_Full,f_R_Full,f_N_Benefit_Only,f_R_Benefit_Only,f_N_COVID_Only,f_R_COVID_Only
44,-1.1102230246251565e-14,-1.1102230246251565e-14,-1.1102230246251565e-14,1.1102230246251565e-14,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738
45,-1.1102230246251565e-14,-1.1102230246251565e-14,-1.1102230246251565e-14,1.1102230246251565e-14,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738
46,-1.1102230246251565e-14,-1.1102230246251565e-14,-1.1102230246251565e-14,1.1102230246251565e-14,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738,9.994245649463455,8.662736121385738
47,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
48,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
49,2.3592239273284576e-14,2.3592239273284576e-14,2.3592239273284576e-14,-2.3592239273284576e-14,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773
50,3.469446951953614e-14,3.469446951953614e-14,3.469446951953614e-14,-3.469446951953614e-14,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784
51,3.469446951953614e-14,3.469446951953614e-14,3.469446951953614e-14,-3.469446951953614e-14,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784
52,3.469446951953614e-14,3.469446951953614e-14,3.469446951953614e-14,-3.469446951953614e-14,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784
53,3.469446951953614e-14,3.469446951953614e-14,3.469446951953614e-14,-3.469446951953614e-14,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784
54,3.469446951953614e-14,3.469446951953614e-14,3.469446951953614e-14,-3.469446951953614e-14,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784,9.994245649463455,8.662736121385784
55,2.3592239273284576e-14,2.3592239273284576e-14,2.3592239273284576e-14,-2.3592239273284576e-14,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773
56,2.3592239273284576e-14,2.3592239273284576e-14,2.3592239273284576e-14,-2.3592239273284576e-14,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773
57,2.3592239273284576e-14,2.3592239273284576e-14,2.3592239273284576e-14,-2.3592239273284576e-14,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773,9.994245649463455,8.662736121385773
58,1.1102230246251565e-14,1.1102230246251565e-14,1.1102230246251565e-14,-1.1102230246251565e-14,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759,9.994245649463455,8.662736121385759
59,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
60,0.0,0.0,0.0,0.0,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748,9.994245649463455,8.662736121385748
