week,in_shock,find_AB,find_A0,find_NZ,sep_AB,sep_A0,sep_NZ,search_AB,search_A0,search_NZ,accept_AB,accept_A0,accept_NZ,flow_surplus_AB,flow_surplus_A0,flow_surplus_NZ,value_surplus_AB,value_surplus_A0,value_surplus_NZ,contact,theta
26,true,0.04866905536065841,0.07858010942166163,0.08192705609134134,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7835703980367064,0.9222412729386786,0.9323686170239236,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.6940582297089577,3.897576261592633,4.082273737292496,0.12380880149862446,5.1657088869720855
27,true,0.048861760363592015,0.07854787660051689,0.08187231743235267,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7868290807678824,0.9218405450382157,0.9317083124741306,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.7446978529882244,3.8855440286741327,4.061747118290441,0.12380880149862446,5.1657088869720855
28,true,0.049080310101557854,0.07851056686006593,0.08180859651866895,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7905263952237853,0.9213767242097359,0.9309397242695963,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.8037271275186413,3.8716573466203954,4.037966401559174,0.12380880149862446,5.1657088869720855
29,true,0.049327371387952124,0.07846736253503282,0.08173436657373585,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.7947080928009331,0.9208396573736071,0.930044470564614,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.8725546724617743,3.855631145307143,4.01041791231745,0.12380880149862446,5.1657088869720855
30,true,0.04960568604530805,0.07841730806625699,0.08164782211725541,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.799421371705495,0.9202174820225861,0.9290008223932962,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,1.9528314883099256,3.8371367836571153,3.978507660469802,0.12380880149862446,5.1657088869720855
31,true,0.04991802629551325,0.07835928458452887,0.08154682099386748,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.8047141539086142,0.9194963120848767,0.9277830103431115,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.046494390241378,3.8157954753561967,3.9415490570135603,0.12380880149862446,5.1657088869720855
32,true,0.05026714328912787,0.07829197905058385,0.0814288116759208,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.8106342466698568,0.918659856804946,0.926360356063336,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.1558176811070098,3.7911707520448203,3.898748851844857,0.12380880149862446,5.1657088869720855
33,true,0.050655710991934985,0.07821384651814614,0.0812907410808929,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.8172284246234482,0.9176889551005136,0.9246961722948095,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.28347473018448,3.7627598335448056,3.84919107381711,0.12380880149862446,5.1657088869720855
34,true,0.05108626849585898,0.07812306361536661,0.08112893619962429,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.8245414825848698,0.9165610021087447,0.9227463521968025,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.432611479701791,3.729983760949324,3.791818743100009,0.12380880149862446,5.1657088869720855
35,true,0.05156116446047314,0.07801747067835244,0.0809389499092013,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.8326153200342239,0.9152492365811256,0.9204575343485328,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.606934336304221,3.6921761348879727,3.7254131229964855,0.12380880149862446,5.1657088869720855
36,true,0.05208250767362779,0.07789449902717802,0.08071535684993196,0.09248166548367698,0.0543318547625149,0.05431929820293435,0.841488123232359,0.9137218463158303,0.9177646769548498,0.5264039861726771,0.7282405829074001,0.7514733217377596,0.187,0.49500000000000005,0.5372699290530609,2.8108154377333676,3.648570288920155,3.648570288920155,0.12380880149862446,5.1657088869720855
37,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
38,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
39,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
40,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
41,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
42,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
43,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
44,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
45,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
46,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
47,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
48,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
49,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
50,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
51,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
52,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
53,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
54,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
55,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
56,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
57,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
58,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
59,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
60,false,0.08123287894905112,0.09844650950989838,0.09844650950989838,0.04886707881287966,0.04797807044389324,0.04797807044389324,0.887688691423298,0.938934542813294,0.938934542813294,0.6331407021340251,0.7282405829074001,0.7282405829074001,0.341,0.49500000000000005,0.49500000000000005,2.8108154377333676,3.648570288920155,3.648570288920155,0.1546844425011136,6.453941800843639
