scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
IR shock: +150bp + transient GDP effect (built on 2),2030,0.0469565217391304,0.042,0.006,0.03,0.00466265060240961,0.0114185084838942,0.048,0,0.048,0.375496501519158,0.0168888844414202,-0.0122262338390106
IR shock: +150bp + transient GDP effect (built on 2),2031,0.0451304347826087,0.042,0.006,0.03,0.00891265060240965,0.0114185084838942,0.048,0.000213690226297639,0.0482136902262976,0.379110117431473,0.0173223086830008,-0.00840965808059117
IR shock: +150bp + transient GDP effect (built on 2),2032,0.0439130434782609,0.042,0.006,0.03,0.00891265060240965,0.0114185084838942,0.048,0.000322098703667071,0.0483220987036671,0.38321717902883,0.0175487763358557,-0.00863612573344608
IR shock: +150bp + transient GDP effect (built on 2),2033,0.0520289855072464,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000445310551587795,0.0444453105515878,0.382960570701479,0.0161898643148387,-0.0072772137124291
IR shock: +150bp + transient GDP effect (built on 2),2034,0.0532463768115942,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000437612301767272,0.0444376123017673,0.382263560234088,0.0161575237687621,-0.00724487316635244
IR shock: +150bp + transient GDP effect (built on 2),2035,0.0540579710144928,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000416701987745527,0.0444167019877455,0.381272925584149,0.0161081146413138,-0.00719546403890418
IR shock: +150bp + transient GDP effect (built on 2),2036,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000386982948247372,0.0443869829482474,0.3817406011488,0.0161176712824115,-0.00720502068000181
IR shock: +150bp + transient GDP effect (built on 2),2037,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000401013215186896,0.0444010132151869,0.382210877524514,0.0161425423584584,-0.00722989175604871
IR shock: +150bp + transient GDP effect (built on 2),2038,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000415121506458324,0.0444151215064583,0.382683781777538,0.0161675643488965,-0.0072549137464869
IR shock: +150bp + transient GDP effect (built on 2),2039,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00042930863404902,0.044429308634049,0.383159341336129,0.0161927389046088,-0.0072800883021992
IR shock: +150bp + transient GDP effect (built on 2),2040,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000443575420806768,0.0444435754208068,0.383637583996711,0.0162180676998656,-0.00730541709745598
IR shock: +150bp + transient GDP effect (built on 2),2041,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000457922700624231,0.0444579227006242,0.384118537930143,0.0162435524327429,-0.00733090183033324
IR shock: +150bp + transient GDP effect (built on 2),2042,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000472351318627181,0.0444723513186272,0.384602231688122,0.0162691948255493,-0.00735654422313963
IR shock: +150bp + transient GDP effect (built on 2),2043,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000486862131366562,0.0444868621313666,0.38508869420972,0.0162949966252623,-0.00738234602285264
IR shock: +150bp + transient GDP effect (built on 2),2044,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000501456007014505,0.0445014560070145,0.385577954828049,0.0163209596039738,-0.0074083090015642
IR shock: +150bp + transient GDP effect (built on 2),2045,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00051613382556437,0.0445161338255644,0.386070043277068,0.0163470855593456,-0.00743443495693593
IR shock: +150bp + transient GDP effect (built on 2),2046,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000530896479034916,0.0445308964790349,0.386564989698528,0.0163733763150739,-0.00746072571266428
IR shock: +150bp + transient GDP effect (built on 2),2047,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000545744871678717,0.0445457448716787,0.387062824649067,0.0163998337213654,-0.0074871831189558
IR shock: +150bp + transient GDP effect (built on 2),2048,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000560679920194891,0.0445606799201949,0.387563579107447,0.0164264596554225,-0.00751380905301282
IR shock: +150bp + transient GDP effect (built on 2),2049,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000575702553946292,0.0445757025539463,0.388067284481945,0.0164532560219394,-0.00754060541952976
IR shock: +150bp + transient GDP effect (built on 2),2050,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000590813715181231,0.0445908137151812,0.388573972617899,0.0164802247536101,-0.00756757415120048
IR shock: +150bp + transient GDP effect (built on 2),2051,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000606014359259864,0.0446060143592599,0.389083675805416,0.0165073678116463,-0.0075947172092367
IR shock: +150bp + transient GDP effect (built on 2),2052,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000621305454885365,0.0446213054548854,0.389596426787236,0.0165346871863077,-0.00762203658389802
IR shock: +150bp + transient GDP effect (built on 2),2053,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000636687984339966,0.04463668798434,0.390112258766772,0.0165621848974434,-0.00764953429503378
IR shock: +150bp + transient GDP effect (built on 2),2054,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.00065216294372604,0.044652162943726,0.390631205416314,0.0165898629950466,-0.00767721239263693
IR shock: +150bp + transient GDP effect (built on 2),2055,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000667731343212298,0.0446677313432123,0.391153300885413,0.0166177235598201,-0.00770507295741043
IR shock: +150bp + transient GDP effect (built on 2),2056,0.05,0.042,0.002,0.03,0.00891265060240965,0.0114185084838942,0.044,0.000683394207285273,0.0446833942072853,0.391678579809443,0.016645768703756,-0.00773311810134632
