component,term,is_regressor_parameter,estimate_baseline,estimate_leave_one_out,year_removed,change,abs_change,relative_abs_change
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2004,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2004,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0144575216977043,2004,-0.000626641174221045,0.000626641174221045,0.0415429864780464
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00792351802292122,2004,-0.00280897015391338,0.00280897015391338,0.261725902477709
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00619615501514348,2004,-0.00187088202650159,0.00187088202650159,0.231916875656254
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2004,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2004,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.11798348390381,2005,0.00231929569600753,0.00231929569600753,0.0200519774698169
demographic_level,0_14,TRUE,-0.272004005266322,-0.273335774356291,2005,-0.00133176908996902,0.00133176908996902,0.00489613779276915
demographic_level,15_34,TRUE,0.836174838612488,0.831411350387691,2005,-0.004763488224796,0.004763488224796,0.0056967610179473
demographic_level,55_64,TRUE,-0.574198297012215,-0.570669470371963,2005,0.00352882664025245,0.00352882664025245,0.00614565849222186
demographic_level,65p,TRUE,0.805797162420101,0.798569558893487,2005,-0.00722760352661411,0.00722760352661411,0.00896950729499593
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2005,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2005,,,
macro_difference_arimax,d_rp_g,TRUE,0.0150841628719254,0.0144938095957437,2005,-0.000590353276181656,0.000590353276181656,0.0391372912898216
macro_difference_arimax,d_tot,TRUE,0.0107324881768346,0.00828664558005628,2005,-0.00244584259677831,0.00244584259677831,0.227891478330022
macro_difference_arimax,d_unemp,TRUE,0.00806703704164507,0.00614108246590654,2005,-0.00192595457573853,0.00192595457573853,0.238743737731218
macro_difference_arimax,ma1,FALSE,0.00721970768424635,,2005,,,
macro_difference_arimax,ma2,FALSE,0.999965697612929,,2005,,,
demographic_level,(Intercept),TRUE,0.115664188207803,0.120218179351784,2006,0.00455399114398106,0.00455399114398106,0.0393725250187148
demographic_level,0_14,TRUE,-0.272004005266322,-0.277461107641481,2006,-0.00545710237515945,0.00545710237515945,0.0200625809528663
demographic_level,15_34,TRUE,0.836174838612488,0.828662544567549,2006,-0.00751229404493858,0.00751229404493858,0.00898411874890204
demographic_level,55_64,TRUE,-0.574198297012215,-0.564235747481886,2006,0.00996254953032882,0.00996254953032882,0.0173503641201445
demographic_level,65p,TRUE,0.805797162420101,0.789533271394039,2006,-0.016263891026062,0.016263891026062,0.020183604242556
macro_difference_arimax,ar1,FALSE,0.31032311338159,,2006,,,
macro_difference_arimax,ar2,FALSE,-0.812520367679284,,2006,,,
