time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
73,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
74,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
75,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
76,334872,0,0,0.581768653563106,0.544451476122444,0.000652724879289099,0.00296850204181362
77,334872,16863,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
78,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
79,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
80,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
81,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
82,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
83,318009,0,0,0.552547421588846,0.513853524497888,0.000658220412210852,0.00306342058004672
84,318009,22063,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
85,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
86,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
87,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
88,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
89,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
90,295946,0,0,0.514308416330697,0.474112719096868,0.000661934396399467,0.00316275845216897
91,295946,19469,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
92,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
93,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
94,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
95,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
96,276477,0,0,0.480557911914477,0.43933524068052,0.000661969970509193,0.00322588779524409
