date,real_gdp,public_demand,trimmed_mean_qoq,trimmed_mean_yoy,cash_rate,output_gap,public_demand_gap,inflation_gap,real_rate_gap
2012-06-30,512069.0,120370.5,0.5,2.0,3.853333333333333,0.6281507236106876,3.486714124861301,-0.5,-0.07580246913580302
2012-09-30,515083.0,117633.3,0.7,2.3,3.5,0.5362810022965903,0.8439962859972283,0.2999999999999998,-0.7291358024691359
2012-12-31,517341.0,115626.8,0.5,2.2,3.183333333333333,0.2998657929468962,-1.2099794293844113,-0.5,-0.9458024691358031
2013-03-31,520159.0,118306.3,0.5,2.3,3.0,0.1746448766887454,0.7462430089905325,-0.5,-1.229135802469136
2013-06-30,522083.0,116591.7,0.6,2.4,2.85,-0.11892910185249406,-1.05888181531828,-0.10000000000000009,-1.479135802469136
2013-09-30,526314.0,117258.9,0.7,2.4,2.6,0.03128809210508621,-0.853844841819118,0.2999999999999998,-1.729135802469136
2013-12-31,530419.0,118842.5,0.8,2.7,2.5,0.1574009000806953,0.09252868138069914,0.7000000000000002,-2.1291358024691363
2014-03-31,534667.0,117347.7,0.5,2.7,2.5,0.3106198875185484,-1.606501765492574,-0.5,-2.1291358024691363
2014-06-30,537231.0,116693.7,0.7,2.8,2.5,0.15104186213701354,-2.645471483203643,0.2999999999999998,-2.229135802469136
2014-09-30,539397.0,116935.3,0.4,2.4,2.5,-0.07814435505792972,-2.973264165630951,-0.8999999999999999,-1.829135802469136
2014-12-31,541390.0,116630.1,0.6,2.2,2.5,-0.3346147764514029,-3.829775815638925,-0.10000000000000009,-1.6291358024691363
2015-03-31,546692.0,118311.1,0.6,2.3,2.3433333333333333,0.020851977072311456,-3.058654617921519,-0.10000000000000009,-1.8858024691358026
2015-06-30,547224.0,120364.7,0.6,2.2,2.0966666666666667,-0.4946988915961015,-2.064191388205927,-0.10000000000000009,-2.0324691358024696
2015-09-30,552637.0,120899.7,0.3,2.1,2.0,-0.11682269661630329,-2.4134765762040544,-1.3,-2.029135802469136
2015-12-31,556034.0,122603.1,0.6,2.1,2.0,-0.10367118202232461,-1.8721093469910244,-0.10000000000000009,-2.029135802469136
2016-03-31,561181.0,125482.3,0.2,1.7,2.0,0.22533583018784498,-0.4706275185068165,-1.7,-1.629135802469136
2016-06-30,564778.0,127392.4,0.5,1.6,1.8399999999999999,0.2796620111187309,0.06242948362409351,-0.5,-1.6891358024691363
2016-09-30,564810.0,128844.4,0.3,1.6,1.5899999999999999,-0.2910698532760492,0.16456098001906838,-1.3,-1.9391358024691363
2016-12-31,571330.0,129998.5,0.4,1.5,1.5,0.2887171294741364,-0.024073644858368937,-0.8999999999999999,-1.929135802469136
2017-03-31,573227.0,131281.7,0.5,1.7,1.5,0.06106176044262668,-0.16712157157687813,-0.5,-2.1291358024691363
2017-06-30,576511.0,133983.2,0.5,1.7,1.5,0.08224737832556173,0.7038344367297,-0.5,-2.1291358024691363
2017-09-30,582038.0,135218.0,0.4,1.7,1.5,0.49555282046789273,0.418997946320232,-0.8999999999999999,-2.1291358024691363
2017-12-31,584318.0,136842.3,0.4,1.7,1.5,0.35507615847478746,0.3785172012937821,-0.8999999999999999,-2.1291358024691363
2018-03-31,590527.0,138714.2,0.5,1.7,1.5,0.8898539529351268,0.47392807028234785,-0.5,-2.1291358024691363
2018-06-30,594694.0,138739.3,0.4,1.6,1.5,1.0796162213312144,-0.7964611138087108,-0.8999999999999999,-2.029135802469136
2018-09-30,596975.0,141416.1,0.4,1.7,1.5,0.9569122839485189,-0.1960476944837808,-0.8999999999999999,-2.1291358024691363
2018-12-31,598406.0,143049.9,0.5,1.8,1.5,0.6970520687580972,-0.3764067429562701,-0.5,-2.229135802469136
