year,gfce_nom,gfcf_nom,gfce_real,gdp_nom,gdp_real,income_payable_nom,interest_payable_total_nom,interest_payable_other_nom,interest_payable_unfunded_super_nom,broad_expenditure_including_interest_nom,broad_expenditure_excluding_other_interest_nom,broad_expenditure_excluding_total_interest_nom,gov_consumption_price,gdp_price,broad_expenditure_including_interest_gdp,broad_expenditure_excluding_other_interest_gdp,broad_expenditure_excluding_total_interest_gdp,interest_payable_total_gdp,interest_payable_other_gdp,interest_payable_unfunded_super_gdp,broad_expenditure_gdp,broad_expenditure_nom,topdown_interest_treatment,topdown_interest_treatment_label,pop_total,0_14,15_34,35_54,55_64,65_74,75p,65p,tot_index,unemployment,relative_gov_price,tot_z,rp_z,covid,log_population,log_real_gdp_per_capita,population_growth,real_gdp_per_capita_growth,source
2004,157912,23231,288058,865199,1598013,111090,15828,5698,10129,292233,286535,276405,0.548195155142367,0.54142175313968,0.337763913273131,0.331178145143487,0.319469856067795,0.0182940572053366,0.00658576812964416,0.0117071332722299,0.331178145143487,286535,exclude_other_interest,Exclude conventional other interest,19932722,0.19938190077602,0.281016962961707,0.286762339834971,0.104464106808894,0.0678986041143804,0.060476085504027,0.128374689618407,57.75,5.647281625,1.01251039871119,-0.318226005732186,-0.163681515352709,0,16.8078732608861,-2.5236017204419,0.0106919812205746,0.0306323777641024,ABS national accounts and labour/demographic data
2005,170089,26241,296854,926848,1648438,115910,15690,5484,10207,312240,306756,296550,0.572971898643778,0.562258331826857,0.336883717718547,0.33096688993233,0.319955375638724,0.0169283420798232,0.00591682778621737,0.0110125932191686,0.33096688993233,306756,exclude_other_interest,Exclude conventional other interest,20176844,0.197423888493166,0.279887726742597,0.28609984792468,0.107139203732754,0.0680964277664039,0.0613529053403991,0.129449333106803,63.425,5.190216225,1.01905452744846,0.0357916531808558,0.052975763772323,0,16.8200461681914,-2.50470743735316,0.0121729073052421,0.0188942830887444,ABS national accounts and labour/demographic data
2006,182989,29802,306176,1001865,1694114,121767,15651,5357,10293,334558,329201,318907,0.597659516095318,0.591379918942881,0.333935210831799,0.328588183038633,0.318313345610437,0.0156218652213622,0.00534702779316575,0.0102738392897247,0.328588183038633,329201,exclude_other_interest,Exclude conventional other interest,20450966,0.195706501101219,0.278561364778564,0.28609108244569,0.10937512682775,0.0683221027309908,0.0619438221157866,0.130265924846777,70.125,4.96700215,1.01061854985482,0.453750827580394,-0.226315189320735,0,16.8335406765013,-2.4908702282314,0.0134945083098863,0.0138372091217609,ABS national accounts and labour/demographic data
2007,197985,32648,315602,1091983,1758313,129320,15932,5595,10337,359953,354358,344021,0.627324921895299,0.621040167478714,0.329632421017543,0.324508714879261,0.315042450294556,0.0145899707229874,0.00512370613828237,0.00946626458470507,0.324508714879261,354358,exclude_other_interest,Exclude conventional other interest,20827622,0.194302594890574,0.278090508844457,0.285333822555451,0.110879773024496,0.069181445678244,0.062211855006779,0.131393300685023,75.2,4.51696709166667,1.01011972291921,0.770339306696462,-0.242829914345732,0,16.8517906444542,-2.4719252598438,0.0182499679529258,0.0189449683876002,ABS national accounts and labour/demographic data
2008,213309,37205,325343,1182271,1822034,138717,17163,6906,10258,389231,382325,372068,0.655643428627633,0.648874280062831,0.32922316457056,0.323381864225715,0.314706188344297,0.0145169762262628,0.0058413003448448,0.00867652171118128,0.323381864225715,382325,exclude_other_interest,Exclude conventional other interest,21249199,0.192990615787447,0.27917880575169,0.283521275319601,0.112296468210402,0.0698867284362107,0.0621261064946495,0.13201283493086,79.4,4.23842073333333,1.01043214189989,1.03234356527528,-0.232486620529592,0,16.8718297585066,-2.45636574106639,0.0200391140524268,0.0155595187774082,ABS national accounts and labour/demographic data
2009,232266,42480,338819,1265572,1857651,168828,18337,6465,11873,443574,437109,425237,0.685516455688731,0.681275438712654,0.350492899653279,0.345384537584586,0.336003799072672,0.014489100580607,0.00510836206869305,0.0093815286684598,0.345384537584586,437109,exclude_other_interest,Exclude conventional other interest,21691653,0.191688480356937,0.281098909336232,0.281253577124805,0.112701968817222,0.0712790767951156,0.0619779875696887,0.133257064364804,85.1,4.91556385833333,1.00622511356653,1.38792077334653,-0.371769227657141,0,16.8924380901343,-2.45761474580509,0.0206083316277272,-0.00124900473869793,ABS national accounts and labour/demographic data
2010,245238,54334,344400,1307345,1898707,166322,22984,9889,13094,465894,456005,442910,0.712073170731707,0.68854488870584,0.356366529110526,0.348802343681278,0.338785859891612,0.0175806692189131,0.00756418542924783,0.0100157188806321,0.348802343681278,456005,exclude_other_interest,Exclude conventional other interest,22031750,0.190574874896456,0.280983353569281,0.279280356757861,0.113599101296992,0.073225640269157,0.0623366732102534,0.13556231347941,81.9,5.46519756666667,1.03417102125337,1.188298481096,0.553439392952957,0,16.9079951527548,-2.45131146659701,0.0155570626204096,0.00630327920807527,ABS national accounts and labour/demographic data
2011,264648,53823,355148,1423069,1944176,175559,26952,13663,13290,494030,480367,467078,0.745176658745087,0.731965110154636,0.347158149042668,0.337557068560976,0.328218800353321,0.0189393486893468,0.00960108048169133,0.0093389709142705,0.337557068560976,480367,exclude_other_interest,Exclude conventional other interest,22340024,0.189507987994999,0.280190074997234,0.27739692669981,0.114681747879949,0.0752877884106123,0.0629354740173959,0.138223262428008,98.875,5.036379075,1.0180494239509,2.24723235951871,0.0196996780223984,0,16.9218904259109,-2.44154163102703,0.0138952731561801,0.0097698355699829,ABS national accounts and labour/demographic data
2012,283735,54137,368655,1504290,2021018,188440,27884,14302,13584,526312,512010,498428,0.769649129945342,0.744322910533207,0.349874026949591,0.340366551662246,0.331337707489912,0.0185363194596787,0.00950747528734486,0.00903017370320882,0.340366551662246,512010,exclude_other_interest,Exclude conventional other interest,22733465,0.189324152741344,0.280544298900322,0.274858012186,0.113902522118824,0.0781452805368649,0.0632257335166461,0.141371014053511,99.075,5.16504185,1.03402584960604,2.25970875278437,0.548633177277999,0,16.9393486259177,-2.42023672308963,0.017458200006736,0.0213049079373979,ABS national accounts and labour/demographic data
2013,289851,50625,370762,1544115,2074665,191365,26429,13344,13085,531841,518497,505412,0.781771055286141,0.744271966799459,0.344430952357823,0.335789108971806,0.327314999206665,0.0171159531511578,0.00864184338601723,0.00847410976514055,0.335789108971806,518497,exclude_other_interest,Exclude conventional other interest,23128129,0.189290106432734,0.2808961762536,0.272005487344004,0.113811367966687,0.0803806049334989,0.0636162570694759,0.143996862002975,89.9,5.43707873333333,1.0503835830979,1.68735421172231,1.09019068222321,0,16.9565601403176,-2.41124988748753,0.017211514399893,0.00898683560210456,ABS national accounts and labour/demographic data
