"","date","GDP","Consumption","Investment","Consumption_ratio","Government_ratio"
"154",1997-12-01,147479,26868,4654,0.182181869961147,0.213738905200062
"155",1998-03-01,148575,26681,4490,0.179579337035167,0.20979976442874
"156",1998-06-01,149787,27211,3507,0.181664630441894,0.205077877252365
"157",1998-09-01,152430,28625,4456,0.18779111723414,0.217024207833104
"158",1998-12-01,155342,28657,4991,0.184476831764751,0.216605940441091
"159",1999-03-01,156801,29589,4614,0.188704153672489,0.218129986415903
"160",1999-06-01,157663,29602,3853,0.187754894934132,0.212193095399682
"161",1999-09-01,160528,29247,5038,0.182192514701485,0.213576447722516
"162",1999-12-01,163393,30038,4535,0.183838964949539,0.211594131939557
"163",2000-03-01,168315,31792,4910,0.188883937854618,0.218055431779699
"164",2000-06-01,170523,31813,5256,0.186561343631064,0.217384165185928
"165",2000-09-01,174727,32220,5503,0.184401952760592,0.21589679900645
"166",2000-12-01,173866,32333,5303,0.185965053546984,0.216465553932339
"167",2001-03-01,178737,33062,5400,0.184975690539732,0.215187677984972
"168",2001-06-01,180575,33431,5177,0.185136369929392,0.213805897826388
"169",2001-09-01,184348,34510,5538,0.187200295094061,0.217241304489335
"170",2001-12-01,186832,34031,5820,0.182147597841911,0.213298578401987
"171",2002-03-01,190977,35240,5245,0.184524838069506,0.211988878241883
"172",2002-06-01,194271,35051,5729,0.180423223229406,0.20991295664304
"173",2002-09-01,196943,36080,5882,0.183200215290719,0.213066724889943
"174",2002-12-01,200184,36472,6095,0.182192383007633,0.212639371777964
"175",2003-03-01,202397,37500,5788,0.18527942607845,0.213876687895572
"176",2003-06-01,204366,37769,5336,0.184810584930957,0.210920603231457
"177",2003-09-01,209090,38501,5381,0.184136017982687,0.209871347266727
"178",2003-12-01,214335,39155,5942,0.182681316630508,0.210404273683719
"179",2004-03-01,218488,39501,6105,0.18079253780528,0.208734575811944
"180",2004-06-01,221903,40754,5803,0.183656823026277,0.209807889032595
"181",2004-09-01,225006,41414,6077,0.184057314027182,0.211065482698239
"182",2004-12-01,228932,42223,6441,0.184434679293415,0.212569671343456
"183",2005-03-01,233246,42700,6581,0.183068519931746,0.211283366059868
"184",2005-06-01,238178,43754,7142,0.183702944856368,0.213688921730806
"185",2005-09-01,243698,44208,7760,0.181404853548244,0.213247544091457
"186",2005-12-01,249089,45593,7621,0.18303899409448,0.213634484059914
"187",2006-03-01,252023,45978,7530,0.182435730072255,0.212313955472318
"188",2006-06-01,255329,47210,6891,0.184898699325184,0.211887408010841
"189",2006-09-01,262803,48268,8463,0.183666092091795,0.215868920826627
"190",2006-12-01,269797,49283,7973,0.182666968127889,0.212218816369344
"191",2007-03-01,276633,50117,7785,0.181167828856283,0.209309807578995
"192",2007-06-01,280712,50318,8427,0.17925133232637,0.209271424093021
"193",2007-09-01,285153,51696,7713,0.181292148425582,0.208340785473062
"194",2007-12-01,290509,52817,9454,0.181808480976493,0.214351362608387
"195",2008-03-01,298149,54091,9320,0.18142271146306,0.212682249479287
"196",2008-06-01,305836,54705,10718,0.178870374972207,0.213915301010999
"197",2008-09-01,315464,56436,10991,0.17889838460173,0.213739127127026
"198",2008-12-01,315913,58065,10685,0.183800603330664,0.217623206389101
"199",2009-03-01,317333,58543,10643,0.184484437483653,0.218023338259809
"200",2009-06-01,312767,59221,10161,0.189345423270358,0.22183286599929
"201",2009-09-01,313784,59711,11784,0.190293322795299,0.227847818881779
"202",2009-12-01,320904,60400,13367,0.188218283349538,0.229872485229227
"203",2010-03-01,328422,61802,14926,0.188178623843713,0.233626249155051
"204",2010-06-01,340019,63325,14257,0.186239592493361,0.228169602286931
"205",2010-09-01,344958,63571,14090,0.184286202958041,0.225131755170195
"206",2010-12-01,351070,65382,13977,0.186236363118466,0.226048936109608
"207",2011-03-01,356847,67287,13716,0.188559802940756,0.226996443854089
"208",2011-06-01,365837,68408,12040,0.186990380962013,0.219901212835224
"209",2011-09-01,372326,69870,13008,0.187658127554885,0.222595252547499
"210",2011-12-01,373206,70906,15164,0.189991586416081,0.230623301876176
"211",2012-03-01,374228,70750,12302,0.189055869683722,0.22192887758265
"212",2012-06-01,379473,72210,13663,0.190290218276399,0.226295414957059
"213",2012-09-01,380340,71737,13345,0.188612820108324,0.223699847504864
"214",2012-12-01,381832,71862,12530,0.188203188836975,0.221018667895829
"215",2013-03-01,385595,72961,13286,0.189216665153853,0.223672506126895
"216",2013-06-01,389850,73291,11463,0.187997947928691,0.217401564704373
"217",2013-09-01,393954,74404,12562,0.188864689786117,0.220751661361479
"218",2013-12-01,400054,75754,12821,0.189359436476076,0.221407609972654
"219",2014-03-01,403263,74949,13172,0.185856376607822,0.218519923722236
"220",2014-06-01,402744,75219,12568,0.186766283296585,0.217972210635044
"221",2014-09-01,402720,76366,12835,0.18962554628526,0.221496324990068
"222",2014-12-01,405263,77362,12755,0.190893321127268,0.222366710013004
"223",2015-03-01,408247,78760,12395,0.192922421965134,0.223283943299032
"224",2015-06-01,407276,79145,12943,0.194327679509718,0.226107111639281
"225",2015-09-01,411873,80998,12381,0.196657707594331,0.226717944609139
"226",2015-12-01,412120,82052,12549,0.199097350286324,0.229547219256527
"227",2016-03-01,414507,83443,14146,0.201306612433566,0.235433900995641
"228",2016-06-01,419264,84603,14632,0.201789326057091,0.236688578079682
"229",2016-09-01,424685,86373,14133,0.203381329691418,0.236660112789479
"230",2016-12-01,438909,86360,14539,0.196760604134342,0.229885921683082
"231",2017-03-01,446729,88230,15718,0.197502288859689,0.232686931002912
"232",2017-06-01,446707,89582,17811,0.200538608080912,0.240410380853669
"233",2017-09-01,452542,89670,17097,0.198147354278719,0.235927273048689
"234",2017-12-01,455214,91593,17471,0.20120866229949,0.239588413361628
"235",2018-03-01,464026,93314,17487,0.201096490282872,0.23878187860163
"236",2018-06-01,470245,93928,17372,0.199742687322566,0.236685132218312
"237",2018-09-01,477511,95860,18907,0.200749302110318,0.240344201494835
"238",2018-12-01,482458,98198,18996,0.203536888185086,0.242910263691347
"239",2019-03-01,489605,99356,19202,0.202930934120362,0.242150304837573
"240",2019-06-01,497131,103123,18607,0.20743626931332,0.244865035574124
"241",2019-09-01,503678,104699,19811,0.20786891625205,0.247201585139712
"242",2019-12-01,503004,106720,20492,0.212165310812638,0.252904549466803
"243",2020-03-01,504874,109759,19884,0.217398796531412,0.256782880481071
"244",2020-06-01,468663,112285,18829,0.239585800457898,0.279761790454975
"245",2020-09-01,488415,114557,19402,0.234548488478036,0.274272903166365
"246",2020-12-01,511690,116035,20416,0.226768160409623,0.266667318102758
"247",2021-03-01,532947,117086,20419,0.219695391849471,0.258008770102843
"248",2021-06-01,551946,119818,21263,0.217082830566758,0.255606526725441
"249",2021-09-01,549278,124556,21944,0.226763132694191,0.26671375878881
"250",2021-12-01,568554,126914,22047,0.223222420385751,0.261999739690513
"251",2022-03-01,593293,131221,22776,0.221174023627449,0.259563150079303
"252",2022-06-01,621412,131976,23609,0.212380835902751,0.250373343289154
"253",2022-09-01,628864,133827,24033,0.212807538672909,0.251024068797069
"254",2022-12-01,639451,135571,24451,0.212011553660875,0.250249041756131
"255",2023-03-01,650695,137673,25269,0.211578389260714,0.250412251515687
"256",2023-06-01,647734,140271,26422,0.216556487694023,0.257347923684722
"257",2023-09-01,656055,144053,26994,0.2195745783509,0.260720518858937
"258",2023-12-01,666848,146929,26386,0.220333569269159,0.259901806708575
"259",2024-03-01,675274,149821,26661,0.221866975479583,0.261348726590984
"260",2024-06-01,676484,153324,26412,0.226648376014806,0.265691428030818
"261",2024-09-01,679325,156560,28099,0.230464063592537,0.271827181393295
