year,log_real_gdp_per_capita,real_gdp_per_capita_growth,scenario_real_gdp,scenario_real_gdp_growth,scenario_nominal_gdp,scenario_nominal_gdp_growth,income_case,income_case_label
2036,-2.2817683478535,0.00247894047454311,3213237.74999578,0.0138805215339148,4389710.94802619,0.0392275345722626,midpoint_gdp,GDP PC model: 0.56% growth
2037,-2.2780290163604,0.00374633151552284,3257839.16577817,0.0138805215339108,4561908.48600211,0.0392275345722586,midpoint_gdp,GDP PC model: 0.56% growth
2038,-2.2741897708956,0.00384662480835618,3303059.67247277,0.0138805215339097,4740860.90885223,0.0392275345722575,midpoint_gdp,GDP PC model: 0.56% growth
2039,-2.27025257937255,0.00394495244366255,3348907.86338434,0.0138805215339177,4926833.19405653,0.0392275345722655,midpoint_gdp,GDP PC model: 0.56% growth
2040,-2.26621935213098,0.00404137164828922,3395392.45109713,0.0138805215339124,5120100.71350814,0.0392275345722601,midpoint_gdp,GDP PC model: 0.56% growth
2041,-2.26209194416106,0.00413593744904284,3442522.26913067,0.0138805215339122,5320949.64126074,0.0392275345722599,midpoint_gdp,GDP PC model: 0.56% growth
2042,-2.25787215722119,0.00422870277734555,3490306.2736183,0.0138805215339102,5529677.37727053,0.0392275345722579,midpoint_gdp,GDP PC model: 0.56% growth
2043,-2.25356174185549,0.00431971856809388,3538753.5450092,0.0138805215339086,5746592.98776084,0.0392275345722561,midpoint_gdp,GDP PC model: 0.56% growth
2044,-2.24916239931659,0.00440903385288349,3587873.28979393,0.0138805215339173,5972017.66286096,0.039227534572265,midpoint_gdp,GDP PC model: 0.56% growth
2045,-2.24467578339902,0.00449669584804879,3637674.84225386,0.0138805215339128,6206285.19219699,0.0392275345722606,midpoint_gdp,GDP PC model: 0.56% growth
2046,-2.24010350218816,0.00458275003799313,3688167.66623513,0.0138805215339091,6449742.45913918,0.0392275345722568,midpoint_gdp,GDP PC model: 0.56% growth
2047,-2.23544711972929,0.00466724025381238,3739361.35694699,0.0138805215339153,6702749.95443726,0.039227534572263,midpoint_gdp,GDP PC model: 0.56% growth
2048,-2.23070815762128,0.00475020874771226,3791265.64278517,0.01388052153391,6965682.31000415,0.0392275345722577,midpoint_gdp,GDP PC model: 0.56% growth
2049,-2.22588809653873,0.00483169626356284,3843890.38718063,0.0138805215339131,7238928.85363922,0.0392275345722608,midpoint_gdp,GDP PC model: 0.56% growth
2050,-2.22098837768646,0.00491174210351497,3897245.59047389,0.0138805215339135,7522894.18551149,0.0392275345722612,midpoint_gdp,GDP PC model: 0.56% growth
2051,-2.21601040419009,0.00499038419125486,3951341.39181543,0.0138805215339162,7817998.77725713,0.0392275345722639,midpoint_gdp,GDP PC model: 0.56% growth
2052,-2.2109555424258,0.00506765913190654,4006188.07109235,0.01388052153391,8124679.59457785,0.0392275345722577,midpoint_gdp,GDP PC model: 0.56% growth
