year,sample,spending_pp,0_14,65_74,75p,65p,unemployment,tot_z,rp_z,log_real_gdp_per_capita,age_0_14_pp,age_65_74_pp,age_75p_pp,age_65p_pp,relative_price,terms_of_trade,log_relative_price,log_terms_of_trade,covid_fy2020,d_covid_fy2020,covid_fy2021,d_covid_fy2021,covid_fy2022,d_covid_fy2022,dy,d_age_0_14_pp,d_age_65_74_pp,d_age_75p_pp,d_age_65p_pp,d_log_relative_price,d_log_real_gdp_per_capita,d_unemployment,d_log_terms_of_trade,d_unemployment_l1,d_log_terms_of_trade_l1,spending_lag_pp
2012,history,34.0366551662246,0.189324152741344,0.0781452805368649,0.0632257335166461,0.141371014053511,5.16504185,2.25970875278437,0.548633177277999,-2.42023672308963,18.9324152741344,7.81452805368649,6.32257335166461,14.1371014053511,1.03402584960604,99.075,0.033459775392748,4.5958771390765,0,0,0,0,0,0,0.280948310126995,-0.0183835253655005,0.28574921262526,0.0290259499250203,0.314775162550299,0.0155713083929313,0.0213049079374001,0.128662775,0.00202071298868134,-0.42881849166667,0.188357435228793,33.7557068560976
2013,history,33.5789108971806,0.189290106432734,0.0803806049334989,0.0636162570694759,0.143996862002975,5.43707873333333,1.68735421172231,1.09019068222321,-2.41124988748753,18.9290106432734,8.03806049334989,6.36162570694759,14.3996862002975,1.0503835830979,89.8999999999999,0.0491554146934352,4.49869794147757,0,0,0,0,0,0,-0.457744269043992,-0.00340463086099874,0.2235324396634,0.0390523552829807,0.262584794946402,0.0156956393006872,0.00898683560210012,0.27203688333333,-0.0971791975989253,0.128662775,0.00202071298868134,34.0366551662246
2014,history,33.6198082768878,0.189120011232047,0.0823152090209419,0.0643108789238363,0.146626087944778,5.84889219166667,1.48461282115537,1.26080803832885,-2.4004857273775,18.9120011232047,8.23152090209419,6.43108789238363,14.6626087944778,1.05553707689086,86.6499999999999,0.0540497150136418,4.46187701616161,0,0,0,0,0,0,0.0408973797071965,-0.0170095200687008,0.193460408744299,0.0694621854360396,0.262922594180298,0.0048943003202066,0.0107641601100297,0.411813458333341,-0.0368209253159595,0.27203688333333,-0.0971791975989253,33.5789108971806
2015,history,33.9910313901345,0.188928365159633,0.0842580794965736,0.0649821265078364,0.14924020600441,6.160683775,0.913817829251527,2.04792785160186,-2.39346531027808,18.8928365159633,8.42580794965736,6.49821265078364,14.924020600441,1.07931201494288,77.5,0.0763238149496058,4.3502779363593,0,0,0,0,0,0,0.3712231132467,-0.0191646072414002,0.19428704756317,0.0671247584000101,0.261411805963199,0.022274099935964,0.00702041709942014,0.31179158333333,-0.111599079802312,0.411813458333341,-0.0368209253159595,33.6198082768878
2016,history,34.606272363207,0.189021312842879,0.086117854117665,0.0656850939900683,0.151802948107733,5.874184875,0.438155335998322,2.77525302083691,-2.3819011524891,18.9021312842879,8.6117854117665,6.56850939900683,15.1802948107733,1.10128085698021,69.875,0.0964739178350273,4.24670793147526,0,0,0,0,0,0,0.615240973072503,0.00929476832460097,0.18597746210914,0.0702967482231909,0.256274210332302,0.0201501028854214,0.01156415778898,-0.2864989,-0.103570004884038,0.31179158333333,-0.111599079802312,33.9910313901345
2017,history,34.1654398405476,0.188504804781018,0.087541498275822,0.0664992639245613,0.154040762200383,5.697882975,1.04949860601556,1.82650595484989,-2.37569533857434,18.8504804781018,8.7541498275822,6.64992639245613,15.4040762200383,1.07262397102648,79.6750000000001,0.0701079558406256,4.3779558603034,0,0,0,0,0,0,-0.440832522659406,-0.0516508061860996,0.142364415815701,0.0814169934492997,0.223781409265001,-0.0263659619944017,0.00620581391476005,-0.1763019,0.131247928828138,-0.2864989,-0.103570004884038,34.606272363207
2018,history,34.04240934401,0.187707630149879,0.0892320225188555,0.0673237844194856,0.156555806938341,5.50254788333333,1.14775020298261,1.70253064153967,-2.36231847165957,18.7707630149879,8.92320225188555,6.73237844194856,15.6555806938341,1.06887929919352,81.25,0.0666107156526728,4.39753082120985,0,0,0,0,0,0,-0.123030496537602,-0.0797174631139015,0.169052424303349,0.0824520494924288,0.251504473795798,-0.00349724018795276,0.0133768669147698,-0.19533509166667,0.0195749609064455,-0.1763019,0.131247928828138,34.1654398405476
2019,history,34.0792684143503,0.186748233439614,0.0904701299310285,0.0687240559694391,0.159194185900468,5.12419361666667,1.43626679725095,1.36422865032062,-2.35539085566388,18.6748233439614,9.04701299310285,6.87240559694391,15.9194185900468,1.05866089438591,85.875,0.0570048022956597,4.45289275054251,0,0,0,0,0,0,0.0368590703403058,-0.0959396710264997,0.123810741217302,0.140027154995352,0.263837896212699,-0.00960591335701315,0.00692761599569014,-0.37835426666666,0.0553619293326664,-0.19533509166667,0.0195749609064455,34.04240934401
2020,history,39.3181241849007,0.185475691139171,0.0925498868426864,0.0707219954362795,0.163271882278966,5.62885295,1.48149372283896,1.3599109865967,-2.36906176622635,18.5475691139171,9.25498868426864,7.07219954362795,16.3271882278966,1.05853047944039,86.6,0.0568816061148162,4.46129981556839,1,1,0,0,0,0,5.23885577055039,-0.127254230044301,0.207975691165791,0.199793946684038,0.4077696378498,-0.000123196180843478,-0.0136709105624697,0.50465933333333,0.00840706502587629,-0.37835426666666,0.0553619293326664,34.0792684143503
2021,history,41.5593685445313,0.184886347160793,0.0945011900140048,0.0734625942538901,0.167963784267895,6.23935811666667,2.01797863326225,0.712108910316471,-2.35059955341631,18.4886347160793,9.45011900140048,7.34625942538901,16.7963784267895,1.03896363081858,95.2,0.0382237074799735,4.55597994179732,0,-1,1,1,0,0,2.24124435963061,-0.058934397837799,0.195130317131838,0.27405988176106,0.4691901988929,-0.0186578986348427,0.0184622128100398,0.610505166666671,0.0946801262289307,0.50465933333333,0.00840706502587629,39.3181241849007
