"nominal_return","annual_real_return","treatment","tax_as_share_real_gain"
0.075,0.0487804878048781,"50% discount",0.262335468057785
0.075,0.0487804878048781,"Inflation indexation",0.406639824186675
0.075,0.0487804878048781,"Full nominal gain taxed",0.568031111928896
0.076,0.0497560975609759,"50% discount",0.261437175114922
0.076,0.0497560975609759,"Inflation indexation",0.407683071853321
0.076,0.0497560975609759,"Full nominal gain taxed",0.565191278376522
0.077,0.0507317073170732,"50% discount",0.260574072279145
0.077,0.0507317073170732,"Inflation indexation",0.408685450895318
0.077,0.0507317073170732,"Full nominal gain taxed",0.562462693662971
0.078,0.051707317073171,"50% discount",0.259744166215596
0.078,0.051707317073171,"Inflation indexation",0.409649276305738
0.078,0.051707317073171,"Full nominal gain taxed",0.559839056125454
0.079,0.0526829268292683,"50% discount",0.258945611238004
0.079,0.0526829268292683,"Inflation indexation",0.410576691603475
0.079,0.0526829268292683,"Full nominal gain taxed",0.557314530872533
0.08,0.0536585365853661,"50% discount",0.25817669588617
0.08,0.0536585365853661,"Inflation indexation",0.411469684421713
0.08,0.0536585365853661,"Full nominal gain taxed",0.554883707350627
0.081,0.0546341463414635,"50% discount",0.257435830941578
0.081,0.0546341463414635,"Inflation indexation",0.412330100426185
0.081,0.0546341463414635,"Full nominal gain taxed",0.552541561456971
0.082,0.0556097560975612,"50% discount",0.256721538704531
0.082,0.0556097560975612,"Inflation indexation",0.413159655768375
0.082,0.0556097560975612,"Full nominal gain taxed",0.550283421640686
0.083,0.0565853658536586,"50% discount",0.25603244338053
0.083,0.0565853658536586,"Inflation indexation",0.413959948250434
0.083,0.0565853658536586,"Full nominal gain taxed",0.548104938510626
0.084,0.0575609756097564,"50% discount",0.255367262444329
0.084,0.0575609756097564,"Inflation indexation",0.4147324673547
0.084,0.0575609756097564,"Full nominal gain taxed",0.546002057533959
0.085,0.0585365853658537,"50% discount",0.25472479886757
0.085,0.0585365853658537,"Inflation indexation",0.415478603270254
0.085,0.0585365853658537,"Full nominal gain taxed",0.543970994464886
0.086,0.0595121951219515,"50% discount",0.254103934110918
0.086,0.0595121951219515,"Inflation indexation",0.416199655031626
0.086,0.0595121951219515,"Full nominal gain taxed",0.54200821319021
0.087,0.0604878048780488,"50% discount",0.253503621794378
0.087,0.0604878048780488,"Inflation indexation",0.416896837869881
0.087,0.0604878048780488,"Full nominal gain taxed",0.540110405718874
0.088,0.0614634146341466,"50% discount",0.252922881970434
0.088,0.0614634146341466,"Inflation indexation",0.4175712898636
0.088,0.0614634146341466,"Full nominal gain taxed",0.538274474077267
0.089,0.062439024390244,"50% discount",0.252360795934087
0.089,0.062439024390244,"Inflation indexation",0.418224077966337
0.089,0.062439024390244,"Full nominal gain taxed",0.536497513901836
0.09,0.0634146341463417,"50% discount",0.25181650151196
0.09,0.0634146341463417,"Inflation indexation",0.41885620347769
0.09,0.0634146341463417,"Full nominal gain taxed",0.53477679954623
0.091,0.0643902439024391,"50% discount",0.251289188779671
0.091,0.0643902439024391,"Inflation indexation",0.419468607017007
0.091,0.0643902439024391,"Full nominal gain taxed",0.533109770542336
0.092,0.0653658536585369,"50% discount",0.250778096162722
0.092,0.0653658536585369,"Inflation indexation",0.420062173051682
0.092,0.0653658536585369,"Full nominal gain taxed",0.531494019273762
0.093,0.0663414634146342,"50% discount",0.250282506881427
0.093,0.0663414634146342,"Inflation indexation",0.420637734025898
0.093,0.0663414634146342,"Full nominal gain taxed",0.529927279736955
0.094,0.067317073170732,"50% discount",0.249801745704976
0.094,0.067317073170732,"Inflation indexation",0.42119607413035
0.094,0.067317073170732,"Full nominal gain taxed",0.528407417279603
0.095,0.0682926829268293,"50% discount",0.249335175983727
0.095,0.0682926829268293,"Inflation indexation",0.421737932748842
0.095,0.0682926829268293,"Full nominal gain taxed",0.526932419218612
0.096,0.0692682926829271,"50% discount",0.24888219693228
0.096,0.0692682926829271,"Inflation indexation",0.422264007613635
0.096,0.0692682926829271,"Full nominal gain taxed",0.525500386250925
0.097,0.0702439024390245,"50% discount",0.248442241138973
0.097,0.0702439024390245,"Inflation indexation",0.422774957697838
0.097,0.0702439024390245,"Full nominal gain taxed",0.524109524580108
0.098,0.0712195121951222,"50% discount",0.248014772280066
0.098,0.0712195121951222,"Inflation indexation",0.423271405870075
0.098,0.0712195121951222,"Full nominal gain taxed",0.522758138690057
0.099,0.0721951219512196,"50% discount",0.247599283019271
0.099,0.0721951219512196,"Inflation indexation",0.423753941333907
0.099,0.0721951219512196,"Full nominal gain taxed",0.521444624704634
0.1,0.0731707317073174,"50% discount",0.247195293075308
0.1,0.0731707317073174,"Inflation indexation",0.424223121872099
0.1,0.0731707317073174,"Full nominal gain taxed",0.520167464278517
