"nominal_return","annual_real_return","treatment","final_wealth"
0.076,0.0497560975609759,"No capital gains tax",2080284.404702
0.076,0.0497560975609759,"50% discount",1871082.41364405
0.076,0.0497560975609759,"Inflation indexation",1754056.46747446
0.076,0.0497560975609759,"Full nominal gain taxed",1628018.4225861
0.077,0.0507317073170732,"No capital gains tax",2099698.95930715
0.077,0.0507317073170732,"50% discount",1886128.69346304
0.077,0.0507317073170732,"Inflation indexation",1764734.47250729
0.077,0.0507317073170732,"Full nominal gain taxed",1638696.42761893
0.078,0.051707317073171,"No capital gains tax",2119276.43221732
0.078,0.051707317073171,"50% discount",1901301.23496842
0.078,0.051707317073171,"Inflation indexation",1775502.08260789
0.078,0.051707317073171,"Full nominal gain taxed",1649464.03771953
0.079,0.0526829268292683,"No capital gains tax",2139018.03753517
0.079,0.0526829268292683,"50% discount",1916600.97908975
0.079,0.0526829268292683,"Inflation indexation",1786359.9655327
0.079,0.0526829268292683,"Full nominal gain taxed",1660321.92064434
0.08,0.0536585365853661,"No capital gains tax",2158924.99727279
0.08,0.0536585365853661,"50% discount",1932028.87288641
0.08,0.0536585365853661,"Inflation indexation",1797308.79338839
0.08,0.0536585365853661,"Full nominal gain taxed",1671270.74850003
0.081,0.0546341463414635,"No capital gains tax",2178998.54139582
0.081,0.0546341463414635,"50% discount",1947585.86958176
0.081,0.0546341463414635,"Inflation indexation",1808349.24265606
0.081,0.0546341463414635,"Full nominal gain taxed",1682311.1977677
0.082,0.0556097560975612,"No capital gains tax",2199239.90786779
0.082,0.0556097560975612,"50% discount",1963272.92859754
0.082,0.0556097560975612,"Inflation indexation",1819481.99421565
0.082,0.0556097560975612,"Full nominal gain taxed",1693443.94932728
0.083,0.0565853658536586,"No capital gains tax",2219650.34269463
0.083,0.0565853658536586,"50% discount",1979091.01558834
0.083,0.0565853658536586,"Inflation indexation",1830707.73337041
0.083,0.0565853658536586,"Full nominal gain taxed",1704669.68848205
0.084,0.0575609756097564,"No capital gains tax",2240231.09996945
0.084,0.0575609756097564,"50% discount",1995041.10247632
0.084,0.0575609756097564,"Inflation indexation",1842027.14987156
0.084,0.0575609756097564,"Full nominal gain taxed",1715989.1049832
0.085,0.0585365853658537,"No capital gains tax",2260983.44191743
0.085,0.0585365853658537,"50% discount",2011124.16748601
0.085,0.0585365853658537,"Inflation indexation",1853440.93794295
0.085,0.0585365853658537,"Full nominal gain taxed",1727402.89305459
0.086,0.0595121951219515,"No capital gains tax",2281908.63894107
0.086,0.0595121951219515,"50% discount",2027341.19517933
0.086,0.0595121951219515,"Inflation indexation",1864949.79630595
0.086,0.0595121951219515,"Full nominal gain taxed",1738911.75141759
0.087,0.0604878048780488,"No capital gains tax",2303007.96966545
0.087,0.0604878048780488,"50% discount",2043693.17649072
0.087,0.0604878048780488,"Inflation indexation",1876554.42820436
0.087,0.0604878048780488,"Full nominal gain taxed",1750516.383316
0.088,0.0614634146341466,"No capital gains tax",2324282.72098389
0.088,0.0614634146341466,"50% discount",2060181.10876251
0.088,0.0614634146341466,"Inflation indexation",1888255.5414295
0.088,0.0614634146341466,"Full nominal gain taxed",1762217.49654114
0.089,0.062439024390244,"No capital gains tax",2345734.18810368
0.089,0.062439024390244,"50% discount",2076805.99578035
0.089,0.062439024390244,"Inflation indexation",1900053.84834538
0.089,0.062439024390244,"Full nominal gain taxed",1774015.80345702
0.09,0.0634146341463417,"No capital gains tax",2367363.67459212
0.09,0.0634146341463417,"50% discount",2093568.84780889
0.09,0.0634146341463417,"Inflation indexation",1911950.06591403
0.09,0.0634146341463417,"Full nominal gain taxed",1785912.02102567
0.091,0.0643902439024391,"No capital gains tax",2389172.49242269
0.091,0.0643902439024391,"50% discount",2110470.68162758
0.091,0.0643902439024391,"Inflation indexation",1923944.91572084
0.091,0.0643902439024391,"Full nominal gain taxed",1797906.87083248
0.092,0.0653658536585369,"No capital gains tax",2411161.96202151
0.092,0.0653658536585369,"50% discount",2127512.52056667
0.092,0.0653658536585369,"Inflation indexation",1936039.12400019
0.092,0.0653658536585369,"Full nominal gain taxed",1810001.07911183
0.093,0.0663414634146342,"No capital gains tax",2433333.41231393
0.093,0.0663414634146342,"50% discount",2144695.3945433
0.093,0.0663414634146342,"Inflation indexation",1948233.42166102
0.093,0.0663414634146342,"Full nominal gain taxed",1822195.37677266
0.094,0.067317073170732,"No capital gains tax",2455688.18077143
0.094,0.067317073170732,"50% discount",2162020.34009786
0.094,0.067317073170732,"Inflation indexation",1960528.54431265
0.094,0.067317073170732,"Full nominal gain taxed",1834490.49942429
0.095,0.0682926829268293,"No capital gains tax",2478227.61345865
0.095,0.0682926829268293,"50% discount",2179488.40043045
0.095,0.0682926829268293,"Inflation indexation",1972925.23229062
0.095,0.0682926829268293,"Full nominal gain taxed",1846887.18740225
0.096,0.0692682926829271,"No capital gains tax",2500953.06508066
0.096,0.0692682926829271,"50% discount",2197100.62543751
0.096,0.0692682926829271,"Inflation indexation",1985424.23068272
0.096,0.0692682926829271,"Full nominal gain taxed",1859386.18579436
