"nominal_return","annual_real_return","treatment","tax_paid"
0.016,-0.00878048780487795,"Full nominal gain taxed",44987.4536320063
0.017,-0.00780487804878049,"50% discount",18329.8693498612
0.017,-0.00780487804878049,"Inflation indexation",0
0.017,-0.00780487804878049,"Full nominal gain taxed",49274.6110629909
0.018,-0.00682926829268282,"50% discount",20083.3552521501
0.018,-0.00682926829268282,"Inflation indexation",0
0.018,-0.00682926829268282,"Full nominal gain taxed",54024.0657564504
0.019,-0.00585365853658537,"50% discount",21852.4122061921
0.019,-0.00585365853658537,"Inflation indexation",0
0.019,-0.00585365853658537,"Full nominal gain taxed",59331.2366185763
0.02,-0.0048780487804877,"50% discount",23637.1629992136
0.02,-0.0048780487804877,"Inflation indexation",0
0.02,-0.0048780487804877,"Full nominal gain taxed",64685.4889976408
0.021,-0.00390243902439025,"50% discount",25437.7312648265
0.021,-0.00390243902439025,"Inflation indexation",0
0.021,-0.00390243902439025,"Full nominal gain taxed",70087.1937944796
0.022,-0.00292682926829257,"50% discount",27254.2414880273
0.022,-0.00292682926829257,"Inflation indexation",0
0.022,-0.00292682926829257,"Full nominal gain taxed",75536.7244640818
0.023,-0.00195121951219512,"50% discount",29086.8190102139
0.023,-0.00195121951219512,"Inflation indexation",0
0.023,-0.00195121951219512,"Full nominal gain taxed",81034.4570306417
0.024,-0.000975609756097451,"50% discount",30935.5900342345
0.024,-0.000975609756097451,"Inflation indexation",0
0.024,-0.000975609756097451,"Full nominal gain taxed",86580.7701027034
0.025,0,"50% discount",33153.640676326
0.025,0,"Inflation indexation",0
0.025,0,"Full nominal gain taxed",92176.0448883605
0.026,0.000975609756097562,"50% discount",35474.2068087818
0.026,0.000975609756097562,"Inflation indexation",0
0.026,0.000975609756097562,"Full nominal gain taxed",97820.6652105503
0.027,0.00195121951219512,"50% discount",37815.2183147654
0.027,0.00195121951219512,"Inflation indexation",1119.63471432596
0.027,0.00195121951219512,"Full nominal gain taxed",103515.017522402
0.028,0.00292682926829269,"50% discount",40176.8351571024
0.028,0.00292682926829269,"Inflation indexation",3162.11414553635
0.028,0.00292682926829269,"Full nominal gain taxed",109259.490922681
0.029,0.00390243902439025,"50% discount",42559.2183926409
0.029,0.00390243902439025,"Inflation indexation",6040.28818861886
0.029,0.00390243902439025,"Full nominal gain taxed",115054.477171289
0.03,0.00487804878048781,"50% discount",44962.5301786626
0.03,0.00487804878048781,"Inflation indexation",9937.55054432971
0.03,0.00487804878048781,"Full nominal gain taxed",120900.370704855
0.031,0.00585365853658537,"50% discount",47386.9337793169
0.031,0.00585365853658537,"Inflation indexation",13869.0158426879
0.031,0.00585365853658537,"Full nominal gain taxed",126797.568652392
0.032,0.00682926829268293,"50% discount",49832.5935720947
0.032,0.00682926829268293,"Inflation indexation",17834.9506417871
0.032,0.00682926829268293,"Full nominal gain taxed",132746.470851041
0.033,0.00780487804878049,"50% discount",52442.739930937
0.033,0.00780487804878049,"Inflation indexation",21835.6233156757
0.033,0.00780487804878049,"Full nominal gain taxed",138747.479861874
0.034,0.00878048780487806,"50% discount",55469.5004928982
0.034,0.00878048780487806,"Inflation indexation",25871.3040649573
0.034,0.00878048780487806,"Full nominal gain taxed",144801.000985796
0.035,0.00975609756097562,"50% discount",58522.7211397522
0.035,0.00975609756097562,"Inflation indexation",29942.2649274293
0.035,0.00975609756097562,"Full nominal gain taxed",150907.442279504
0.036,0.0107317073170732,"50% discount",61602.6072857702
0.036,0.0107317073170732,"Inflation indexation",34692.9617395035
0.036,0.0107317073170732,"Full nominal gain taxed",157067.21457154
0.037,0.0117073170731707,"50% discount",64709.3657392025
0.037,0.0117073170731707,"Inflation indexation",39801.8534184811
0.037,0.0117073170731707,"Full nominal gain taxed",163280.731478405
0.038,0.0126829268292683,"50% discount",67843.2047103851
0.038,0.0126829268292683,"Inflation indexation",44955.2775044258
0.038,0.0126829268292683,"Full nominal gain taxed",169548.40942077
0.039,0.0136585365853659,"50% discount",71004.3338198735
0.039,0.0136585365853659,"Inflation indexation",50153.5787066956
0.039,0.0136585365853659,"Full nominal gain taxed",175870.667639747
0.04,0.0146341463414634,"50% discount",74192.9641066275
0.04,0.0146341463414634,"Inflation indexation",56209.8833248945
0.04,0.0146341463414634,"Full nominal gain taxed",182247.928213255
0.041,0.015609756097561,"50% discount",77409.3080362242
0.041,0.015609756097561,"Inflation indexation",62642.571184088
0.041,0.015609756097561,"Full nominal gain taxed",188680.616072448
0.042,0.0165853658536586,"50% discount",80653.5795091222
0.042,0.0165853658536586,"Inflation indexation",69131.1141298839
0.042,0.0165853658536586,"Full nominal gain taxed",195169.159018244
0.043,0.0175609756097561,"50% discount",83925.9938689532
0.043,0.0175609756097561,"Inflation indexation",75675.9428495459
0.043,0.0175609756097561,"Full nominal gain taxed",201713.987737906
0.044,0.0185365853658537,"50% discount",87226.7679108666
0.044,0.0185365853658537,"Inflation indexation",82277.4909333729
0.044,0.0185365853658537,"Full nominal gain taxed",208315.535821733
