"nominal_return","annual_real_return","treatment","tax_paid"
0.016,-0.00878048780487795,"Inflation indexation",0
0.016,-0.00878048780487795,"Full nominal gain taxed",51607.6651070322
0.017,-0.00780487804878049,"50% discount",27541.8693498612
0.017,-0.00780487804878049,"Inflation indexation",0
0.017,-0.00780487804878049,"Full nominal gain taxed",55083.7386997224
0.018,-0.00682926829268282,"50% discount",29295.3552521501
0.018,-0.00682926829268282,"Inflation indexation",0
0.018,-0.00682926829268282,"Full nominal gain taxed",58590.7105043003
0.019,-0.00585365853658537,"50% discount",31064.4122061921
0.019,-0.00585365853658537,"Inflation indexation",0
0.019,-0.00585365853658537,"Full nominal gain taxed",62128.8244123842
0.02,-0.0048780487804877,"50% discount",32849.1629992136
0.02,-0.0048780487804877,"Inflation indexation",0
0.02,-0.0048780487804877,"Full nominal gain taxed",65698.3259984272
0.021,-0.00390243902439025,"50% discount",34649.7312648265
0.021,-0.00390243902439025,"Inflation indexation",0
0.021,-0.00390243902439025,"Full nominal gain taxed",69299.4625296531
0.022,-0.00292682926829257,"50% discount",36466.2414880273
0.022,-0.00292682926829257,"Inflation indexation",0
0.022,-0.00292682926829257,"Full nominal gain taxed",72932.4829760546
0.023,-0.00195121951219512,"50% discount",38298.8190102139
0.023,-0.00195121951219512,"Inflation indexation",0
0.023,-0.00195121951219512,"Full nominal gain taxed",76597.6380204278
0.024,-0.000975609756097451,"50% discount",40147.5900342345
0.024,-0.000975609756097451,"Inflation indexation",0
0.024,-0.000975609756097451,"Full nominal gain taxed",80295.1800684689
0.025,0,"50% discount",42012.6816294535
0.025,0,"Inflation indexation",0
0.025,0,"Full nominal gain taxed",84025.363258907
0.026,0.000975609756097562,"50% discount",43894.2217368501
0.026,0.000975609756097562,"Inflation indexation",3763.08021479321
0.026,0.000975609756097562,"Full nominal gain taxed",87788.4434737002
0.027,0.00195121951219512,"50% discount",45792.3391741341
0.027,0.00195121951219512,"Inflation indexation",7559.31508936118
0.027,0.00195121951219512,"Full nominal gain taxed",91584.6783482681
0.028,0.00292682926829269,"50% discount",47707.1636408938
0.028,0.00292682926829269,"Inflation indexation",11388.9640228807
0.028,0.00292682926829269,"Full nominal gain taxed",95414.3272817876
0.029,0.00390243902439025,"50% discount",49638.8257237629
0.029,0.00390243902439025,"Inflation indexation",15252.2881886189
0.029,0.00390243902439025,"Full nominal gain taxed",99277.6514475258
0.03,0.00487804878048781,"50% discount",51587.4569016183
0.03,0.00487804878048781,"Inflation indexation",19149.5505443297
0.03,0.00487804878048781,"Full nominal gain taxed",103174.913803237
0.031,0.00585365853658537,"50% discount",53553.1895507975
0.031,0.00585365853658537,"Inflation indexation",23081.0158426879
0.031,0.00585365853658537,"Full nominal gain taxed",107106.379101595
0.032,0.00682926829268293,"50% discount",55536.156950347
0.032,0.00682926829268293,"Inflation indexation",27046.9506417871
0.032,0.00682926829268293,"Full nominal gain taxed",111072.313900694
0.033,0.00780487804878049,"50% discount",57536.4932872914
0.033,0.00780487804878049,"Inflation indexation",31047.6233156757
0.033,0.00780487804878049,"Full nominal gain taxed",115072.986574583
0.034,0.00878048780487806,"50% discount",59554.3336619321
0.034,0.00878048780487806,"Inflation indexation",35083.3040649573
0.034,0.00878048780487806,"Full nominal gain taxed",119108.667323864
0.035,0.00975609756097562,"50% discount",61589.8140931681
0.035,0.00975609756097562,"Inflation indexation",39154.2649274293
0.035,0.00975609756097562,"Full nominal gain taxed",123179.628186336
0.036,0.0107317073170732,"50% discount",63643.0715238468
0.036,0.0107317073170732,"Inflation indexation",43260.7797887866
0.036,0.0107317073170732,"Full nominal gain taxed",127286.143047694
0.037,0.0117073170731707,"50% discount",65714.243826135
0.037,0.0117073170731707,"Inflation indexation",47403.1243933631
0.037,0.0117073170731707,"Full nominal gain taxed",131428.48765227
0.038,0.0126829268292683,"50% discount",67803.4698069234
0.038,0.0126829268292683,"Inflation indexation",51581.5763549399
0.038,0.0126829268292683,"Full nominal gain taxed",135606.939613847
0.039,0.0136585365853659,"50% discount",69910.889213249
0.039,0.0136585365853659,"Inflation indexation",55796.415167591
0.039,0.0136585365853659,"Full nominal gain taxed",139821.778426498
0.04,0.0146341463414634,"50% discount",72036.6427377517
0.04,0.0146341463414634,"Inflation indexation",60047.9222165963
0.04,0.0146341463414634,"Full nominal gain taxed",144073.285475503
0.041,0.015609756097561,"50% discount",74180.8720241495
0.041,0.015609756097561,"Inflation indexation",64336.380789392
0.041,0.015609756097561,"Full nominal gain taxed",148361.744048299
0.042,0.0165853658536586,"50% discount",76343.7196727481
0.042,0.0165853658536586,"Inflation indexation",68662.0760865893
0.042,0.0165853658536586,"Full nominal gain taxed",152687.439345496
0.043,0.0175609756097561,"50% discount",78525.3292459688
0.043,0.0175609756097561,"Inflation indexation",73025.2952330306
0.043,0.0175609756097561,"Full nominal gain taxed",157050.658491938
0.044,0.0185365853658537,"50% discount",80725.8452739111
0.044,0.0185365853658537,"Inflation indexation",77426.3272889152
