percentile,fy,percentile_label,fy_sort,base_etr,scenario,etr,etr_change_pp
0.059,FY2034_35,5.8999999999999995,2034,0,Indexed brackets,0,0
0.06,FY2034_35,6,2034,0,Baseline,0,0
0.06,FY2034_35,6,2034,0,High inflation,0,0
0.06,FY2034_35,6,2034,0,No policy change,0,0
0.06,FY2034_35,6,2034,0,Indexed brackets,0,0
0.061,FY2034_35,6.1,2034,0,Baseline,0,0
0.061,FY2034_35,6.1,2034,0,High inflation,0,0
0.061,FY2034_35,6.1,2034,0,No policy change,0,0
0.061,FY2034_35,6.1,2034,0,Indexed brackets,0,0
0.062,FY2034_35,6.2,2034,0,Baseline,0,0
0.062,FY2034_35,6.2,2034,0,High inflation,0,0
0.062,FY2034_35,6.2,2034,0,No policy change,0,0
0.062,FY2034_35,6.2,2034,0,Indexed brackets,0,0
0.063,FY2034_35,6.3,2034,0,Baseline,0,0
0.063,FY2034_35,6.3,2034,0,High inflation,0,0
0.063,FY2034_35,6.3,2034,0,No policy change,0,0
0.063,FY2034_35,6.3,2034,0,Indexed brackets,0,0
0.064,FY2034_35,6.4,2034,0,Baseline,0,0
0.064,FY2034_35,6.4,2034,0,High inflation,0,0
0.064,FY2034_35,6.4,2034,0,No policy change,0,0
0.064,FY2034_35,6.4,2034,0,Indexed brackets,0,0
0.065,FY2034_35,6.5,2034,0,Baseline,0,0
0.065,FY2034_35,6.5,2034,0,High inflation,0,0
0.065,FY2034_35,6.5,2034,0,No policy change,0,0
0.065,FY2034_35,6.5,2034,0,Indexed brackets,0,0
0.066,FY2034_35,6.6000000000000005,2034,0,Baseline,0,0
0.066,FY2034_35,6.6000000000000005,2034,0,High inflation,0,0
0.066,FY2034_35,6.6000000000000005,2034,0,No policy change,0,0
0.066,FY2034_35,6.6000000000000005,2034,0,Indexed brackets,0,0
0.067,FY2034_35,6.7,2034,0,Baseline,0,0
0.067,FY2034_35,6.7,2034,0,High inflation,0,0
0.067,FY2034_35,6.7,2034,0,No policy change,0,0
0.067,FY2034_35,6.7,2034,0,Indexed brackets,0,0
0.068,FY2034_35,6.800000000000001,2034,0,Baseline,0,0
0.068,FY2034_35,6.800000000000001,2034,0,High inflation,0,0
0.068,FY2034_35,6.800000000000001,2034,0,No policy change,0,0
0.068,FY2034_35,6.800000000000001,2034,0,Indexed brackets,0,0
0.069,FY2034_35,6.9,2034,0,Baseline,0,0
