percentile,base_etr,final_baseline_etr,final_indexed_etr,percentile_label,after_tax_gain_baseline,after_tax_gain_indexed,income_gain_clawback
0.715,0.225450617921061,0.246063511309707,0.228049540218052,71.5,0.06483208320161227,0.08488760999631839,0.2362597650655489
0.716,0.22564003019519,0.246351861556462,0.228233746029994,71.6,0.06470046597754608,0.08487194008294141,0.2376695299492704
0.717,0.225833013105608,0.246645647532551,0.228421424330505,71.7,0.0645663676194651,0.08485597477391749,0.23910640598390578
0.718,0.226040291457059,0.246961196057919,0.228623005126696,71.8,0.06442233576433543,0.0848388268154372,0.24065032270562708
0.719,0.226250412797371,0.247281072584432,0.228827350765206,71.89999999999999,0.06427632839677744,0.0848214436589525,0.24221605263855495
0.72,0.226451054830365,0.247586518363959,0.229022477658473,72,0.06413690793136595,0.08480484471735095,0.2437117461257065
0.721,0.226638610954417,0.247872042915624,0.229204878341188,72.1,0.06400658049341312,0.0847893283616622,0.24511041978775797
0.722,0.226854008076481,0.248199950985908,0.229414354743615,72.2,0.06385690713455328,0.08477150874432116,0.24671734548040528
0.723,0.227071047893212,0.248530359799158,0.229625428687205,72.3,0.06370609231370172,0.08475355322827416,0.2483372096256952
0.724,0.227278687452721,0.248846458206696,0.229827360762761,72.39999999999999,0.06356180946532597,0.08473637538736567,0.24988755803209473
0.725,0.227505760909099,0.24919214165028,0.230048192546736,72.5,0.06340402255249322,0.08471758979700161,0.2515837300798982
0.726,0.22771821896403,0.249515575455435,0.230254810669517,72.6,0.06325639146813367,0.08470001332614019,0.2531714106754287
0.727,0.227940045184929,0.249853270812437,0.230470539451185,72.7,0.06310225071060549,0.08468166183502224,0.2548298020704648
0.728,0.228162865720551,0.250192479856436,0.230687235216391,72.8,0.06294741903193712,0.08466322808510807,0.25649635082826083
0.729,0.22837027036619,0.250508220644739,0.230888938835262,72.89999999999999,0.06280329941855667,0.08464606967842103,0.2580482512991714
0.73,0.228568580988347,0.250810117219796,0.231081798402253,73,0.06266549898449614,0.0846296636124182,0.2595326944522928
0.731,0.228784312327584,0.251138534082894,0.231291599835072,73.1,0.06251559338759172,0.08461181634558002,0.261148193152369
0.732,0.228987911990244,0.251448482386071,0.231489603060279,73.2,0.06237411774910284,0.08459497272183902,0.26267346933016567
0.733,0.229192617087702,0.251760113538991,0.231688681334691,73.3,0.06223187397528451,0.08457803764643346,0.26420763939409336
0.734,0.229401411229394,0.252077969615397,0.231891736255899,73.4,0.06208678884045371,0.08456076428794113,0.26577308798866117
0.735,0.229614231735687,0.252401955195457,0.232098706867176,73.5,0.061938905898909824,0.08454315783179134,0.2673693828406003
0.736,0.229804222290334,0.25269118578289,0.232283475064173,73.6,0.06180688684409341,0.08452744007776891,0.2687949997393936
0.737,0.229995392686428,0.252982212492429,0.232469390671775,73.7,0.06167404795087306,0.08451162471648355,0.2702300049516873
