AGE_FY_START,YOB_group,p10,p25,median,p75,p90,total_tax,total_income,mean_income,mean_post_tax
49,"Late Boomers, 1956-1957",0.0123813833337504,0.067578675863349,0.128749867801037,0.156074046423683,0.179099846601499,3559352120.35,21704787989.4424,86742.1249508131,72517.3480712821
15,"Late Millenials, 1990-1991 ",0,0,0,0,0.0123983213329957,7687706.87,409502370.629219,8430.83197375481,8272.55751789547
8,Zoomers: 1997-98,0,0,0,0,0.0707872937135953,748190.34,11934633.4399551,9937.24682760624,9314.27402161124
31,"Early Millenials, 1981-1982",0,0.0530308738426748,0.128818165797743,0.175371231791074,0.207892872802268,6964316173.8973,42951187156.9531,74841.2818971926,62706.1493317718
56,"Late Boomers, 1956-1957",0,0.0396662413779783,0.11739424657862,0.175856588167881,0.214512975316301,7790112466.99061,44389640000.0501,90800.1276408756,74865.2562082907
22,"Late Millenials, 1990-1991 ",0,0,0.0578683695370314,0.103863281034283,0.147292437513339,2214404977.81,22234628957.1078,43943.9519130469,39567.4585589814
38,"Late Gen X, 1974-1975",0,0.05525326131682,0.137527152431255,0.186704635407201,0.223769368130235,8421379169.04221,45990613249.4435,88024.8610922354,71906.5560907478
47,"Early Gen X, 1965-1966",0,0.0602765593078841,0.136511329410058,0.186326109346497,0.225672537538001,9292059524.59338,48488601353.8234,95038.2326844194,76825.6860124345
15,Zoomers: 1997-98,0,0,0,0,0.00281667891256429,9776743.6,323644949.205722,10313.404582573,10001.8548040446
32,"Early Millenials, 1981-1982",0,0.0573597724153582,0.137037285662708,0.183936632045195,0.217949324961102,7712446149.63833,44887441446.4695,76862.0572713518,63655.8138644368
23,"Late Millenials, 1990-1991 ",0,0.000928283659744127,0.0725586373175764,0.125515964782924,0.163677169862203,2929071944.4012,25549042750.1095,47903.9461770271,42411.99463326
57,"Late Boomers, 1956-1957",0,0.0406456954408556,0.121633840980086,0.18078944905442,0.220397316165733,7911963674.33792,43621120027.3445,90320.7318800899,73938.430159572
39,"Late Gen X, 1974-1975",0,0.0611407971870256,0.145411560882031,0.195252944384696,0.232501447842939,9217082536.01023,47860352368.4799,90418.3895376906,73005.3593801676
48,"Early Gen X, 1965-1966",0,0.065931592521447,0.143928825227169,0.194043287321379,0.233163751276699,9851376765.40632,49200400215.8199,96312.3631491144,77027.7765931806
16,Zoomers: 1997-98,0,0,0,0,0.00635838132215679,39032561.31,1067155936.6568,12585.4249366905,12125.0972998573
33,"Early Millenials, 1981-1982",0,0.0611879678313914,0.145012519224337,0.192491906164646,0.227557487761884,8496403682.01166,46833558022.3195,78616.5974043546,64354.2100082218
24,"Late Millenials, 1990-1991 ",0,0.00980368384859009,0.0862407484502246,0.14399163051044,0.178090264549928,3792680410.99292,29404316344.6795,51155.4677770984,44557.2412351477
58,"Late Boomers, 1956-1957",0,0.0448532805038745,0.127316879826205,0.185513927131599,0.225719987180069,7857766747.08439,41823721588.8355,88466.3840496219,71845.476478224
40,"Late Gen X, 1974-1975",0,0.066800795479786,0.153660068277445,0.204016524144485,0.240376343403572,9998499263.22696,49427132893.073,92441.2467351422,73741.5228532693
49,"Early Gen X, 1965-1966",0,0.0712694180385188,0.151317648691555,0.201661885782067,0.240352046806652,10401137534.4145,49857061682.043,97753.7692750442,77360.4615983634
