year,male,agegp,permearnaltrankt,Npermearnaltranktp1,meanpermearnaltranktp1,Npermearnaltranktp3,meanpermearnaltranktp3,Npermearnaltranktp5,meanpermearnaltranktp5
2004,1,2,60,26322,57.69239,25072,55.00834,24223,54.17028
2004,1,2,62.5,26319,60.0864,25070,57.14992,24225,55.98198
2004,1,2,65,26321,62.49892,25070,59.66181,24223,57.82467
2004,1,2,67.5,26323,65.0386,25069,61.85163,24222,60.12715
2004,1,2,70,26322,67.48384,25071,64.05136,24224,61.93927
2004,1,2,72.5,26320,69.82758,25070,65.99645,24225,63.69367
2004,1,2,75,26323,72.14115,25070,67.81895,24223,65.35253
2004,1,2,77.5,26320,74.5847,25070,70.02432,24223,67.75146
2004,1,2,80,26321,77.11082,25071,72.4912,24224,69.79907
2004,1,2,82.5,26321,79.66137,25070,74.84747,24224,72.12415
2004,1,2,85,26322,82.06944,25069,77.22136,24224,74.33533
2004,1,2,87.5,26322,84.66846,25069,79.50055,24224,76.73357
2004,1,2,90,26322,87.07599,25071,82.10304,24223,79.31528
2004,1,2,92.5,26321,89.8474,25071,84.79375,24225,81.82607
2004,1,2,95,26320,92.53633,25070,87.65127,24224,84.89712
2004,1,2,97.5,26312,95.19011,25061,90.1735,24214,87.66322
2004,1,2,99,15793,97.50623,15041,92.82595,14535,89.98061
2004,1,2,99.9,9474,99.04832,9023,95.23436,8720,92.5929
2004,1,2,100,1059,99.68662,1009,96.48757,973,93.24421
2004,1,3,2.5,23134,3.536696,18140,13.76067,13467,19.60629
2004,1,3,5,23136,6.120701,18143,15.46575,13470,20.40496
2004,1,3,7.5,23135,8.546855,18147,17.07136,13469,21.11973
2004,1,3,10,23140,11.0765,18143,18.75274,13472,22.97487
2004,1,3,12.5,23135,13.43447,18145,19.90247,13471,23.06796
2004,1,3,15,23136,15.85833,18144,21.59649,13468,24.60758
2004,1,3,17.5,23138,18.36873,18142,22.80437,13473,25.67444
2004,1,3,20,23139,20.45436,18145,24.23344,13470,26.39547
2004,1,3,22.5,23136,22.76168,18145,25.86534,13469,27.76581
2004,1,3,25,23137,24.893,18145,27.26288,13471,29.38445
2004,1,3,27.5,23138,27.19519,18143,29.41361,13472,31.22429
2004,1,3,30,23136,29.49011,18146,31.07375,13468,32.44043
2004,1,3,32.5,23137,31.7834,18143,33.00708,13472,34.04014
2004,1,3,35,23138,34.00778,18142,35.12225,13471,36.36944
2004,1,3,37.5,23139,36.41963,18147,37.35041,13469,37.93555
2004,1,3,40,23137,38.76855,18143,38.91442,13471,39.79908
2004,1,3,42.5,23136,41.07131,18145,41.29411,13472,41.68614
2004,1,3,45,23136,43.5358,18144,43.30457,13468,43.39114
2004,1,3,47.5,23139,45.8929,18145,45.11811,13472,45.04259
2004,1,3,50,23137,48.33112,18143,47.63243,13468,47.49314
2004,1,3,52.5,23137,50.62973,18144,49.58356,13470,49.44707
2004,1,3,55,23138,53.20636,18145,51.86033,13472,51.3088
2004,1,3,57.5,23137,55.54703,18144,53.87266,13468,53.05565
2004,1,3,60,23135,57.93861,18145,55.9115,13472,55.02034
2004,1,3,62.5,23138,60.4029,18143,58.35841,13471,57.0298
2004,1,3,65,23137,62.95644,18147,60.40845,13469,58.84389
2004,1,3,67.5,23139,65.26766,18142,62.69239,13471,60.50647
2004,1,3,70,23136,67.86763,18143,64.65508,13472,62.51495
2004,1,3,72.5,23136,70.0462,18146,66.63676,13468,64.51995
2004,1,3,75,23141,72.37208,18143,68.65506,13472,66.5157
2004,1,3,77.5,23135,74.85075,18145,70.82941,13471,68.3089
2004,1,3,80,23137,77.27676,18145,73.27591,13469,70.75069
2004,1,3,82.5,23137,79.82713,18145,75.50729,13470,72.72128
2004,1,3,85,23139,82.18996,18142,77.74961,13473,74.88532
2004,1,3,87.5,23135,84.75813,18144,80.33776,13468,77.23168
2004,1,3,90,23137,87.37614,18145,82.55993,13471,79.84874
2004,1,3,92.5,23138,89.92494,18143,85.15249,13472,82.63323
2004,1,3,95,23137,92.54919,18147,87.90549,13469,85.12028
2004,1,3,97.5,23126,95.27457,18135,90.6963,13464,87.53201
2004,1,3,99,13884,97.61296,10886,93.39948,8082,90.72177
2004,1,3,99.9,8329,99.04845,6531,95.85725,4849,93.3522
2004,1,3,100,930,99.65883,731,96.96417,542,94.11661
2005,0,1,2.5,18002,4.748806,16486,17.10501,15445,24.60948
2005,0,1,5,18005,7.394912,16491,19.68115,15448,26.76048
2005,0,1,7.5,18005,9.801421,16490,21.91715,15447,28.19689
2005,0,1,10,18005,12.11742,16491,23.95609,15449,30.06369
2005,0,1,12.5,18006,14.32386,16489,25.6244,15448,30.8265
2005,0,1,15,18004,16.64814,16493,27.41915,15448,32.6766
2005,0,1,17.5,18008,18.79445,16490,28.93505,15449,33.84941
2005,0,1,20,18004,21.19946,16490,30.37274,15448,34.86841
2005,0,1,22.5,18005,23.43612,16490,31.87997,15450,35.97698
2005,0,1,25,18008,25.84566,16490,33.31473,15446,37.07238
2005,0,1,27.5,18004,28.24051,16491,35.21945,15450,38.55491
2005,0,1,30,18005,30.62281,16491,36.3148,15447,39.34797
2005,0,1,32.5,18006,32.97073,16491,38.15184,15449,40.89
2005,0,1,35,18006,35.24906,16489,39.51582,15448,41.75377
2005,0,1,37.5,18003,37.72235,16490,40.68387,15448,42.63077
2005,0,1,40,18007,39.70819,16491,41.94785,15450,43.51043
2005,0,1,42.5,18005,41.90219,16489,42.96988,15449,44.3215
2005,0,1,45,18005,43.8884,16493,44.64301,15446,45.59576
2005,0,1,47.5,18005,46.2498,16490,46.15149,15448,46.72512
2005,0,1,50,18008,48.42664,16491,47.59054,15448,47.54761
2005,0,1,52.5,18005,50.59362,16489,49.09584,15450,48.88736
2005,0,1,55,18005,52.80452,16490,50.82244,15448,50.3032
2005,0,1,57.5,18005,55.1712,16493,52.78447,15446,51.58194
2005,0,1,60,18005,57.46903,16489,54.05851,15449,52.87804
2005,0,1,62.5,18007,59.62067,16491,55.50698,15450,53.88924
2005,0,1,65,18003,61.95478,16490,57.56989,15448,55.26945
2005,0,1,67.5,18006,64.38293,16489,59.09317,15448,56.59509
2005,0,1,70,18006,66.73129,16491,61.33801,15449,58.60227
2005,0,1,72.5,18005,69.23628,16491,62.65261,15447,59.46551
2005,0,1,75,18006,71.22388,16491,64.4511,15449,60.86055
2005,0,1,77.5,18006,73.77077,16490,65.77146,15447,62.22393
2005,0,1,80,18005,76.07383,16491,67.75454,15451,63.45242
2005,0,1,82.5,18004,78.74332,16489,69.80683,15447,64.87991
2005,0,1,85,18008,81.04054,16490,71.81049,15449,66.67233
2005,0,1,87.5,18004,83.58153,16493,74.06721,15448,68.52275
2005,0,1,90,18006,86.11422,16489,75.9302,15448,69.86332
2005,0,1,92.5,18005,88.60679,16491,78.76754,15449,72.69585
2005,0,1,95,18005,91.42714,16490,81.49788,15447,75.45231
2005,0,1,97.5,17997,94.37569,16483,84.63219,15440,78.71514
2005,0,1,99,10804,97.01888,9895,87.86985,9271,82.05075
2005,0,1,99.9,6482,98.89891,5936,90.98875,5560,85.19074
2005,0,1,100,724,99.83784,663,93.49184,622,88.39996
2005,0,2,2.5,22743,4.840635,21523,16.39982,20729,22.56205
2005,0,2,5,22751,7.001257,21525,17.50767,20733,23.08039
2005,0,2,7.5,22750,9.254575,21524,19.22553,20737,24.21293
2005,0,2,10,22747,11.75156,21526,21.12942,20734,25.84179
2005,0,2,12.5,22750,13.95267,21524,22.5342,20736,26.86053
2005,0,2,15,22749,16.30693,21527,23.89392,20734,27.86465
2005,0,2,17.5,22749,18.56129,21525,25.53094,20735,29.2302
2005,0,2,20,22750,20.86219,21525,26.97371,20734,30.14302
2005,0,2,22.5,22748,23.05264,21526,28.40038,20737,31.31903
2005,0,2,25,22750,25.31592,21524,30.15857,20733,32.80216
2005,0,2,27.5,22749,27.53485,21528,31.52496,20736,33.92596
2005,0,2,30,22750,29.82096,21525,33.27304,20735,35.21628
2005,0,2,32.5,22749,32.12798,21525,34.98675,20734,36.43059
2005,0,2,35,22749,34.3115,21526,36.58308,20735,38.16142
2005,0,2,37.5,22749,36.51216,21525,38.22725,20735,39.30341
2005,0,2,40,22749,38.7537,21526,39.97394,20735,40.81454
2005,0,2,42.5,22751,41.22837,21525,41.63829,20735,42.13111
2005,0,2,45,22749,43.60125,21526,43.3615,20735,43.65826
2005,0,2,47.5,22747,45.77422,21525,44.87764,20736,44.48989
2005,0,2,50,22750,47.92263,21524,46.81223,20732,46.37582
2005,0,2,52.5,22751,50.54403,21528,48.69307,20735,47.70292
2005,0,2,55,22747,52.57725,21525,50.34442,20736,49.40338
2005,0,2,57.5,22749,54.89705,21526,52.21829,20735,51.09782
2005,0,2,60,22751,57.38149,21525,54.37958,20734,52.86299
2005,0,2,62.5,22749,59.84437,21525,56.23412,20736,54.54583
2005,0,2,65,22749,62.1927,21526,58.51588,20735,56.70879
2005,0,2,67.5,22749,64.755,21526,60.56388,20735,58.21605
2005,0,2,70,22748,67.04794,21525,62.36762,20734,59.96155
2005,0,2,72.5,22751,69.57172,21525,64.86823,20735,62.21616
2005,0,2,75,22749,72.12424,21526,66.86475,20736,64.32531
2005,0,2,77.5,22750,74.53565,21526,69.33832,20733,66.48925
2005,0,2,80,22749,77.22436,21525,71.45956,20736,68.36762
2005,0,2,82.5,22749,79.59543,21526,73.79906,20735,70.62907
2005,0,2,85,22748,82.10614,21525,75.97307,20735,72.47587
2005,0,2,87.5,22750,84.57297,21526,78.55215,20734,75.07502
2005,0,2,90,22751,87.28517,21525,81.03284,20736,77.48798
2005,0,2,92.5,22746,89.90826,21526,83.78168,20734,80.19319
2005,0,2,95,22750,92.25285,21524,86.22753,20737,82.53288
2005,0,2,97.5,22741,94.96731,21515,88.76179,20723,85.4967
2005,0,2,99,13649,97.40791,12918,91.79967,12439,88.75349
2005,0,2,99.9,8189,99.19009,7749,94.65806,7465,91.07354
2005,0,2,100,915,99.91244,866,96.90442,835,94.32849
2005,0,3,2.5,22902,3.712749,18050,13.80641,13327,20.18695
2005,0,3,5,22906,5.918374,18054,14.92968,13330,20.86056
2005,0,3,7.5,22906,8.472652,18054,17.18991,13328,22.03278
2005,0,3,10,22907,10.85498,18054,18.51433,13330,23.15238
2005,0,3,12.5,22906,13.19333,18054,19.98942,13330,24.03539
2005,0,3,15,22907,15.57221,18053,21.88407,13329,25.58002
2005,0,3,17.5,22907,18.01931,18056,23.59417,13329,26.63838
2005,0,3,20,22906,20.31298,18053,24.7989,13329,27.92923
2005,0,3,22.5,22907,22.65219,18054,26.81116,13330,29.44358
2005,0,3,25,22905,24.94603,18056,28.40027,13330,30.59448
2005,0,3,27.5,22909,27.12044,18053,30.10957,13328,31.97583
2005,0,3,30,22905,29.5873,18053,31.98666,13329,33.61914
2005,0,3,32.5,22906,31.89341,18054,33.64782,13330,35.05698
2005,0,3,35,22907,34.25959,18054,35.54009,13331,36.45297
2005,0,3,37.5,22908,36.47272,18053,37.48089,13330,38.2113
2005,0,3,40,22905,38.8909,18055,39.22703,13328,39.60101
